HH_Id,HH_Member_Roster,HH_Member_Id,HH_Member_Name,HH_Mem_Gender,HH_Mem_Age,HHH_Reln,Marital_Status,Primary_Occpn,Primary_Occpn_Othr,Month_Worked,Working_Hrs_Week,Sec_Occpn,Sec_Occpn_Othr,Month_Worked,Working_Hrs_Week,Read_Write_Yn,Education,Education_Othr,Decision_Involvment
245,3,1,Removed,2,47,1,1,2, ,12,40,99, ,,,1,2, ,3
245,3,2,Removed,1,40,2,1,1, ,12,35,2, ,6,20,0,1, ,2
245,3,3,Removed,2,16,3,2,10, ,,,3, ,3,35,1,9, ,1
246,3,1,Removed,2,40,1,1,2, ,8,48,99, ,,,1,8, ,3
246,3,2,Removed,1,37,2,1,1, ,12,40,2, ,4,32,0,0, ,2
246,3,3,Removed,1,17,3,2,10, ,,,2, ,4,32,1,6, ,2
247,5,1,Removed,2,48,1,1,2, ,10,55,99, ,,,0,2, ,3
247,5,2,Removed,1,44,2,1,1, ,12,40,2, ,3,40,0,0, ,1
247,5,3,Removed,1,19,3,2,10, ,,,1, ,12,35,1,10, ,1
247,5,4,Removed,1,17,2,2,10, ,,,1, ,12,35,1,8, ,1
247,5,5,Removed,1,15,3,2,10, ,,,1, ,12,35,1,7, ,1
251,6,1,Removed,2,49,1,1,2, ,12,50,99, ,,,1,3, ,3
251,6,2,Removed,1,48,2,1,1, ,12,80,99, ,,,0,0, ,2
251,6,3,Removed,2,23,3,2,2, ,10,50,99, ,,,1,10, ,1
251,6,4,Removed,1,20,3,2,10, ,,,99, ,,,1,9, ,1
251,6,5,Removed,2,18,3,2,2, ,10,50,10, ,,,1,98, ,1
251,6,6,Removed,2,16,3,2,10, ,,,99, ,,,1,3, ,1
252,2,1,Removed,2,59,1,1,2, ,10,48,99, ,,,1,97, ,3
252,2,2,Removed,1,30,2,1,1, ,12,36,2, ,6,24,0,0, ,2
253,3,1,Removed,1,40,0,3,2, ,6,40,4, ,12,32,0,0, ,3
253,3,2,Removed,2,20,3,2,2, ,8,56,99, ,,,1,7, ,3
253,3,3,Removed,1,16,3,2,10, ,,,1, ,12,32,1,8, ,2
255,3,1,Removed,2,44,1,1,2, ,12,50,99, ,,,0,0, ,3
255,3,2,Removed,1,38,2,1,1, ,12,75,2, ,5,30,0,0, ,2
255,3,3,Removed,1,18,3,2,4, ,7,70,99, ,,,1,10, ,1
256,3,1,Removed,2,38,1,1,2, ,12,70,99, ,,,0,0, ,3
256,3,2,Removed,1,28,2,1,1, ,12,56,2, ,3,42,0,0, ,2
256,3,3,Removed,1,18,3,2,10, ,,,2, ,2,35,1,10, ,1
257,3,1,Removed,2,36,1,1,2, ,10,56,7, ,12,35,1,10, ,3
257,3,2,Removed,1,30,2,1,1, ,12,70,2, ,3,35,0,0, ,2
257,3,3,Removed,2,16,2,2,10, ,,,2, ,4,35,1,6, ,1
258,4,1,Removed,2,42,1,1,2, ,10,60,99, ,,,1,4, ,3
258,4,2,Removed,1,35,2,1,1, ,12,70,99, ,,,0,0, ,1
258,4,3,Removed,2,20,3,2,2, ,10,56,99, ,,,1,10, ,2
258,4,4,Removed,1,18,3,2,10, ,,,99, ,,,1,11, ,1
383,3,1,Removed,2,46,1,1,2, ,9,55,99, ,,,0,0, ,3
383,3,2,Removed,1,39,2,1,1, ,12,98,2, ,6,40,0,0, ,2
383,3,3,Removed,2,20,3,2,10, ,,,99, ,,,1,11, ,1
385,4,1,Removed,2,38,1,1,2, ,9,60,99, ,,,0,0, ,3
385,4,2,Removed,1,30,2,1,1, ,12,70,2, ,5,28,0,0, ,2
385,4,3,Removed,1,18,3,2,10, ,,,99, ,,,1,10, ,2
385,4,4,Removed,2,15,3,2,10, ,,,2, ,9,28,1,8, ,2
386,3,1,Removed,2,48,1,1,2, ,7,40,99, ,,,0,0, ,3
386,3,2,Removed,1,39,2,1,1, ,12,56,99, ,,,0,0, ,2
386,3,3,Removed,2,20,3,2,2, ,7,48,99, ,,,1,3, ,2
388,4,1,Removed,2,51,1,1,2, ,9,70,99, ,,,0,0, ,3
388,4,2,Removed,1,40,2,1,1, ,12,98,2, ,5,25,0,0, ,2
388,4,3,Removed,1,15,3,2,2, ,6,35,99, ,,,1,3, ,1
388,4,4,Removed,2,18,3,2,2, ,9,70,99, ,,,0,0, ,1
389,5,1,Removed,2,58,1,1,2, ,10,50,99, ,,,0,0, ,3
389,5,2,Removed,1,45,2,1,1, ,12,70,2, ,4,25,0,0, ,2
389,5,3,Removed,2,22,3,2,10, ,,,99, ,,,1,13, ,1
389,5,4,Removed,1,19,3,3,1, ,12,80,2, ,2,30,1,10, ,1
389,5,5,Removed,2,16,3,2,2, ,10,80,99, ,,,0,0, ,1
390,2,1,Removed,2,38,1,1,2, ,10,30,4, ,2,11,0,97, ,3
390,2,2,Removed,1,32,2,1,1, ,12,49,2, ,5,18,1,4, ,2
391,3,1,Removed,2,46,1,1,2, ,10,60,99, ,,,1,97, ,3
391,3,2,Removed,1,33,2,1,1, ,12,36,2, ,6,42,0,0, ,2
391,3,3,Removed,1,15,3,2,10, ,,,99, ,,,1,9, ,1
392,4,1,Removed,2,50,1,1,2, ,12,84,99, ,,,0,0, ,3
392,4,2,Removed,1,40,0,1,1, ,12,84,2, ,6,28,0,0, ,2
392,4,3,Removed,2,22,3,3,2, ,12,84,99, ,,,1,9, ,1
392,4,4,Removed,2,16,3,2,2, ,10,56,99, ,,,1,98, ,1
393,4,1,Removed,2,76,1,1,2, ,6,32,99, ,,,0,0, ,2
393,4,2,Removed,1,67,2,1,1, ,12,40,99, ,,,0,0, ,2
393,4,3,Removed,1,27,3,3,1, ,12,56,99, ,,,0,0, ,2
393,4,4,Removed,2,15,4,2,10, ,,,2, ,12,40,1,4, ,1
394,5,1,Removed,2,46,1,1,2, ,12,70,99, ,,,0,0, ,3
394,5,2,Removed,1,43,0,1,1, ,12,84,2, ,5,42,0,0, ,2
394,5,3,Removed,1,18,3,3,4, ,7,49,2, ,5,35,1,4, ,1
394,5,4,Removed,1,20,3,2,1, ,8,56,2, ,6,42,1,6, ,1
394,5,5,Removed,2,18,3,2,2, ,12,70,99, ,,,0,0, ,1
395,6,1,Removed,2,66,1,1,2, ,8,48,99, ,,,0,0, ,3
395,6,2,Removed,1,50,2,1,1, ,12,48,2, ,6,18,0,0, ,2
395,6,3,Removed,2,26,3,1,2, ,10,48,4, ,10,48,0,0, ,2
395,6,4,Removed,2,24,3,2,2, ,10,48,99, ,,,0,0, ,1
395,6,5,Removed,1,19,3,2,10, ,,,99, ,,,1,9, ,1
395,6,6,Removed,2,16,3,2,2, ,10,60,99, ,,,0,0, ,1
529,2,1,Removed,2,36,1,1,2, ,12,56,99, ,,,1,8, ,3
529,2,2,Removed,1,38,0,1,1, ,12,42,2, ,3,20,1,8, ,2
531,3,1,Removed,2,31,1,2,2, ,9,48,99, ,,,1,7, ,3
