HH_Id,Outside_HH_Mem_Num,HH_OM_Id,HH_OM_Name,HH_OM_Gender,HH_OM_Age,HHH_OM_Rlen,OM_Marital_Status,OM_Primary_Occupn,OM_Primary_Occupn_Othr,OM_Month_Worked,OM_Working_Hrs_Week,OM_Outside_Period,OM_Current_Place,Dist_House_Place,OM_Vist_Freq,OM_Read_Write,OM_Educn,OM_Educn_Othr,OM_Decn_Making,OM_Monetary_Flow
386,1,1,Removed,2,19,3,2,10, ,,,5,AREBA MENCH,705,2,1,13, ,1,2
388,1,1,Removed,2,21,3,2,8, ,10,54,5,ADDIS ABEBA,400,12,0,0, ,1,1
395,1,1,Removed,2,21,3,2,4, ,11,48,6,ADISS ABEBA,-99,6,0,0, ,1,1
533,1,1,Removed,2,21,3,2,7, ,5,70,5,debire birhan,180,12,1,5, ,1,4
564,1,1,Removed,2,20,3,2,10, ,,,7,HAWASA,-99,9,1,13, ,1,2
572,1,1,Removed,2,20,3,2,6, ,4,49,7,Debrebrhan Town (PRISONER),17,0,1,6, ,1,4
574,1,1,Removed,2,37,3,2,7, ,12,40,6,ADDIS ABEBA,120,6,1,10, ,1,1
946,1,1,Removed,1,32,3,2,7, ,12,40,12,WALEYTA SODO,408,1,1,10, ,1,1
952,1,1,Removed,1,25,3,2,8, ,12,70,5,ADDIS ABEBA,80,6,1,8, ,1,4
962,1,1,Removed,1,20,3,2,7, ,12,40,6,ADDIS ABEBA,287,6,1,10, ,1,1
968,2,1,Removed,1,35,3,2,4, ,12,48,12,DEBRE BIRHAN,150,1,1,7, ,1,1
968,2,2,Removed,2,20,3,2,4, ,12,40,12,DEBRE BIRHAN,150,1,1,9, ,1,1
969,2,1,Removed,2,23,3,2,8, ,11,48,11,DEBRE BERHANE,-99,6,1,10, ,1,1
969,2,2,Removed,2,20,3,2,8, ,11,48,10,DEBRE BERHANE,-99,6,1,8, ,1,1
1354,2,1,Removed,1,18,3,2,8, ,12,48,12,ADDIS ABEBA,-99,12,1,10, ,1,1
1354,2,2,Removed,1,16,3,2,8, ,11,48,12,ADDIS ABEBA,-99,12,1,9, ,1,1
1382,1,1,Removed,1,24,3,2,7, ,12,40,12,ADDIS ABEBA,-99,1,1,8, ,1,1
1390,3,1,Removed,1,28,3,2,8, ,11,48,12,ADDIS ABEBA,-99,6,1,12, ,1,1
1390,3,2,Removed,1,25,3,2,8, ,11,48,12,ADDIS ABEBA,-99,6,1,8, ,1,1
1390,3,3,Removed,1,16,3,2,10, ,,,12,DEBERE BERHANE,-99,12,1,5, ,1,2
1393,1,1,Removed,2,20,3,2,11, ,,,12,ADDIS ABEBA,80,12,1,8, ,1,4
1505,1,1,Removed,1,23,3,2,8, ,12,56,12,KUWAIT,-99,0,1,4, ,1,1
1934,2,1,Removed,1,24,3,2,7, ,11,48,12,KOYE,-99,2,1,13, ,1,3
1934,2,2,Removed,1,16,3,2,10, ,,,9,KOYE,-99,1,0,11, ,1,2
1945,1,1,Removed,2,26,3,2,7, ,11,48,12,ZEGAME,-99,12,1,10, ,1,1
1949,1,1,Removed,2,29,3,2,8, ,12,56,5,ADDIS ABEBA,495,3,1,7, ,1,3
1952,2,1,Removed,2,23,3,2,10, ,,,10,belohora univeresety,-99,10,1,13, ,1,2
1952,2,2,Removed,2,19,3,2,10, ,,,10,boluhora univeresety,-99,10,1,13, ,1,2
1953,2,1,Removed,2,24,3,2,4, ,12,56,5,ENJEBARA,55,5,1,12, ,1,4
1953,2,2,Removed,1,21,3,2,4, ,12,56,6,ENJEBARA,55,5,1,9, ,1,1
1954,3,1,Removed,1,28,3,2,7, ,12,40,6,ADDIS ABEBA,120,12,1,14, ,1,1
1954,3,2,Removed,1,26,3,2,7, ,12,48,12,ADDIS ABEBA,120,12,1,14, ,1,1
1954,3,3,Removed,1,20,3,2,10, ,,,12,ADDIS ABEBA,120,12,1,13, ,1,2
1957,1,1,Removed,2,30,3,2,8, ,12,48,5,DEBRE BERHANE,-99,3,1,97, ,1,1
1975,2,1,Removed,1,25,3,2,8, ,6,54,6,motta,40,2,1,6, ,1,4
1975,2,2,Removed,2,23,3,2,8, ,6,50,6,motta,40,1,1,6, ,2,4
2000,2,1,Removed,2,24,3,2,7, ,12,48,8,ADDIS ABEBA,450,1,1,12, ,1,4
2000,2,2,Removed,1,20,3,2,8, ,9,48,5,ADDIS ABEBA,450,5,1,10, ,1,2
2020,1,1,Removed,2,23,3,2,10, ,,,10,axume,-99,10,1,13, ,1,2
2025,2,1,Removed,2,23,3,2,8, ,12,48,5,ADDIS ABEBA,302,5,1,11, ,1,2
2025,2,2,Removed,2,16,3,2,8, ,8,40,8,ADDIS ABEBA,302,5,1,4, ,1,4
2026,1,1,Removed,2,22,3,2,8, ,12,48,12,BICHENA,-99,2,1,4, ,1,3
2032,1,1,Removed,1,25,3,2,10, ,,,12,WELAYTA,-99,6,1,13, ,1,2
2088,1,1,Removed,2,16,3,2,10, ,,,12,AMANUELE,-99,3,1,7, ,2,2
4002,1,1,Removed,2,27,3,2,7, ,10,48,12,WELKITE,-99,12,1,14, ,2,1
4014,1,1,Removed,2,24,3,2,8, ,12,48,12,ADISS ABEBA,-99,6,1,6, ,1,3
4029,2,1,Removed,1,28,3,2,7, ,12,48,6,ADISS ABEBA,-99,4,1,8, ,1,1
4029,2,2,Removed,1,22,3,2,7, ,11,48,12,ADISS ABEBA,-99,4,1,9, ,1,1
4037,2,1,Removed,1,23,3,2,7, ,11,36,10,MEHALE MEDA,-99,2,1,13, ,1,1
4037,2,2,Removed,2,20,3,2,4, ,12,48,11,MEHALE MEDA,-99,2,1,10, ,1,1
4043,1,1,Removed,1,30,3,2,7, ,11,48,12,ADISS ABABA,-99,11,1,9, ,1,1
279,1,1,Removed,1,16,3,2,10, ,,,10,ADDIS ABABA,-99,2,1,9, ,1,4
286,2,1,Removed,2,23,3,2,10, ,,,10,Holota town,-99,20,1,13, ,1,2
286,2,2,Removed,2,25,3,2,8, ,9,48,9,Holota,-99,2,1,5, ,1,4
303,3,1,Removed,2,30,3,2,8, ,10,48,10,Bishoftu,-99,6,1,7, ,1,4
303,3,2,Removed,1,15,3,2,8, ,9,35,9,Bishoftu,-99,1,1,6, ,1,4
303,3,3,Removed,2,20,3,2,8, ,10,48,10,Bishoftu,-99,2,0,0, ,1,4
307,1,1,Removed,1,17,3,2,8, ,10,42,10,Bishoftu town,-99,2,1,7, ,1,4
522,4,1,Removed,1,35,0,1,2, ,10,40,4,MULO,-99,2,0,0, ,2,1
522,4,2,Removed,2,38,1,1,5, ,10,40,4,MULO,-99,2,0,0, ,2,1
522,4,3,Removed,1,35,0,1,1, ,10,40,4,KEMISE,-99,1,0,0, ,2,1
522,4,4,Removed,1,35,0,1,1, ,10,8,4,MULO,-99,5,0,0, ,1,1
586,1,1,Removed,2,17,3,2,10, ,,,12,JIMMA,25,6,1,98, ,1,2
588,1,1,Removed,1,20,3,2,10, ,,,6,DEDO,25,1,1,14, ,2,2
589,1,1,Removed,2,21,3,2,10, ,,,6,DEDDO,-99,6,1,15, ,1,2
720,1,1,Removed,1,18,3,2,10, ,,,10,WOLISO,25,1,1,10, ,1,2
724,1,1,Removed,2,17,3,2,10, ,,,10,WALISO,20,3,1,10, ,2,2
809,1,1,Removed,2,18,3,2,10, ,,,10,WOLISO,20,1,1,9, ,2,2
813,1,1,Removed,2,20,3,2,10, ,,,10,WOLISO,25,1,1,9, ,2,2
814,3,1,Removed,2,20,3,2,10, ,,,10,WALISO,20,3,1,10, ,1,2
814,3,2,Removed,1,18,3,2,10, ,,,10,WALISO,20,4,1,12, ,1,2
814,3,3,Removed,1,16,3,2,10, ,,,10,WALISO,20,4,1,9, ,1,2
1456,1,1,Removed,1,19,3,2,10, ,,,10,Holota,-99,20,1,13, ,1,2
1462,1,1,Removed,1,23,3,2,10, ,,,10,HOLATA,45,1,1,13, ,2,2
1549,1,1,Removed,2,19,3,2,10, ,,,8,Beshoftu,25,1,1,10, ,2,2
1620,2,1,Removed,2,18,3,2,10, ,,,10,Mojo,12,6,1,7, ,1,4
1620,2,2,Removed,1,16,3,2,10, ,,,10,Mojo,12,6,1,7, ,1,4
1638,1,1,Removed,2,35,3,2,11, ,,,10,JIMMA,25,6,0,0, ,1,4
1688,1,1,Removed,1,22,3,2,10, ,,,8,Nekemit,-99,1,1,13, ,2,2
1692,1,1,Removed,2,22,3,2,10, ,,,8,Gambella,-99,1,1,13, ,2,2
