HH_Id,Num_Plots_CropGrown,Plot_Id,Plot_Area,Plot_Dist_WalkMin,Plot_Locn_Name,PrimaryCrop_Seasn1,PrimaryCrop_Seasn1_Othr,PrimaryCrop_Seasn2,PrimaryCrop_Seasn2_Othr,Plot_Slope,Plot_Soil_Type,Plot_Soil_Fert,Erosion_Yn,Soil_Salinity_Yn,Soil_Acidity_Yn,WaterLogging_Yn,Plot_Tenure_Stat,Plot_Tenure_Stat_Othr,PlotOwn_Inherited_Yn,Plot_SelfManage_10Yrs,Land_Title_FamMemb,LandTitle_Holder,Plot_Manager,Plot_Irrgn_Yn,Plot_Irrgn_Src,Plot_Irrgn_Src_Othr,SoilWater_Consrvn_Str,Plot_Chem_Herbicides_Yn,Plot_Intercropping_Yn,Add_Plot
245,6,1,1,15,Abaj,2, ,97, ,1,1,3,0,0,0,0,1, ,1,1,1,3,3,0,, ,1,0,0,1
245,6,2,1,6,Yeziche 1,2, ,97, ,1,2,3,0,0,0,0,2, ,,0,0,,3,0,, ,1,0,0,1
245,6,3,1,6,Yezich 2,2, ,97, ,1,2,3,0,0,0,0,2, ,,0,0,,3,0,, ,0,0,0,1
245,6,4,2,10,Embelele,19, ,97, ,1,2,1,0,0,1,0,1, ,0,1,1,3,3,0,, ,1,1,0,1
245,6,5,1,6,Yezich 3,3, ,97, ,1,2,3,0,0,0,0,1, ,0,1,1,3,3,0,, ,1,0,0,1
245,6,6,1,8,Mesno,12, ,97, ,2,2,3,0,0,0,0,1, ,1,1,1,3,3,2,5, ,0,0,0,2
246,4,1,2,5,FERESE MEGRIYA,19, ,97, ,1,2,3,0,0,0,1,1, ,1,1,1,1,3,0,, ,1,1,0,1
246,4,2,1,5,FERESE MEGRIYA,3, ,97, ,1,2,3,0,0,0,1,1, ,1,1,1,1,3,0,, ,1,1,0,1
246,4,3,1,25,ABAJE,2, ,97, ,2,1,2,1,0,0,0,1, ,1,1,1,1,3,0,, ,1,1,0,1
246,4,4,1,5,BEZEBAY,5, ,97, ,1,2,2,0,0,0,1,1, ,1,1,1,1,1,0,, ,1,1,0,2
247,6,1,1,10,leba maseria,2, ,97, ,2,1,1,1,0,0,0,1, ,0,1,1,3,1,0,, ,1,1,0,1
247,6,2,1,10,leba maseria,19, ,97, ,2,1,1,1,0,0,0,1, ,0,1,1,3,1,0,, ,1,1,0,1
247,6,3,1,4,washa,2, ,97, ,2,1,2,1,0,0,0,1, ,0,1,1,3,1,0,, ,1,0,0,1
247,6,4,1,4,washa,19, ,97, ,2,1,2,1,0,0,0,1, ,0,1,1,3,1,0,, ,1,0,0,1
247,6,5,0.5,4,washa,15, ,97, ,1,1,2,0,0,0,0,1, ,0,1,1,3,1,0,, ,0,0,0,1
247,6,6,0.5,20,tikure,3, ,97, ,1,2,2,0,0,0,1,1, ,0,1,1,3,1,0,, ,0,0,0,2
251,4,1,1,2,GORO,2, ,97, ,2,1,2,1,0,1,1,1, ,0,1,1,3,3,0,, ,1,1,0,1
251,4,2,2,20,LEBA MASERIYA,19, ,15, ,2,1,2,1,0,1,0,1, ,0,1,1,3,3,0,, ,1,1,0,1
251,4,3,1,20,LEBAMASERIYA 2,3, ,97, ,2,1,2,0,0,1,0,1, ,0,1,1,3,3,0,, ,1,1,0,1
251,4,4,1,25,LEBAMASERIYA 3,2, ,97, ,2,1,2,1,0,0,0,2, ,,0,0,,3,0,, ,0,1,0,2
252,4,1,1.5,2,ABAJE,2, ,97, ,1,2,3,0,0,0,0,1, ,1,1,1,1,1,0,, ,1,1,0,1
252,4,2,1,4,ABAJE,3, ,97, ,1,2,3,0,0,0,0,1, ,1,1,1,1,1,0,, ,1,1,0,1
252,4,3,1.5,5,ABAJE,19, ,97, ,1,2,3,0,0,0,0,1, ,1,1,1,1,1,0,, ,1,1,0,1
252,4,4,1,6,ABAJE,99,BEAN,97, ,1,2,3,0,0,0,0,2, ,,1,0,,1,0,, ,0,1,0,2
253,3,1,1,5,YEZECH,19, ,97, ,1,2,3,0,0,0,0,1, ,0,1,1,2,2,0,, ,1,1,0,1
253,3,2,1,5,YEZECH,2, ,97, ,1,2,3,0,0,0,0,1, ,0,1,1,2,2,0,, ,1,1,0,1
253,3,3,1,30,AMED AGEBA,2, ,97, ,1,2,3,0,0,0,1,2, ,,0,0,,2,0,, ,1,1,0,2
255,3,1,2,15,YEWENDEL,2, ,97, ,1,1,3,1,0,0,1,2, ,,0,0,,3,0,, ,0,1,0,1
255,3,2,1,5,YEWENDEL 2,3, ,97, ,2,1,3,1,0,0,0,1, ,0,1,1,3,3,0,, ,0,0,0,1
255,3,3,2,40,BEZBAY,19, ,97, ,1,1,2,0,0,0,0,2, ,,1,0,,3,0,, ,0,1,0,2
256,4,1,2,2,BEZBEY,19, ,97, ,2,1,1,0,0,0,0,2, ,,0,0,,3,0,, ,0,1,0,1
256,4,2,2,15,ABAJI,19, ,97, ,3,1,3,0,0,0,0,2, ,,0,0,,3,0,, ,1,1,0,1
256,4,3,1,10,ABAJI,2, ,97, ,2,1,1,1,0,0,0,1, ,0,0,0,,3,0,, ,1,1,0,1
256,4,4,0.5,0,GUARO,3, ,97, ,1,1,3,0,0,0,0,1, ,1,1,1,3,3,0,, ,0,0,0,2
257,4,1,2,5,AMED AGIBA,2, ,97, ,2,2,1,1,0,1,0,2, ,,0,0,,3,0,, ,1,1,0,1
257,4,2,1.5,15,WASHA,2, ,97, ,2,2,2,1,0,1,0,1, ,1,0,0,,3,0,, ,1,1,0,1
257,4,3,1,20,TIKUR,19, ,97, ,2,2,2,0,0,1,0,1, ,1,0,0,,3,0,, ,1,1,0,1
257,4,4,0.5,10,ABSUG,3, ,97, ,1,2,2,0,0,0,0,1, ,1,1,1,3,3,0,, ,0,0,0,2
258,3,1,1,5,guassa,2, ,97, ,1,1,3,0,0,0,0,1, ,0,1,1,3,1,0,, ,1,0,0,1
258,3,2,1,15,godeguadit,19, ,97, ,1,1,3,0,0,0,0,1, ,0,1,1,3,1,0,, ,0,1,0,1
258,3,3,1.5,60,leba maseria,19, ,97, ,1,1,3,0,0,0,0,2, ,,0,0,,1,0,, ,1,1,0,2
383,5,1,2,30,zenboder,19, ,97, ,1,2,3,0,0,0,0,1, ,0,1,1,1,1,0,, ,0,0,0,1
383,5,2,1,30,sefider,19, ,97, ,1,2,2,0,0,0,0,1, ,0,1,1,1,1,0,, ,0,0,0,1
