HH_Id,Region,Zone,District,PA,Village,HHH_Name,HHH_Sex,HHH_Age,HHH_Edcn,Intro_Study,Consent_Resp,HH_Replacement,New_HH_Id,Wheat_Cult,GPS,GPS_Lat,GPS_Long,Interview_Date,Supervisor,Enumerator_Name,MHH_FHH,MHH_Name,FHH_Name,MHH_Phone,FHH_Phone,Respondent_Othr,Respondent_Name,Respondent_Phone,HH_Intvw_LastRound_Yn,Num_HH_Memb,Num_HH_Boys,Num_HH_Girl,Num_Boys_AttndSchool,Num_Girl_AttndSchool,Total_Num_OM,Num_OM_Work,Num_OM_Study,Num_OM_Other,Main_Language,Language_Othr,MHH_Relgn,MHH_Relgn_Othr,FHH_Relgn,FHH_Relgn_Othr,Num_HH_AdultMemb
245,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,DEBRE BIRHAN-05,Yezich,Removed,Male,47,Adult education or 1 year of education,1,1,,1,1,1,10.93,38.13,24072021,3,3,1,Removed,Removed,0,0,0, ,,1,3,2,1,2,0,0,,,,2, ,1, ,1, ,3
246,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,DEBRE BIRHAN-05,mehal sefer (leba maserya),Removed,Male,40,8,1,1,,1,1,1,10.94,38.13,24072021,3,31,1,Removed,Removed,Removed,0,1,Removed,0,1,3,1,2,1,1,0,,,,2, ,1, ,1, ,3
247,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,DEBRE BIRHAN-05,Mehal sefir (Enegata),Removed,Male,48,2,1,1,,1,1,1,10.92,38.12,24072021,3,34,1,Removed,Removed,0,0,0, ,,1,5,2,2,1,0,0,,,,2, ,1, ,1, ,5
251,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,DEBRE BIRHAN-05,Leba Maseria(Mehalsefer),Removed,Male,49,3,1,1,,1,1,1,10.94,38.13,24072021,3,36,1,Removed,Removed,0,0,0, ,,1,6,1,2,1,0,0,,,,2, ,1, ,1, ,6
252,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,DEBRE BIRHAN-05,Yezich,Removed,Male,59,Adult education or 1 year of education,1,1,,1,1,1,10.92,38.17,24072021,3,37,1,Removed,Removed,Removed,0,0, ,,1,2,1,1,0,0,0,,,,2, ,1, ,1, ,2
253,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,DEBRE BIRHAN-05,Yezech,Removed,Female,40,None/Illiterate,1,1,,1,1,1,10.94,38.13,24072021,3,31,2, ,Removed,,0,0, ,,1,3,1,1,1,0,0,,,,2, ,, ,1, ,3
255,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,DEBRE BIRHAN-05,Mehal sefer,Removed,Male,44,None/Illiterate,1,1,,1,1,1,10.93,38.13,24072021,3,36,1,Removed,Removed,Removed,0,0, ,,1,3,1,2,1,1,0,,,,2, ,1, ,1, ,3
256,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,DEBRE BIRHAN-05,yezeche,Removed,Male,38,None/Illiterate,1,1,,1,1,1,10.92,38.16,23072021,3,33,1,Removed,Removed,0,0,0, ,,1,3,1,2,0,1,0,,,,2, ,1, ,1, ,3
257,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,DEBRE BIRHAN-05,Leba maserya (Mehalesefer),Removed,Male,36,3,1,1,,1,1,1,10.92,38.17,23072021,3,33,1,Removed,Removed,0,0,0, ,,1,3,1,1,0,0,0,,,,2, ,1, ,1, ,3
258,AMHARA,EAST   GOJAM,GONCHA SISO ENESE,DEBRE BIRHAN-05,Amba,Removed,Male,42,4,1,1,,1,1,1,10.94,38.13,24072021,3,34,1,Removed,Removed,0,0,0, ,,1,4,1,3,1,2,0,,,,2, ,1, ,1, ,4
383,AMHARA,EAST   GOJAM,AWABEL,LUMAME DENGORA,Mehale Amba,Removed,Male,46,None/Illiterate,1,1,,1,1,1,10.24,27.87,17072021,3,34,1,Removed,Removed,Removed,0,0, ,,1,3,0,1,,0,0,,,,2, ,1, ,1, ,3
385,AMHARA,EAST   GOJAM,AWABEL,LUMAME DENGORA,MEHAL AMBA,Removed,Male,38,None/Illiterate,1,1,,1,1,1,10.24,37.87,17072021,3,34,1,Removed,Removed,Removed,0,0, ,,1,4,0,0,,,0,,,,2, ,1, ,1, ,4
386,AMHARA,EAST   GOJAM,AWABEL,LUMAME DENGORA,Lumamie,Removed,Male,48,None/Illiterate,1,1,,1,1,1,10.22,37.94,17072021,3,31,1,Removed,Removed,Removed,Removed,0, ,,1,3,2,0,1,,1,0,1,0,2, ,1, ,1, ,3
388,AMHARA,EAST   GOJAM,AWABEL,LUMAME DENGORA,Mehal Amba,Removed,Male,51,Adult education or 1 year of education,1,1,,1,1,1,10.24,37.87,17072021,3,34,1,Removed,Removed,0,0,0, ,,1,4,0,0,,,1,1,0,0,2, ,1, ,1, ,4
389,AMHARA,EAST   GOJAM,AWABEL,LUMAME DENGORA,Lumame(Bejrond),Removed,Male,58,None/Illiterate,1,1,,1,1,1,10.22,37.94,17072021,3,36,1,Removed,Removed,0,0,0, ,,1,5,1,1,0,0,0,,,,2, ,1, ,1, ,5
390,AMHARA,EAST   GOJAM,AWABEL,LUMAME DENGORA,Korch,Removed,Male,38,Adult education or 1 year of education,1,1,,1,1,1,10.22,37.94,17072021,3,3,1,Removed,Removed,Removed,0,0, ,,1,2,2,0,1,,0,,,,2, ,1, ,1, ,2
391,AMHARA,EAST   GOJAM,AWABEL,LUMAME DENGORA,KORCH,Removed,Male,47,Adult education or 1 year of education,1,1,,1,1,1,10.21,37.95,17072021,3,37,1,Removed,Removed,Removed,0,1,Removed,0,1,3,1,2,0,1,0,,,,2, ,1, ,1, ,3
392,AMHARA,EAST   GOJAM,AWABEL,LUMAME DENGORA,Bejrond/Lumame/,Removed,Male,50,None/Illiterate,1,1,,1,1,1,10.22,37.94,17072021,3,33,1,Removed,Removed,0,0,0, ,,1,4,1,2,1,1,0,,,,2, ,1, ,1, ,4
393,AMHARA,EAST   GOJAM,AWABEL,LUMAME DENGORA,LUMAME,Removed,Male,76,None/Illiterate,1,1,,1,1,1,10.24,37.94,17072021,3,31,1,Removed,Removed,0,0,0, ,,1,4,0,0,,,0,,,,2, ,1, ,1, ,4
394,AMHARA,EAST   GOJAM,AWABEL,LUMAME DENGORA,Lumamie,Removed,Male,46,None/Illiterate,1,1,,1,1,1,10.22,37.94,17072021,3,33,1,Removed,Removed,0,0,0, ,,1,5,0,3,,2,0,,,,2, ,1, ,1, ,5
395,AMHARA,EAST   GOJAM,AWABEL,LUMAME DENGORA,Beklo Seber (Korch),Removed,Male,66,None/Illiterate,1,1,,1,1,1,10.22,37.94,17072021,3,37,1,Removed,Removed,Removed,0,0, ,,1,6,4,3,0,1,1,1,0,0,2, ,1, ,1, ,6
529,AMHARA,NORTH SHOA,MENZ MAMA MIDER,07 ANGAWA/YEDIL FIRE,Atariamba,Removed,Male,36,8,1,1,,1,1,1,10.17,39.73,07082021,3,33,1,Removed,Removed,0,0,0, ,,1,2,2,0,1,,0,,,,2, ,1, ,1, ,2
