HH_Id,Item_Consumed,Money_Value_ETB,Spent_Low_Yn
245,1,0,
245,2,2000,0
245,3,0,
245,4,2000,1
245,5,2000,1
245,6,0,
245,7,650,1
245,8,60,1
245,9,0,
246,1,350,0
246,2,2000,0
246,3,600,0
246,4,5000,0
246,5,1200,1
246,6,0,
246,7,550,1
246,8,150,0
246,9,0,
247,1,300,1
247,2,350,0
247,3,0,
247,4,300,0
247,5,0,
247,6,0,
247,7,500,0
247,8,0,
247,9,0,
251,1,2800,0
251,2,5000,0
251,3,420,0
251,4,0,
251,5,600,0
251,6,0,
251,7,600,0
251,8,0,
251,9,3500,0
252,1,4000,0
252,2,1500,0
252,3,400,0
252,4,1500,0
252,5,500,0
252,6,1000,0
252,7,400,0
252,8,0,
252,9,0,
253,1,275,0
253,2,2000,0
253,3,3450,1
253,4,0,
253,5,1000,0
253,6,0,
253,7,265,1
253,8,150,0
253,9,0,
255,1,2500,0
255,2,6000,0
255,3,440,0
255,4,0,
255,5,400,0
255,6,0,
255,7,370,0
255,8,0,
255,9,1500,0
256,1,200,0
256,2,1500,0
256,3,400,0
256,4,800,0
256,5,400,0
256,6,0,
256,7,360,0
256,8,0,
256,9,500,0
257,1,500,0
257,2,3000,0
257,3,400,0
257,4,2000,0
257,5,400,0
257,6,0,
257,7,0,
257,8,0,
257,9,0,
258,1,500,0
258,2,400,0
258,3,400,0
258,4,300,1
258,5,2000,0
258,6,0,
258,7,350,0
258,8,0,
258,9,0,
383,1,5000,0
383,2,3000,0
383,3,250,0
383,4,1000,0
383,5,1000,0
383,6,0,
383,7,1500,0
383,8,0,
383,9,0,
385,1,5000,0
385,2,3000,0
385,3,240,1
385,4,4000,0
385,5,1000,0
385,6,1800,0
385,7,0,
385,8,0,
385,9,0,
386,1,200,0
386,2,600,0
386,3,300,0
386,4,1800,0
386,5,500,0
386,6,3000,1
386,7,1100,0
386,8,0,
386,9,0,
388,1,4000,1
388,2,12000,0
388,3,250,0
388,4,1500,0
388,5,0,
388,6,0,
388,7,1250,0
388,8,0,
388,9,0,
389,1,1500,0
389,2,5000,0
389,3,0,
389,4,0,
389,5,0,
389,6,0,
389,7,130,0
389,8,0,
389,9,0,
390,1,3000,1
390,2,4000,1
390,3,0,
390,4,3500,1
390,5,200,1
390,6,0,
390,7,0,
390,8,0,
390,9,0,
391,1,550,1
391,2,900,1
391,3,400,0
391,4,0,
391,5,300,1
391,6,0,
391,7,0,
391,8,0,
391,9,0,
392,1,0,
392,2,3000,0
392,3,800,0
392,4,0,
392,5,800,0
392,6,0,
392,7,1000,0
392,8,0,
392,9,0,
393,1,150,0
393,2,300,0
393,3,300,0
393,4,2500,0
393,5,500,1
393,6,0,
393,7,875,0
393,8,0,
393,9,0,
394,1,0,
394,2,3000,0
394,3,0,
394,4,1500,0
394,5,200,0
394,6,0,
394,7,900,0
394,8,0,
394,9,0,
395,1,500,0
395,2,1500,1
395,3,800,0
395,4,0,
395,5,450,0
395,6,0,
395,7,0,
395,8,0,
395,9,0,
529,1,800,0
529,2,5000,1
529,3,440,1
529,4,300,0
529,5,200,0
529,6,8400,1
529,7,360,0
529,8,0,
529,9,0,
531,1,500,0
531,2,3000,0
531,3,0,
531,4,10000,1
531,5,500,1
531,6,0,
531,7,250,1
531,8,150,0
531,9,0,
532,1,0,
532,2,1500,0
532,3,350,0
532,4,700,0
532,5,400,0
532,6,0,
532,7,400,0
532,8,0,
532,9,0,
533,1,1500,0
533,2,2000,0
533,3,260,1
533,4,0,
533,5,300,0
533,6,0,
533,7,315,1
533,8,0,
533,9,0,
535,1,0,
535,2,800,1
535,3,430,1
535,4,0,
535,5,0,
535,6,0,
535,7,480,1
535,8,0,
535,9,0,
536,1,500,0
536,2,2000,0
536,3,240,0
536,4,8000,0
536,5,1500,1
536,6,0,
536,7,180,1
536,8,200,0
536,9,0,
537,1,5000,1
537,2,10000,1
537,3,280,0
537,4,0,
537,5,4000,0
537,6,0,
537,7,180,0
537,8,0,
537,9,1000,0
538,1,440,1
538,2,2000,1
538,3,240,1
538,4,2000,1
538,5,300,1
538,6,0,
538,7,600,1
538,8,100,1
538,9,0,
539,1,2000,0
539,2,60,0
539,3,240,0
539,4,0,
539,5,1500,0
539,6,8,0
539,7,240,1
539,8,0,
539,9,1800,0
561,1,0,
561,2,1000,1
561,3,400,0
561,4,2000,0
561,5,0,
561,6,0,
561,7,480,1
561,8,500,0
561,9,0,
563,1,4000,1
563,2,2000,1
563,3,270,1
563,4,4000,1
563,5,300,1
563,6,0,
563,7,1800,1
563,8,120,1
563,9,0,
564,1,0,
564,2,900,0
564,3,450,1
564,4,0,
564,5,350,0
564,6,1800,0
564,7,420,0
564,8,0,
564,9,0,
565,1,2000,0
565,2,6000,0
565,3,240,0
565,4,0,
565,5,0,
565,6,0,
565,7,1200,0
565,8,0,
565,9,2000,0
567,1,550,0
567,2,2000,0
567,3,330,0
567,4,0,
567,5,1200,0
567,6,0,
567,7,1500,0
567,8,0,
567,9,0,
568,1,0,
568,2,3000,0
568,3,8000,0
568,4,4000,0
568,5,1000,0
568,6,0,
568,7,1200,0
568,8,0,
568,9,0,
569,1,450,0
569,2,3000,0
569,3,500,0
569,4,5000,0
569,5,1200,0
569,6,0,
569,7,2500,0
569,8,0,
569,9,0,
