HH_ID,F12_INTRO,M12_RESP_ID
245,1,2
246,1,3
247,1,2
251,1,2
252,1,2
253,1,1
255,1,2
256,1,2
257,1,2
258,1,2
383,1,2
385,1,2
386,1,2
388,1,2
389,1,2
390,1,2
391,1,2
392,1,2
393,1,2
394,1,2
395,1,2
529,1,2
531,1,2
532,1,2
533,1,2
535,1,1
536,1,1
537,1,2
538,1,2
539,1,2
561,1,2
563,1,2
564,1,2
565,1,2
567,1,2
568,1,2
569,1,2
570,1,2
571,1,2
572,1,2
573,1,2
574,1,2
575,1,1
576,1,1
943,1,2
944,1,2
945,1,2
946,1,2
948,1,2
949,1,2
951,1,2
952,1,2
956,1,2
957,1,2
958,1,2
959,1,2
960,1,2
961,1,2
962,1,2
963,1,2
964,1,2
965,1,2
967,1,2
968,1,2
969,1,2
971,1,2
973,1,2
1047,1,2
1048,1,2
1049,1,2
1050,1,2
1051,1,2
1052,1,2
1055,1,2
1056,1,1
1057,1,2
1058,1,2
1059,1,2
1060,1,2
1117,1,2
1118,1,1
1120,1,2
1121,1,2
1122,1,2
1124,1,1
1127,1,2
1131,1,2
1344,1,2
1346,1,2
1347,1,1
1349,1,2
1350,1,2
1352,1,2
1354,1,2
1356,1,2
1357,1,2
1358,1,2
1359,1,2
1379,1,2
1380,1,2
1381,1,1
1382,1,2
1383,1,2
1385,1,2
1386,1,2
1387,1,2
1388,1,2
1390,1,2
1391,1,1
1393,1,2
1394,1,2
1396,1,2
1397,1,2
1398,1,2
1399,1,2
1400,1,2
1502,1,2
1504,1,1
1505,1,2
1506,1,2
1507,1,2
1508,1,2
1509,1,2
1559,1,2
1561,1,2
1562,1,2
1563,1,2
1895,1,2
1897,1,2
1899,1,2
1923,1,2
1925,1,2
1926,1,2
1930,1,2
1931,1,2
1932,1,2
1933,1,2
1934,1,2
1935,1,2
1936,1,1
1938,1,2
1942,1,1
1944,1,2
1945,1,2
1947,1,2
1949,1,2
1950,1,1
1951,1,2
1952,1,2
1953,1,2
1954,1,2
1955,1,1
1957,1,2
1960,1,2
1961,1,2
1962,1,2
1963,1,2
1965,1,2
1966,1,1
1967,1,2
1968,1,2
1969,1,2
1975,1,1
1976,1,2
1978,1,2
1980,1,2
1991,1,2
1992,1,1
1993,1,2
1994,1,2
1995,1,2
1996,1,2
1997,1,2
1999,1,2
2000,1,2
2020,1,2
2021,1,2
2023,1,2
2025,1,2
2026,1,2
2027,1,2
2031,1,2
2032,1,2
2033,1,2
2085,1,2
2086,1,2
2088,1,2
2089,1,2
2093,1,2
2094,1,1
2095,1,2
2096,1,2
2097,1,2
2098,1,2
2099,1,2
4001,1,2
4002,1,2
4003,1,2
4004,1,2
4005,1,2
4006,1,2
4007,1,2
4008,1,2
4009,1,2
4010,1,2
4011,1,2
4012,1,2
4013,1,2
4014,1,2
4015,1,2
4016,1,2
4017,1,2
4018,1,2
4019,1,2
4020,1,2
4021,1,1
4022,1,2
4023,1,2
4024,1,2
4025,1,2
4026,1,1
4027,1,2
4028,1,2
4029,1,2
4030,1,2
4031,1,2
4032,1,2
4033,1,2
4034,1,2
4035,1,2
4036,1,1
4037,1,2
4038,1,1
4039,1,2
4040,1,2
4041,1,2
4042,1,2
4043,1,2
4044,1,2
4045,1,2
4046,1,2
4047,1,2
4048,1,2
98,1,2
99,1,2
100,1,2
101,1,2
102,1,2
103,1,2
260,1,2
261,1,2
262,1,1
263,1,2
264,1,2
266,1,2
267,1,2
269,1,2
270,1,2
271,1,2
272,1,2
273,1,2
275,1,2
276,1,2
277,1,1
278,1,2
279,1,2
280,1,2
281,1,2
282,1,2
283,1,2
285,1,2
286,1,2
287,1,2
289,1,2
290,1,2
292,1,2
293,1,2
295,1,2
296,1,2
297,1,2
299,1,2
301,1,2
302,1,2
303,1,1
304,1,2
305,1,2
307,1,2
308,1,2
309,1,2
310,1,2
311,1,2
490,1,1
491,1,2
492,1,2
493,1,2
494,1,2
518,1,2
520,1,1
