Code ,Code Description 
Code 1,"1=Yes, 0= No "
Code 2,"0= Female, 1=Male, 2=other"
Code 3,"0= Self (Woman HH head), 1= Self (Male HH head), 2= Spouse, 3= Son/Daughter, 4= Grandchild, 5= Father/Mother, 6= Brother/Sister, 7= Nephew/Niece, 8= Uncle/Aunt, 9= Son-in-law/Daughter-in-law, 10= Father-in-law/Mother-in-law, 11= Brother-in-law/Sister-in-law, 12= Grandparent, 13= Other relatives of head/spouse, 14= Laborer (farm worker, herder, maid etc.), 15= Other unrelated person (e.g., friend)"
Code 4,"1= Household activities (e.g., taking care of kids, cleaning), 2= Self-employed in crop production, 3= Self-employed in livestock production or fisheries, 4= Self-employed outside agriculture locally (e.g., business), 5= Employed in agricultural sector, permanent (e.g., laborer working every day in a plantation), 6= Employed in agricultural sector, temporarily (or daily wages), 7= Employed outside agricultural sector, permanent, 8= Employed outside agricultural sector, temporary (or daily wages), 9= Unpaid worker, 10= Unemployed, being a student, 11= Unemployed, but looking for work, 12= Unemployed, and unable to work, 13= Not in labor force because of old age, 14= Others (specify)"
Code 5,"0 = Did not complete 1st grade, 1 = Completed 1st grade, 2 = Completed 2nd grade, 3 = Completed 3rd grade, 4 = Completed 4th grade, 5 = Completed 5th grade, 6 = Completed 6th grade, 7 = Completed 7th grade, 8 = Completed 8th grade, 9 = Completed 9th grade, 10 = Completed 10th grade, 11 = Completed 11th grade, 12 = Completed 12th grade, 13 = Incomplete Bachelors, 14 = Completed Bachelors, 15 = Incomplete Masters, 16 = Completed Masters (or above), 97 = Adult literacy program, 98 = Religious education, 99 = Others (specify)"
Code 6,"1= Not at all, 2= Only in a few activities, 3= Majority of the activities, 4= All activities"
Code 7,"1=Married, 2=Single, 3=Divorced or Separated, 4=Widowed"
Code 8,"1=The person sends (gives) money to the household most of the time, 2=The household sends (gives) money to this member most of the time, 3=Money exchange happens in both ways, 4=No money exchange happened in the last 12 months"
Code 9,"0=Fallow, 1=Rice, 2=Wheat, 3=Maize, 4= Sorghum, 5=Pulses/legumes, 6= Millets/course cereals; 7=Mustard/Rapeseed, 8=Soybean, 9=groundnut; 10=other oil yielding crops; 11=Tobacco, 12=Vegetables, 13= Fruit trees, 14=Grass/fodder, 15=Potato, 16=Cotton, 17=jute; 18=Sugarcane, 19=Teff; 97=N/A; 99=other (specify)"
Code 10,"1=Afaan Oromo, 2=Amharic, 3=Guragegna, 4=Kembatagna, 5=Tigrigna, 6=Others, specify"
Code 11,"0=Non-religious, 1=Christian (Orthodox, Catholic, Protestant), 2=Muslim, 3=Others (specify), 99=Can’t say"
