HH_Id,SocioEconomic_Intro_M,Module_Resp_M,Next_Season_Plan_M,Wheat_Area_Change _M,WArea_Change_CovidEff_M,Wheat_Replace_Crop_M,Wheat_Replace_OthrCrop_M,Wheat_ReplaceBy_Crop_M,Wheat_ReplaceBy_OthrCrop_M,Wheat_Cult_NextSeason_Yn_M,Wheat_Area_Change_Rsn _M,Wheat_Area_Change_OthrRsn _M,WheatSeed_Qnt_Change_M,Increse_Input_Yn_M,Increse_Input_Rsn_M,Increse_Input_OthrRsn_M,Wheat_Constraints_M,WConstraints_SeedAvlblty_M,WConstraints_SeedPrice_M,WConstraints_SeedQlty_M,WConstraints_SeedCredit_M,WConstraints_FertAvlblty_M,WConstraints_FertPrice_M,WConstraints_FertCredit_M,WConstraints_QltyChemFert_M,WConstraints_HumanLabour_M,WConstraints_WageRate_M,WConstraints_SkilledLabour_M,WConstraints_AvlbltyChemHerb_M,WConstraints_HerbicidePrice_M,WConstraints_HerbicideCredit_M,WConstraints_QltyHerbicide_M,WConstraints_OutputMrkt_M,WConstraints_AccessInfo_M,WConstraints_GrainPrice_M,WConstraints_AvlbltyFamLab_M,WConstraints_Drought_M,WConstraints_Flood_M,WConstraints_Heat_M,WConstraints_Pest_M,WConstraints_Disease_M,WConstraints_SoilFert_M,WConstraint_Rank_M,WConstraint_Rank1_M,WConstraint_Rank2_M,WConstraint_Rank3_M
245,1,1,1,2,0,, ,19, ,0,12, ,0,0,, ,ADEGY,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ADE,A,D,E
246,1,1,1,3,,, ,, ,,, ,1,,13, ,ABEFMY,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,AFY,A,F,Y
247,1,1,1,3,,, ,, ,,, ,0,0,, ,EFX,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EFX,E,F,X
251,1,1,1,2,0,, ,19, ,0,5, ,1,,1, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F
252,1,1,1,3,,, ,, ,,, ,0,1,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E, , 
253,,,,,,, ,, ,,, ,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,, , , , 
255,1,1,1,2,0,, ,19, ,1,1, ,0,1,, ,ABCDEF,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F
256,1,1,1,1,0,2, ,, ,,1, ,1,,2, ,ABE,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E
257,1,1,1,1,0,2, ,, ,,2, ,1,,1, ,AEFGS,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AES,A,E,S
258,1,1,1,3,,, ,, ,,, ,0,0,, ,EFM,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,EFM,E,F,M
383,1,1,1,2,0,, ,19, ,1,1, ,1,,1, ,X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,X, , 
385,1,1,1,2,0,, ,3, ,1,99,crop rotation,1,,99,crop rotatio,ABCEFWX,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,ABC,A,B,C
386,1,1,1,3,,, ,, ,,, ,1,,1, ,ABFGMWY,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,BFY,B,F,Y
388,1,1,1,2,0,, ,3, ,1,99,crop rotation,1,,99,dosnt caltivated,ABFJWX,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,AFW,A,F,W
389,1,1,1,3,,, ,, ,,, ,2,,, ,ABCEF,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F
390,1,1,1,3,,, ,, ,,, ,0,1,, ,AEFG,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AEF,A,E,F
391,1,1,1,3,,, ,, ,,, ,2,,, ,B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,B, , 
392,1,1,1,3,,, ,, ,,, ,1,,1, ,ABG,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABG,A,B,G
393,1,1,1,3,,, ,, ,,, ,1,,1, ,EFY,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,EFY,E,F,Y
394,1,1,1,3,,, ,, ,,, ,0,0,, ,BDFY,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BDF,B,D,F
395,1,1,1,3,,, ,, ,,, ,2,,, ,BFM,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,B, , 
529,1,1,1,3,,, ,, ,,, ,1,,1, ,ABDEFH,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABH,A,B,H
531,1,1,1,1,0,99,BARELY,, ,,13, ,1,,8, ,ABEFWXY,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,AEX,A,E,X
532,1,1,1,3,,, ,, ,,, ,1,,10, ,ABCD,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
533,1,1,1,2,0,, ,99,barley,1,1, ,1,,1, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEF,B,E,F
535,,,,,,, ,, ,,, ,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,, , , , 
536,1,1,1,3,,, ,, ,,, ,0,1,, ,ABEFMXY,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,EFY,E,F,Y
537,1,1,1,2,0,, ,99,BARLY,0,1, ,0,0,, ,ABEFG,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BEF,B,E,F
538,1,1,1,1,0,99,Barely,, ,,13, ,1,,11, ,BEFY,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BEF,B,E,F
539,1,1,1,2,0,, ,6, ,0,1, ,2,,, ,ABCDEFGHI,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AFG,A,F,G
561,1,3,1,1,0,19, ,, ,,2, ,0,0,, ,ABF,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A, , 
563,1,1,1,2,0,, ,19, ,0,1, ,0,0,, ,EFY,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,EFY,E,F,Y
564,1,1,1,3,,, ,, ,,, ,0,0,, ,BEF,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,E, , 
565,1,1,1,2,0,, ,6, ,1,1, ,0,1,, ,ABCDEFGH,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BCF,B,C,F
567,1,1,1,3,,, ,, ,,, ,1,,4, ,ABCDE,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
568,1,1,1,1,0,99,BARLY,, ,,1, ,0,1,, ,ABCDEF,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
569,1,3,1,3,,, ,, ,,, ,2,,, ,ABCDE,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ABC,A,B,C
