HH_Id,New_Var_Last5Yrs_Yn_M,Num_Cult_Variety_M,SL_No_M,Variety_Name_M,VarSeed_Src_M,VarSeed_Src_Othr_M,HowVar_Acquire_M,HowVar_Acquire_Othr_M,When_First_Grwn_M,Still_Grwng_Yn_M,Still_Grwng_Why_M,Still_Grwng_Why_Othr_M,NotStill_Grwng_Why_M,NotStill_Grwng_WhyOthr_M
245,0,,, ,, ,, ,,,, ,, 
246,0,,, ,, ,, ,,,, ,, 
247,0,,, ,, ,, ,,,, ,, 
251,0,,, ,, ,, ,,,, ,, 
252,0,,, ,, ,, ,,,, ,, 
253,0,,, ,, ,, ,,,, ,, 
255,0,,, ,, ,, ,,,, ,, 
256,0,,, ,, ,, ,,,, ,, 
257,0,,, ,, ,, ,,,, ,, 
258,0,,, ,, ,, ,,,, ,, 
383,0,,, ,, ,, ,,,, ,, 
385,0,,, ,, ,, ,,,, ,, 
386,0,,, ,, ,, ,,,, ,, 
388,0,,, ,, ,, ,,,, ,, 
389,0,,, ,, ,, ,,,, ,, 
390,0,,, ,, ,, ,,,, ,, 
391,0,,, ,, ,, ,,,, ,, 
392,0,,, ,, ,, ,,,, ,, 
393,0,,, ,, ,, ,,,, ,, 
394,1,1,1,KEKEBA,6, ,4, ,2011,1,2, ,, 
395,0,,, ,, ,, ,,,, ,, 
529,0,,, ,, ,, ,,,, ,, 
531,1,2,1,SHEMET,3, ,4, ,2009,0,, ,5, 
531,1,2,2,DEGELU,3, ,4, ,2010,0,, ,5, 
532,1,1,1,DIGELU,6, ,4, ,2009,1,2, ,, 
533,1,2,1,hedasse,3, ,4, ,2009,0,, ,5, 
533,1,2,2,dendea,3, ,4, ,2012,1,2, ,, 
535,1,1,1,ADIDAS,3, ,4, ,2009,0,, ,3, 
536,0,,, ,, ,, ,,,, ,, 
537,0,,, ,, ,, ,,,, ,, 
538,0,,, ,, ,, ,,,, ,, 
539,0,,, ,, ,, ,,,, ,, 
