HH_Id,Impr_WheatVar_Trait,Trait_HighYld,Trait_Adaption,Trait_High_StawYld,Trait_Taller,Trait_Shorter,Trait_Lodging_Tol,Trait_Disese_Res,Trait_BoldGrain,Trait_Duration,Trait_GoodTillering,Trait_SeedRate,Trait_EasyThreshing,Trait_Storability,Trait_FlourColour,Trait_MineralRich,Trait_BreadMaking,Trait_HighProtein,Trait_HighFibre,Trait_Taste,Trait_Milling_Qlty,Trait_Grain_Price,Trait_Rank,Trait_Rank_1,Trait_Rank_2,Trait_Rank_3,Seed_Src_Saving,Seed_Src_SocialNetwork,Seed_Src_Markets,Seed_Src_ComntySeedGrp,Seed_Src_GovAgency,Seed_Src_GovAgency1,Seed_Src_NonGov,Seed_Src_Other,Seed_Src_Specify,Seed_Market_1,Seed_Market_2,Last_Seasn_OwnWSeed
245,ABU,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ABU,A,B,U,1,1,1,0,0,0,0,0, ,Gindewoyin,None,1
246,ABCFHP,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,AFP,A,F,P,1,1,1,0,0,1,0,0, ,GENDE WOIN,NONE,1
247,AGHI,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,AGH,A,G,H,1,1,1,1,0,0,0,0, ,gendewoyen,none,1
251,ABEH,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ABE,A,B,E,1,1,1,0,0,0,0,0, ,GINDEWEYIN,NONE,1
252,BCG,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,G, , ,1,1,1,1,0,0,0,0, ,GENDE WEINE,NONE,1
253,ABCDHPS,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,ACP,A,C,P,1,1,1,0,0,1,0,0, ,GENDE WOIN,NONE,1
255,ABCH,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BCH,B,C,H,1,1,1,1,0,0,0,0, ,GINDEWEYIN,NONE,1
256,ABMT,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,ABT,A,B,T,1,0,0,0,1,1,0,0, ,GINDEWOYEN,NONE,1
257,ABMP,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,ABP,A,B,P,1,0,1,0,1,0,0,0, ,GINDEWOYEN,NONE,1
258,AGHST,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,AGS,A,G,S,1,1,1,1,0,0,0,0, ,gendewoyen,mereto lemariam,1
383,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,A, , ,0,1,0,1,0,1,0,0, ,lumame,none,0
