HH_Id,Decision_Intro,Influence_Decision_Income
245,1,2
246,1,2
247,1,2
251,1,2
252,1,2
253,1,2
255,1,2
256,1,2
257,1,2
258,1,1
383,1,3
385,1,2
386,1,2
388,1,1
389,1,2
390,1,2
391,1,2
392,1,2
393,1,2
394,1,2
395,1,1
529,1,1
531,1,1
532,1,2
533,1,1
535,1,3
536,1,2
537,1,2
538,1,2
539,1,2
561,1,3
563,1,2
564,1,2
565,1,2
567,1,1
568,1,2
569,1,2
570,1,2
571,1,3
572,1,2
573,1,2
574,1,1
575,1,1
576,1,1
943,1,1
944,1,2
945,1,2
946,1,1
948,1,2
949,1,2
951,1,2
952,1,2
956,1,2
957,1,2
958,1,2
959,1,1
960,1,1
961,1,2
962,1,1
963,1,2
964,1,2
965,1,1
967,1,1
968,1,1
969,1,2
971,1,2
973,1,2
1047,1,2
1048,1,2
1049,1,1
1050,1,2
1051,1,2
1052,1,3
1055,1,1
1056,1,2
1057,1,2
1058,1,2
1059,1,2
1060,1,2
1117,1,2
1118,1,3
1120,1,1
1121,1,2
1122,1,2
1124,1,3
1127,1,2
1131,1,2
1344,1,2
1346,1,1
1347,1,3
1349,1,2
1350,1,1
1352,1,1
1354,1,3
1356,1,1
1357,1,2
1358,1,1
1359,1,1
1379,1,2
1380,1,1
1381,1,3
1382,1,1
1383,1,2
1385,1,2
1386,1,2
1387,1,4
1388,1,1
1390,1,2
1391,1,3
1393,1,1
1394,1,1
1396,1,1
1397,1,2
1398,1,1
1399,1,1
1400,1,1
1502,1,2
1504,1,3
1505,1,1
1506,1,1
1507,1,2
1508,1,2
1509,1,2
1559,1,2
1561,1,2
1562,1,2
1563,1,1
1895,1,2
1897,1,2
1899,1,2
1923,1,3
1925,1,2
1926,1,2
1930,1,2
1931,1,2
1932,1,2
1933,1,2
1934,1,1
1935,1,2
1936,1,2
1938,1,2
1942,1,3
1944,1,2
1945,1,2
1947,1,2
1949,1,2
1950,1,2
1951,1,2
1952,1,2
1953,1,2
1954,1,1
1955,1,1
1957,1,3
1960,1,1
1961,1,2
1962,1,1
1963,1,1
1965,1,3
1966,1,3
1967,1,1
1968,1,2
1969,1,2
1975,1,3
1976,1,2
1978,1,2
1980,1,2
1991,1,1
1992,1,2
1993,1,2
1994,1,2
1995,1,2
1996,1,1
1997,1,2
1999,1,2
2000,1,2
2020,1,2
2021,1,2
2023,1,2
2025,1,2
2026,1,1
2027,1,3
2031,1,2
2032,1,2
2033,1,2
2085,1,2
2086,1,1
2088,1,2
2089,1,2
2093,1,2
2094,1,3
2095,1,2
2096,1,2
2097,1,1
2098,1,2
2099,1,2
4001,1,2
4002,1,2
4003,1,2
4004,1,1
4005,1,2
4006,1,2
4007,1,2
4008,1,2
4009,1,2
4010,1,2
4011,1,2
4012,1,2
4013,1,2
4014,1,1
4015,1,2
4016,1,2
4017,1,1
4018,1,2
4019,1,2
4020,1,1
4021,1,3
4022,1,2
4023,1,2
4024,1,2
4025,1,2
4026,1,3
4027,1,2
4028,1,2
4029,1,1
4030,1,1
4031,1,2
4032,1,2
4033,1,2
4034,1,2
4035,1,2
4036,1,3
4037,1,2
4038,1,3
4039,1,2
4040,1,2
4041,1,1
4042,1,2
4043,1,2
4044,1,1
4045,1,1
4046,1,2
4047,1,1
4048,1,2
98,1,2
99,1,2
100,1,3
101,1,3
102,1,2
103,1,2
260,1,2
261,1,3
262,1,3
263,1,2
264,1,2
266,1,2
267,1,2
269,1,2
270,1,2
271,1,2
272,1,2
273,1,2
275,1,3
276,1,2
277,1,3
278,1,3
279,1,2
280,1,1
281,1,2
282,1,1
283,1,2
285,1,2
286,1,1
287,1,3
289,1,2
290,1,3
292,1,2
293,1,2
295,1,2
296,1,2
297,1,2
299,1,2
301,1,2
302,1,2
303,1,3
304,1,2
305,1,2
307,1,1
308,1,2
309,1,2
310,1,2
311,1,2
490,1,3
491,1,2
492,1,2
493,1,2
494,1,2
518,1,2
520,1,4
521,1,1
522,1,2
523,1,2
577,1,2
580,1,2
581,1,3
583,1,3
584,1,3
585,1,3
586,1,3
587,1,2
588,1,3
589,1,3
590,1,3
591,1,3
718,1,2
719,1,3
