HH_Id,Info_Src_Name,Info_Access_Yn,NoInfo_Access_Rsn,NoInfo_Access_Rsn_Othr,Info_Access_Decision
245,1,2,, ,5
245,2,3,5, ,
245,3,3,5, ,
245,4,3,2, ,
245,5,3,2, ,
245,6,3,6, ,
246,1,1,, ,2
246,2,3,3, ,
246,3,2,, ,2
246,4,3,2, ,
246,5,3,2, ,
246,6,3,3, ,
247,1,3,1, ,
247,2,3,1, ,
247,3,3,1, ,
247,4,2,, ,2
247,5,3,1, ,
247,6,3,1, ,
251,1,2,, ,5
251,2,3,1, ,
251,3,3,1, ,
251,4,3,1, ,
251,5,3,1, ,
251,6,3,1, ,
252,1,1,, ,5
252,2,1,, ,5
252,3,1,, ,2
252,4,99,, ,
252,5,1,, ,2
252,6,99,, ,
253,1,1,, ,1
253,2,1,, ,1
253,3,1,, ,1
253,4,3,2, ,
253,5,3,2, ,
253,6,3,3, ,
255,1,2,, ,5
255,2,3,1, ,
255,3,3,1, ,
255,4,3,1, ,
255,5,3,1, ,
255,6,3,2, ,
256,1,1,, ,2
256,2,3,1, ,
256,3,2,, ,2
256,4,3,2, ,
256,5,3,2, ,
256,6,2,, ,5
257,1,1,, ,5
257,2,2,, ,2
257,3,3,1, ,
257,4,3,1, ,
257,5,2,, ,2
257,6,3,1, ,
258,1,3,2, ,
258,2,3,2, ,
258,3,3,2, ,
258,4,2,, ,1
258,5,3,2, ,
258,6,3,1, ,
383,1,3,1, ,
383,2,3,1, ,
383,3,1,, ,1
383,4,3,1, ,
383,5,3,1, ,
383,6,3,1, ,
385,1,2,, ,1
385,2,2,, ,1
385,3,1,, ,1
385,4,3,1, ,
385,5,1,, ,1
385,6,3,1, ,
386,1,1,, ,2
386,2,3,3, ,
386,3,1,, ,2
386,4,3,2, ,
386,5,1,, ,2
386,6,3,3, ,
388,1,3,1, ,
388,2,3,1, ,
388,3,3,1, ,
388,4,3,1, ,
388,5,3,1, ,
388,6,3,1, ,
389,1,2,, ,1
389,2,3,1, ,
389,3,3,1, ,
389,4,3,1, ,
389,5,3,1, ,
389,6,3,1, ,
390,1,1,, ,5
390,2,2,, ,5
390,3,1,, ,5
390,4,3,2, ,
390,5,3,2, ,
390,6,3,2, ,
391,1,1,, ,2
391,2,1,, ,2
391,3,1,, ,2
391,4,99,, ,
391,5,1,, ,2
391,6,99,, ,
392,1,3,99, ,
392,2,99,, ,
392,3,99,, ,
392,4,99,, ,
392,5,2,, ,5
392,6,3,99, ,
393,1,1,, ,2
393,2,3,3, ,
393,3,1,, ,2
393,4,3,1, ,
393,5,1,, ,2
393,6,3,3, ,
394,1,3,99, ,
394,2,3,99, ,
394,3,99,, ,
394,4,99,, ,
394,5,99,, ,
394,6,3,99, ,
395,1,1,, ,2
395,2,1,, ,2
395,3,1,, ,2
395,4,1,, ,2
395,5,1,, ,2
395,6,99,, ,
529,1,1,, ,5
529,2,3,1, ,
529,3,3,2, ,
529,4,3,2, ,
529,5,3,2, ,
529,6,3,2, ,
