HH_Id,SocialNetwork_Intro,Num_YrsIn_Kebele,Reltv_InKebele_FinanceNeed,Frnds_InKebele_FinanceNeed,Acquint_InKebele_FinanceNeed,Reltv_OutKebele_FinanceNeed,Frnds_OutKebele_FinanceNeed,Acquint_OutKebele_FinanceNeed,Reltv_Kebele_LeaderPositn,Frnds_Kebele_LeaderPositn,Acquint_Kebele_LeaderPositn,Reltv_InKebele_QltySeed,Frnds_InKebele_QltySeed,Acquint_InKebele_QltySeed,Reltv_OutKebele_QltySeed,Frnds_OutKebele_QltySeed,Acquint_OutKebele_QltySeed,Reltv_InKebele_GrainTrader,Frnds_InKebele_GrainTrader,Acquint_InKebele_GrainTrader,Reltv_OutKebele_GrainTrader,Frnds_OutKebele_GrainTrader,Acquint_OutKebele_GrainTrader,Reltv_InKebele_InfoAccess,Frnds_InKebele_InfoAccess,Acquint_InKebele_InfoAccess,Reltv_OutKebele_InfoAccess,Frnds_OutKebele_InfoAccess,Acquint_OutKebele_InfoAccess,Traders_Trust_Yn,Trader_Trust_Type,Trader_Trust_Type_Othr,Trader_Trust_Why,Rely_GovSupp_Yn,Rely_GovSupp_Covid,GovOfficial_Skill_Conf
245,1,29,1,2,0,3,0,0,4,1,0,2,1,1,1,0,0,0,0,0,0,0,0,5,3,2,1,0,0,2,6, , ,1,0,5
246,1,18,3,1,0,4,1,0,2,1,0,2,0,0,3,1,0,5,2,1,7,3,1,6,3,1,8,4,1,2,2, ,They're Relatively Loyal,0,0,5
247,1,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,3,0,1,6, , ,1,1,5
251,1,48,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,4
252,1,14,3,4,3,5,2,2,0,3,3,2,3,1,0,0,0,0,0,0,2,1,2,4,2,1,0,0,0,5,, , ,1,1,5
253,1,40,4,1,1,5,2,1,3,1,0,5,2,0,3,1,0,4,1,1,5,2,1,6,2,1,8,3,1,5,, , ,1,1,5
255,1,38,2,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,4
256,1,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,6, , ,0,0,2
257,1,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6, , ,0,0,5
258,1,25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,3,0,5,6,0,1,6, , ,1,1,5
383,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
385,1,30,2,2,0,1,1,0,0,0,0,3,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,, , ,1,1,5
386,1,18,3,1,0,4,2,1,5,2,1,3,2,1,4,2,1,4,2,1,5,2,1,5,2,1,4,2,1,2,3, ,They're Loyal,0,0,2
388,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
389,1,30,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,5
390,1,32,20,4,1,3,0,1,2,2,0,3,1,0,0,0,0,0,0,0,2,0,1,5,2,2,1,0,0,3,6, , ,1,0,5
391,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,4,, , ,1,1,4
392,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,2
393,1,67,5,2,0,6,3,1,5,2,1,3,1,1,3,1,1,5,2,1,6,3,1,5,2,1,4,2,1,1,3, ,They're Loyal,1,1,4
394,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,1,0,5
395,1,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,2,0,0,0,3,1, , NONE,1,1,4
529,1,38,3,0,0,2,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,1,6, , ,0,0,2
531,1,3,1,1,4,2,1,1,4,2,1,3,1,0,2,1,0,4,1,1,7,3,1,8,4,3,7,4,2,2,3, ,They're Relatively Loyal,1,1,5
532,1,60,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,6, , ,0,0,4
533,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,1,6, , ,1,1,4
535,1,22,2,3,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,4,2,3,5,0,0,0,3,2, ,NONE,1,1,5
536,1,56,3,1,1,4,1,1,3,2,1,4,2,1,2,1,0,2,1,0,4,2,1,6,3,2,8,4,2,2,3, ,They're Relatively Loyal,1,1,5
537,1,30,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,6, , ,0,0,2
538,1,28,5,3,1,4,5,1,6,4,2,3,4,1,2,3,0,0,0,0,0,0,0,9,7,3,6,3,2,2,6, , ,1,0,2
539,1,45,3,2,0,4,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,2
561,1,35,5,7,5,10,10,5,5,7,3,5,7,3,0,0,0,0,0,8,0,0,0,0,0,5,0,2,2,3,1, ,NONE,1,1,5
563,1,25,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,6,2,0,1,6, , ,1,0,1
564,1,23,3,3,4,4,3,5,4,3,4,3,4,5,2,2,4,0,0,0,0,0,3,5,6,5,6,5,4,4,, , ,1,1,4
565,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,2
567,1,38,10,2,0,0,0,0,4,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,1,0,5
568,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6, , ,0,0,2
569,1,45,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,6, , ,0,0,4
570,1,50,3,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,2
571,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,2,0,1,6, , ,1,1,3
572,1,40,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,5,0,0,2,6, , ,0,0,2
573,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,5,3,0,2,6, , ,0,0,3
574,1,43,5,1,1,6,2,1,9,3,1,3,1,0,4,1,1,5,1,1,9,3,1,13,6,2,15,9,3,2,3, ,They're Relatively Loyal,1,1,5
575,1,46,5,2,1,7,3,1,9,3,1,3,1,0,4,1,1,5,2,1,8,3,1,11,7,2,15,9,3,2,3, ,They're Relatively Loyal,1,1,5
576,1,35,5,2,1,7,4,1,9,5,1,3,1,0,4,1,0,6,2,1,8,4,1,13,9,2,17,12,3,2,2, ,They're Relatively Loyal,0,0,2
943,1,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,3
944,1,71,2,2,0,0,0,0,2,2,0,2,2,0,0,0,0,2,0,0,2,2,0,2,2,0,0,0,0,5,, , ,0,0,2
945,1,45,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6, , ,0,0,4
946,1,33,3,2,1,4,1,1,5,2,1,2,1,1,2,1,1,3,2,1,2,1,1,2,1,1,5,3,2,2,2, ,They're timely Provide goods and Services,1,0,5
948,1,38,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,1,6, , ,1,0,5
949,1,19,7,6,10,10,5,5,3,0,10,8,3,4,10,5,7,5,8,5,10,10,7,5,4,10,10,5,5,4,, , ,1,1,5
951,1,33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,6, , ,0,0,5
952,1,45,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,1,2,1,0,6,, , ,1,1,6
956,1,60,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,2,1,0,6,, , ,1,1,5
957,1,50,5,3,0,3,0,0,2,0,0,2,1,0,1,0,0,0,0,0,1,1,0,4,2,0,0,0,0,2,6, , ,0,0,2
958,1,50,2,2,0,3,0,0,1,0,0,3,2,0,0,0,0,2,3,0,0,0,0,2,2,1,1,0,0,2,6, , ,0,0,5
959,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,5
960,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,3,0,2,6, , ,0,0,2
961,1,19,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,0,0,5
962,1,34,3,1,1,5,2,1,6,3,2,4,2,1,3,1,1,5,3,1,7,4,2,8,4,3,9,5,3,2,3, ,They're Relatively Loyal,1,1,5
963,1,6,3,2,0,3,4,0,0,0,0,2,3,0,4,2,0,2,2,0,2,2,0,1,0,1,0,0,0,4,, , ,0,0,5
964,1,25,2,3,4,0,0,2,5,3,4,0,0,1,0,0,0,0,0,0,4,3,5,0,3,5,2,2,0,4,, , ,1,1,4
965,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,2,6, , ,1,0,5
967,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,1,6, , ,0,0,1
968,1,58,4,1,1,5,2,1,4,3,2,2,1,0,3,1,0,3,2,1,2,1,1,5,2,1,3,1,1,2,2, ,The Commoditys Available in Accordance Of their needs,1,1,5
969,1,25,3,5,4,2,5,5,2,3,2,3,5,3,2,4,3,0,1,1,1,1,2,3,3,4,4,3,2,4,, , ,1,1,4
971,1,10,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,4,0,0,1,6, , ,1,0,4
973,1,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,1,6, , ,1,1,2
1047,1,32,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,6, , ,0,1,5
1048,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,1,1,4
1049,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,4,0,0,0,4,, , ,1,1,4
1050,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,5
1051,1,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,, , ,0,0,5
1052,1,40,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,2,3,0,5,, , ,0,0,3
1055,1,35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,1,1,5
1056,1,51,4,1,1,3,1,0,3,1,0,3,1,0,5,2,1,3,1,0,5,2,1,6,2,1,7,2,1,1,3, ,Relatively They're are Loyal,1,1,4
1057,1,2,0,0,0,2,1,2,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,6, , ,0,0,2
1058,1,36,3,1,0,4,1,0,2,0,0,2,1,0,3,1,0,6,2,1,8,3,2,7,4,1,8,3,2,2,3, ,They're are relatively loyal,1,1,5
1059,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,2,0,5,, , ,0,0,5
1060,1,45,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,0,4
1117,1,35,4,1,1,5,1,1,7,2,1,3,1,0,5,1,1,7,3,1,9,3,1,9,4,1,12,6,2,2,3, ,They're Relatively Loyal,1,1,5
1118,1,25,2,2,0,2,0,0,1,0,0,2,2,0,2,0,0,0,0,0,0,0,0,2,1,3,0,0,0,1,6, , ,0,0,5
1120,1,17,4,1,0,5,1,1,7,2,1,3,1,0,5,1,1,4,1,1,8,3,2,9,3,1,12,7,2,2,3, ,They're Relatively Loyal,1,1,2
1121,1,16,1,2,0,0,0,1,0,0,2,1,2,1,0,0,0,0,0,1,0,0,5,2,2,4,0,0,0,4,, , ,1,1,4
1122,1,35,2,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,2
1124,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,10,0,0,1,6, , ,1,1,5
1127,1,55,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,2
1131,1,35,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,3,5,0,5,3,0,5,, , ,0,0,5
1344,1,9,4,2,3,6,1,2,3,1,4,7,3,10,13,8,7,3,5,4,6,4,5,9,6,7,10,7,4,4,, , ,1,1,4
1346,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,1,6, , ,1,1,4
1347,1,60,1,5,2,0,0,0,0,0,0,2,5,2,0,0,0,2,5,3,0,0,0,2,2,1,0,0,0,1,6, , ,0,0,4
1349,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,6
1350,1,50,5,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,2
1352,1,30,2,2,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6, , ,0,0,5
1354,1,39,0,0,0,2,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,2,3,4,, , ,1,1,4
1356,1,28,4,1,1,3,1,0,5,2,1,2,1,0,3,1,0,5,2,1,6,3,2,7,3,2,5,2,1,2,3, ,They're Relatively Loyal,1,1,5
1357,1,40,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,6, , ,0,0,1
1358,1,28,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,2,1,2,6, , ,0,0,5
1359,1,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,1,0,1,6, , ,0,0,2
1379,1,18,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,5,, , ,0,0,2
1380,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,2
1381,1,20,10,5,0,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,5
1382,1,20,5,2,1,6,2,1,6,2,1,3,1,1,4,1,1,4,2,1,5,1,1,6,2,1,6,2,1,2,1, ,They're Relatively Loyal,1,1,5
1383,1,55,3,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,2,6, , ,0,0,4
1385,1,22,2,3,1,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,3,4,1,5,1,1,0,3,6, , ,1,1,5
1386,1,41,1,2,8,6,1,2,5,2,3,3,2,8,2,2,1,0,0,0,0,0,3,2,2,4,5,2,2,3,6, , ,1,1,5
1387,1,55,6,3,1,5,2,1,6,2,1,3,1,1,4,1,1,3,2,1,5,2,1,7,4,2,9,4,2,2,3, ,They're Relatively Loyal,1,1,5
1388,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,2,6, , ,1,0,2
1390,1,60,0,0,0,3,1,1,2,0,1,1,1,0,2,1,1,0,0,0,1,1,3,2,3,5,1,1,2,4,, , ,1,1,4
1391,1,60,5,0,0,0,0,0,5,2,2,5,0,0,0,0,0,5,2,0,0,0,0,5,2,2,0,0,0,5,, , ,0,0,4
1393,1,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0,1,6, , ,0,0,1
1394,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,1,1,1
1396,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,1
1397,1,25,3,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,6, , ,0,0,2
1398,1,33,0,0,0,0,0,0,1,3,3,1,0,1,0,0,0,0,0,1,0,1,2,3,3,5,1,0,0,4,, , ,1,1,5
1399,1,32,4,1,1,8,4,1,11,7,2,4,1,1,5,2,1,4,1,1,7,4,1,12,8,3,15,8,2,2,3, ,They're Relatively Loyal,1,1,5
1400,1,16,4,1,0,5,2,1,7,3,1,3,1,0,4,1,1,5,1,1,9,3,1,10,6,2,12,7,2,2,3, ,Relatively They're Are Loyal,1,1,5
1502,1,30,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,6, , ,0,0,4
