HH_Id,Group_Memb_Yn,Group_Type,Group_Memb_Self,Group_Funcn_1,Group_Funcn_2_Othr,Group_Funcn_2,Group_Funcn_1_Othr,Group_Funcn_3,Group_Funcn_3_Othr,Group_Join_Yr,Group_Role,Group_Memb_Still,Group_Left_Rsn_1,Group_Left_OthrRsn_1,Group_Left_Rsn_2,Group_Left_OthrRsn_2,Group_Left_Rsn_3,Group_Left_OthrRsn_3
245,1,1,0,, ,, ,, ,,,,, ,, ,, 
245,1,2,0,, ,, ,, ,,,,, ,, ,, 
245,1,3,0,, ,, ,, ,,,,, ,, ,, 
245,1,4,0,, ,, ,, ,,,,, ,, ,, 
245,1,5,1,5, ,99, ,, ,2009,3,1,, ,, ,, 
245,1,6,0,, ,, ,, ,,,,, ,, ,, 
245,1,7,0,, ,, ,, ,,,,, ,, ,, 
245,1,8,0,, ,, ,, ,,,,, ,, ,, 
245,1,9,0,, ,, ,, ,,,,, ,, ,, 
245,1,10,0,, ,, ,, ,,,,, ,, ,, 
245,1,11,0,, ,, ,, ,,,,, ,, ,, 
245,1,12,0,, ,, ,, ,,,,, ,, ,, 
245,1,13,0,, ,, ,, ,,,,, ,, ,, 
245,1,14,0,, ,, ,, ,,,,, ,, ,, 
246,1,1,0,, ,, ,, ,,,,, ,, ,, 
246,1,2,0,, ,, ,, ,,,,, ,, ,, 
246,1,3,0,, ,, ,, ,,,,, ,, ,, 
246,1,4,0,, ,, ,, ,,,,, ,, ,, 
246,1,5,0,, ,, ,, ,,,,, ,, ,, 
246,1,6,0,, ,, ,, ,,,,, ,, ,, 
246,1,7,0,, ,, ,, ,,,,, ,, ,, 
246,1,8,1,5, ,99, ,, ,2011,3,1,, ,, ,, 
246,1,9,0,, ,, ,, ,,,,, ,, ,, 
246,1,10,0,, ,, ,, ,,,,, ,, ,, 
246,1,11,0,, ,, ,, ,,,,, ,, ,, 
246,1,12,0,, ,, ,, ,,,,, ,, ,, 
246,1,13,0,, ,, ,, ,,,,, ,, ,, 
246,1,14,0,, ,, ,, ,,,,, ,, ,, 
247,0,1,1,2, ,99, ,, ,2008,3,1,, ,, ,, 
247,0,2,0,, ,, ,, ,,,,, ,, ,, 
247,0,3,0,, ,, ,, ,,,,, ,, ,, 
247,0,4,0,, ,, ,, ,,,,, ,, ,, 
247,0,5,0,, ,, ,, ,,,,, ,, ,, 
247,0,6,0,, ,, ,, ,,,,, ,, ,, 
247,0,7,1,9, ,99, ,, ,2009,3,1,, ,, ,, 
247,0,8,0,, ,, ,, ,,,,, ,, ,, 
247,0,9,0,, ,, ,, ,,,,, ,, ,, 
247,0,10,0,, ,, ,, ,,,,, ,, ,, 
247,0,11,0,, ,, ,, ,,,,, ,, ,, 
247,0,12,1,6, ,99, ,, ,1995,3,1,, ,, ,, 
247,0,13,0,, ,, ,, ,,,,, ,, ,, 
247,0,14,0,, ,, ,, ,,,,, ,, ,, 
251,0,1,0,, ,, ,, ,,,,, ,, ,, 
251,0,2,0,, ,, ,, ,,,,, ,, ,, 
251,0,3,0,, ,, ,, ,,,,, ,, ,, 
251,0,4,0,, ,, ,, ,,,,, ,, ,, 
251,0,5,0,, ,, ,, ,,,,, ,, ,, 
251,0,6,0,, ,, ,, ,,,,, ,, ,, 
251,0,7,0,, ,, ,, ,,,,, ,, ,, 
251,0,8,0,, ,, ,, ,,,,, ,, ,, 
251,0,9,0,, ,, ,, ,,,,, ,, ,, 
251,0,10,0,, ,, ,, ,,,,, ,, ,, 
251,0,11,0,, ,, ,, ,,,,, ,, ,, 
251,0,12,0,, ,, ,, ,,,,, ,, ,, 
251,0,13,0,, ,, ,, ,,,,, ,, ,, 
251,0,14,0,, ,, ,, ,,,,, ,, ,, 
252,1,1,0,, ,, ,, ,,,,, ,, ,, 
252,1,2,0,, ,, ,, ,,,,, ,, ,, 
252,1,3,0,, ,, ,, ,,,,, ,, ,, 
252,1,4,0,, ,, ,, ,,,,, ,, ,, 
252,1,5,0,, ,, ,, ,,,,, ,, ,, 
252,1,6,0,, ,, ,, ,,,,, ,, ,, 
252,1,7,1,9, ,99, ,, ,2007,3,1,, ,, ,, 
252,1,8,0,, ,, ,, ,,,,, ,, ,, 
252,1,9,0,, ,, ,, ,,,,, ,, ,, 
252,1,10,0,, ,, ,, ,,,,, ,, ,, 
252,1,11,0,, ,, ,, ,,,,, ,, ,, 
252,1,12,1,6, ,5, ,9, ,1993,3,1,, ,, ,, 
252,1,13,0,, ,, ,, ,,,,, ,, ,, 
252,1,14,0,, ,, ,, ,,,,, ,, ,, 
253,1,1,1,2, ,3, ,99, ,1995,3,1,, ,, ,, 
253,1,2,0,, ,, ,, ,,,,, ,, ,, 
253,1,3,0,, ,, ,, ,,,,, ,, ,, 
253,1,4,0,, ,, ,, ,,,,, ,, ,, 
253,1,5,0,, ,, ,, ,,,,, ,, ,, 
253,1,6,0,, ,, ,, ,,,,, ,, ,, 
253,1,7,0,, ,, ,, ,,,,, ,, ,, 
253,1,8,1,5, ,99, ,, ,2003,3,0,3, ,99, ,, 
253,1,9,0,, ,, ,, ,,,,, ,, ,, 
253,1,10,0,, ,, ,, ,,,,, ,, ,, 
253,1,11,0,, ,, ,, ,,,,, ,, ,, 
253,1,12,1,5, ,99, ,, ,1995,3,0,1, ,99, ,, 
253,1,13,0,, ,, ,, ,,,,, ,, ,, 
253,1,14,0,, ,, ,, ,,,,, ,, ,, 
255,0,1,0,, ,, ,, ,,,,, ,, ,, 
255,0,2,0,, ,, ,, ,,,,, ,, ,, 
255,0,3,0,, ,, ,, ,,,,, ,, ,, 
255,0,4,0,, ,, ,, ,,,,, ,, ,, 
255,0,5,0,, ,, ,, ,,,,, ,, ,, 
255,0,6,0,, ,, ,, ,,,,, ,, ,, 
255,0,7,0,, ,, ,, ,,,,, ,, ,, 
255,0,8,0,, ,, ,, ,,,,, ,, ,, 
255,0,9,0,, ,, ,, ,,,,, ,, ,, 
255,0,10,0,, ,, ,, ,,,,, ,, ,, 
255,0,11,0,, ,, ,, ,,,,, ,, ,, 
255,0,12,0,, ,, ,, ,,,,, ,, ,, 
255,0,13,0,, ,, ,, ,,,,, ,, ,, 
255,0,14,0,, ,, ,, ,,,,, ,, ,, 
256,0,1,0,, ,, ,, ,,,,, ,, ,, 
256,0,2,0,, ,, ,, ,,,,, ,, ,, 
256,0,3,0,, ,, ,, ,,,,, ,, ,, 
256,0,4,0,, ,, ,, ,,,,, ,, ,, 
256,0,5,0,, ,, ,, ,,,,, ,, ,, 
256,0,6,0,, ,, ,, ,,,,, ,, ,, 
256,0,7,0,, ,, ,, ,,,,, ,, ,, 
256,0,8,0,, ,, ,, ,,,,, ,, ,, 
256,0,9,0,, ,, ,, ,,,,, ,, ,, 
256,0,10,0,, ,, ,, ,,,,, ,, ,, 
256,0,11,0,, ,, ,, ,,,,, ,, ,, 
256,0,12,0,, ,, ,, ,,,,, ,, ,, 
256,0,13,0,, ,, ,, ,,,,, ,, ,, 
256,0,14,0,, ,, ,, ,,,,, ,, ,, 
257,0,1,0,, ,, ,, ,,,,, ,, ,, 
257,0,2,0,, ,, ,, ,,,,, ,, ,, 
257,0,3,0,, ,, ,, ,,,,, ,, ,, 
257,0,4,0,, ,, ,, ,,,,, ,, ,, 
257,0,5,0,, ,, ,, ,,,,, ,, ,, 
257,0,6,0,, ,, ,, ,,,,, ,, ,, 
257,0,7,1,9, ,99, ,, ,2005,3,1,, ,, ,, 
257,0,8,0,, ,, ,, ,,,,, ,, ,, 
257,0,9,0,, ,, ,, ,,,,, ,, ,, 
257,0,10,0,, ,, ,, ,,,,, ,, ,, 
257,0,11,0,, ,, ,, ,,,,, ,, ,, 
257,0,12,0,, ,, ,, ,,,,, ,, ,, 
257,0,13,0,, ,, ,, ,,,,, ,, ,, 
257,0,14,0,, ,, ,, ,,,,, ,, ,, 
258,0,1,0,, ,, ,, ,,,,, ,, ,, 
258,0,2,0,, ,, ,, ,,,,, ,, ,, 
258,0,3,0,, ,, ,, ,,,,, ,, ,, 
258,0,4,0,, ,, ,, ,,,,, ,, ,, 
258,0,5,0,, ,, ,, ,,,,, ,, ,, 
258,0,6,0,, ,, ,, ,,,,, ,, ,, 
258,0,7,0,, ,, ,, ,,,,, ,, ,, 
258,0,8,1,9, ,99, ,, ,1980,3,1,, ,, ,, 
258,0,9,0,, ,, ,, ,,,,, ,, ,, 
258,0,10,0,, ,, ,, ,,,,, ,, ,, 
258,0,11,0,, ,, ,, ,,,,, ,, ,, 
258,0,12,1,6, ,99, ,, ,1988,3,1,, ,, ,, 
258,0,13,0,, ,, ,, ,,,,, ,, ,, 
258,0,14,0,, ,, ,, ,,,,, ,, ,, 
383,0,1,0,, ,, ,, ,,,,, ,, ,, 
383,0,2,0,, ,, ,, ,,,,, ,, ,, 
383,0,3,0,, ,, ,, ,,,,, ,, ,, 
383,0,4,0,, ,, ,, ,,,,, ,, ,, 
383,0,5,0,, ,, ,, ,,,,, ,, ,, 
383,0,6,0,, ,, ,, ,,,,, ,, ,, 
383,0,7,0,, ,, ,, ,,,,, ,, ,, 
383,0,8,0,, ,, ,, ,,,,, ,, ,, 
383,0,9,0,, ,, ,, ,,,,, ,, ,, 
383,0,10,0,, ,, ,, ,,,,, ,, ,, 
383,0,11,0,, ,, ,, ,,,,, ,, ,, 
383,0,12,1,6, ,99, ,, ,1998,3,1,, ,, ,, 
383,0,13,0,, ,, ,, ,,,,, ,, ,, 
383,0,14,0,, ,, ,, ,,,,, ,, ,, 
385,0,1,0,, ,, ,, ,,,,, ,, ,, 
385,0,2,0,, ,, ,, ,,,,, ,, ,, 
385,0,3,0,, ,, ,, ,,,,, ,, ,, 
385,0,4,0,, ,, ,, ,,,,, ,, ,, 
385,0,5,1,5, ,99, ,, ,2006,3,1,, ,, ,, 
385,0,6,0,, ,, ,, ,,,,, ,, ,, 
385,0,7,0,, ,, ,, ,,,,, ,, ,, 
385,0,8,0,, ,, ,, ,,,,, ,, ,, 
385,0,9,0,, ,, ,, ,,,,, ,, ,, 
385,0,10,0,, ,, ,, ,,,,, ,, ,, 
385,0,11,0,, ,, ,, ,,,,, ,, ,, 
385,0,12,0,, ,, ,, ,,,,, ,, ,, 
385,0,13,0,, ,, ,, ,,,,, ,, ,, 
385,0,14,0,, ,, ,, ,,,,, ,, ,, 
386,1,1,0,, ,, ,, ,,,,, ,, ,, 
386,1,2,0,, ,, ,, ,,,,, ,, ,, 
386,1,3,0,, ,, ,, ,,,,, ,, ,, 
386,1,4,0,, ,, ,, ,,,,, ,, ,, 
386,1,5,0,, ,, ,, ,,,,, ,, ,, 
386,1,6,0,, ,, ,, ,,,,, ,, ,, 
386,1,7,1,9, ,99, ,, ,1988,3,1,, ,, ,, 
