HH_Id,Assets_Info,Aminity_Elec,Aminity_PipeWater,Aminity_CookGas,Aminity_Internet,Aminity_Landline,Aminity_Mobile,Aminity_PrivToilet,Aminity_RoadAcc,Aminity_StrongWalls,Aminity_ConcRoof,Aminity_ConcFloor,Aminity_Fenced,Aminity_Ownership
245,1,0,1,0,0,0,1,1,1,0,0,0,1,1
246,1,0,1,0,0,0,1,1,1,0,0,0,1,1
247,1,0,1,0,0,0,1,1,1,0,0,0,0,1
251,1,0,0,0,0,0,0,1,1,0,0,0,0,1
252,1,0,0,0,0,0,1,1,0,0,0,0,0,1
253,1,0,1,0,0,0,1,1,1,0,0,0,0,1
255,1,0,0,0,0,0,0,0,1,0,0,0,0,1
256,1,0,0,0,0,0,0,0,0,0,0,0,0,1
257,1,0,0,0,0,0,0,1,0,0,0,0,0,1
258,1,0,1,0,0,0,0,0,1,0,0,0,1,1
383,1,0,1,0,0,0,1,1,1,0,0,0,0,1
385,1,1,1,0,0,0,1,1,1,0,0,0,0,1
386,1,0,1,0,0,0,1,1,1,0,0,0,0,1
388,1,0,1,0,0,0,1,1,1,0,0,0,0,1
389,1,0,1,0,0,0,0,1,0,0,0,0,0,1
390,1,0,0,0,0,0,0,0,0,0,0,0,1,1
391,1,0,0,0,0,0,1,0,1,0,0,0,0,1
392,1,0,0,0,0,0,0,0,0,0,0,0,0,1
393,1,0,1,0,0,0,1,1,1,0,0,0,1,1
394,1,0,1,0,0,0,0,1,0,0,0,0,0,1
395,1,0,0,0,0,1,1,1,1,0,0,0,0,1
529,1,0,0,0,0,0,0,1,0,0,0,0,0,1
531,1,0,1,0,0,0,1,1,1,0,0,0,1,1
532,1,0,0,0,0,0,0,1,0,0,0,0,0,1
533,1,0,1,0,0,0,0,1,1,0,0,0,1,1
535,1,0,0,0,0,0,1,1,0,0,0,0,0,1
536,1,1,1,0,0,0,1,1,0,0,0,0,1,1
537,1,0,1,0,0,0,0,1,1,0,0,0,0,1
538,1,0,1,0,0,0,1,1,0,0,0,0,1,1
539,1,0,0,0,0,0,0,1,1,0,0,0,1,1
561,1,0,0,0,0,0,1,1,0,0,0,0,0,1
563,1,0,1,0,0,0,1,1,1,0,0,0,1,1
564,1,0,1,0,0,0,1,1,0,0,0,0,0,1
565,1,0,1,0,0,0,0,1,1,0,0,0,0,1
567,1,0,1,1,0,0,1,1,0,0,0,0,0,1
568,1,0,0,1,0,0,0,1,0,1,1,1,1,1
569,1,0,0,0,0,0,1,1,0,0,0,0,0,1
570,1,0,1,0,0,0,0,1,1,0,0,0,0,1
571,1,0,1,0,0,0,0,1,0,0,0,0,0,1
572,1,0,1,0,0,0,1,0,1,0,0,0,1,1
573,1,0,1,0,0,0,0,1,0,0,0,0,1,1
574,1,0,0,0,0,0,0,1,1,0,0,0,1,1
575,1,0,0,0,0,0,0,1,1,0,0,0,1,1
576,1,0,0,0,0,0,1,1,1,0,0,0,1,1
943,1,0,1,0,0,0,0,1,0,0,0,0,0,1
944,1,0,1,0,0,0,0,1,1,0,0,0,1,1
945,1,0,1,0,0,0,0,1,1,0,0,0,1,1
946,1,0,1,0,0,0,1,1,1,0,0,0,1,1
948,1,0,1,0,0,0,1,1,1,0,0,0,1,1
949,1,1,0,0,0,0,1,1,0,0,0,0,0,1
951,1,0,1,0,0,0,0,1,0,0,0,0,0,1
952,1,0,1,0,0,0,1,1,1,0,0,0,1,1
956,1,1,1,0,1,0,1,1,1,0,0,0,1,1
957,1,0,0,0,0,0,1,1,1,0,0,0,1,1
958,1,0,1,0,0,0,0,1,0,0,0,0,0,1
959,1,0,0,0,0,0,0,1,1,0,0,0,1,1
960,1,0,1,0,0,0,0,1,1,0,0,0,1,1
961,1,0,1,0,0,0,0,1,1,0,0,0,1,1
962,1,0,1,0,0,0,1,1,0,0,0,0,1,1
963,1,0,1,0,0,0,0,1,0,0,0,0,0,1
964,1,0,1,0,0,0,1,1,1,0,0,0,0,1
965,1,0,1,0,0,0,1,1,1,0,0,0,1,1
967,1,0,1,0,0,0,0,1,1,0,0,0,1,1
968,1,0,1,0,0,0,1,1,1,0,0,0,1,1
969,1,0,0,0,0,0,1,1,0,0,0,0,0,1
971,1,0,1,0,0,0,1,0,1,0,0,0,1,1
973,1,0,1,0,0,0,0,0,1,0,0,0,1,1
1047,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1048,1,0,1,0,0,0,1,1,1,0,0,0,0,1
1049,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1050,1,0,1,0,0,0,1,1,0,0,0,0,0,1
1051,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1052,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1055,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1056,1,0,1,0,0,0,1,0,1,0,0,0,0,1
1057,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1058,1,0,1,0,0,0,1,1,1,0,0,0,1,1
1059,1,0,1,0,0,0,1,0,1,0,0,0,1,1
1060,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1117,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1118,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1120,1,0,1,0,0,0,1,1,1,0,0,0,0,1
1121,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1122,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1124,1,0,1,0,0,0,0,1,1,0,0,0,0,1
1127,1,0,1,0,0,0,0,1,1,0,0,0,0,1
1131,1,0,1,0,0,0,1,1,1,0,0,0,1,1
1344,1,0,0,0,0,0,1,1,1,0,0,0,0,1
1346,1,0,1,0,0,0,1,1,0,0,0,0,1,1
1347,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1349,1,0,1,0,0,0,0,1,1,0,0,0,0,1
1350,1,0,1,0,0,0,1,1,0,0,0,0,1,1
1352,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1354,1,1,1,0,0,0,1,1,1,0,0,0,0,1
1356,1,0,1,0,0,0,1,1,0,0,0,0,1,1
1357,1,0,0,0,0,0,0,1,1,0,0,0,1,1
1358,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1359,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1379,1,0,1,0,0,0,1,1,0,0,0,0,0,1
1380,1,0,1,0,0,0,0,1,1,0,0,0,1,1
1381,1,0,1,0,0,0,0,1,1,0,0,0,1,1
1382,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1383,1,1,1,0,0,0,1,1,1,1,0,1,1,1
1385,1,0,1,0,0,0,1,1,0,0,0,0,0,1
1386,1,0,1,0,0,0,1,1,0,0,0,0,0,1
1387,1,1,1,0,0,0,1,1,1,0,0,0,1,1
1388,1,0,1,0,0,0,1,1,0,0,0,0,1,1
1390,1,0,1,0,0,0,1,1,0,0,0,0,0,1
1391,1,1,1,1,0,0,1,1,1,0,0,0,0,1
1393,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1394,1,0,1,0,0,0,1,1,0,0,0,0,1,1
1396,1,0,1,0,0,0,1,1,0,0,0,0,0,1
1397,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1398,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1399,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1400,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1502,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1504,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1505,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1506,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1507,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1508,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1509,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1559,1,0,1,0,0,0,1,1,0,0,0,0,1,1
