HH_Id,Food_Insec_Intro_M,HH_Own_Wheat_Supp_M,HH_Own_Wheat_Supp_M,NoFood_Yn_M,NoFood_Period_M,NoFood_CovidEff_M,NoHealthy_Food_Yn_M,NoHealthy_Food_Period_M,NoHealthy_Food_CovidEff_M,FewFood_Yn_M,FewFood_Period_M,FewFood_CovidEff_M,SkipMeal_Yn_M,SkipMeal_Period_M,SkipMeal_CovidEff_M,AteLess_Yn_M,AteLess_Period_M,AteLess_CovidEff_M,RanOutFood_Yn_M,RanOutFood_Period_M,RanOutFood_CovidEff_M,HungryNoEat_Yn_M,HungryNoEat_Period_M,HungryNoEat_CovidEff_M,NoEat_WholeDay_Yn_M,NoEat_WholeDay_Period_M
245,1,1,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
246,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
247,1,5,1,1,0,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
251,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
252,1,5,0,,,0,,,1,2,0,1,2,1,0,,,0,,,0,,,0,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1,5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
256,1,5,0,,,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,
257,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
258,1,5,1,1,0,1,3,0,0,,,0,,,1,1,0,1,1,0,0,,,0,,
383,1,2,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
385,1,5,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
386,1,4,1,2,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
388,1,4,1,1,0,0,,,1,1,0,0,,,0,,,0,,,0,,,0,,
389,1,2,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
390,1,1,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
391,1,4,0,,,1,2,1,0,,,0,,,1,1,0,0,,,1,1,0,1,2,0
392,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
393,1,4,1,1,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,
394,1,4,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
