HH_Id,Seed_Src_M,Seed_Src_LastSeason_M,Seed_Src_Select_Exp_M,Num_WheatVar_FromSrc_M,Qnt_Seed_FromSrc_M,WheatVar_Name_M,WheatVar_Type_M,SeedSrc_Aquired_M,SeedSrc_Aquired_Othr_M,Involve_Seed_Arrange_M,Involve_Seed_Arrange_Othr_M,Var_Bfr_Src_Yn_M,Seed_Avlbl_Time_M,Seed_Acquire_Where_M,Seed_Acquire_How_M,Price_Seed_M,Seed_Clean_Yn_M,Seed_Germintn_M,SeedVar_Yld_Rate_M,ByPdct_Perfm_Rate_M,Var_Choose_Rsn_M,Var_Choose_Rsn_Othr_M
245,1,1,1,1,100,Kekeba,1,1, ,1, ,1,1,1,97,2,2,1,2,1,1, 
245,2,0,,,, ,,, ,, ,,,,,,,,,,, 
245,3,0,,,, ,,, ,, ,,,,,,,,,,, 
245,4,0,,,, ,,, ,, ,,,,,,,,,,, 
245,5,0,,,, ,,, ,, ,,,,,,,,,,, 
245,6,0,,,, ,,, ,, ,,,,,,,,,,, 
245,7,0,,,, ,,, ,, ,,,,,,,,,,, 
245,8,0,,,, ,,, ,, ,,,,,,,,,,, 
245,9,0,,,, ,,, ,, ,,,,,,,,,,, 
246,1,1,1,1,50,KEKEBA,2,1, ,4,MY FATHER,1,1,1,97,1,2,1,1,2,1, 
246,2,0,,,, ,,, ,, ,,,,,,,,,,, 
246,3,0,,,, ,,, ,, ,,,,,,,,,,, 
246,4,0,,,, ,,, ,, ,,,,,,,,,,, 
246,5,0,,,, ,,, ,, ,,,,,,,,,,, 
246,6,0,,,, ,,, ,, ,,,,,,,,,,, 
246,7,0,,,, ,,, ,, ,,,,,,,,,,, 
246,8,0,,,, ,,, ,, ,,,,,,,,,,, 
246,9,0,,,, ,,, ,, ,,,,,,,,,,, 
247,1,1,1,1,100,kekeba,4,1, ,3, ,1,1,1,97,1,1,1,2,2,1, 
247,2,0,,,, ,,, ,, ,,,,,,,,,,, 
247,3,0,,,, ,,, ,, ,,,,,,,,,,, 
247,4,0,,,, ,,, ,, ,,,,,,,,,,, 
247,5,0,,,, ,,, ,, ,,,,,,,,,,, 
247,6,0,,,, ,,, ,, ,,,,,,,,,,, 
247,7,0,,,, ,,, ,, ,,,,,,,,,,, 
247,8,0,,,, ,,, ,, ,,,,,,,,,,, 
247,9,0,,,, ,,, ,, ,,,,,,,,,,, 
251,1,1,1,1,80,KEKEBA,2,1, ,3, ,1,1,1,97,2,1,1,1,1,1, 
251,2,0,,,, ,,, ,, ,,,,,,,,,,, 
251,3,0,,,, ,,, ,, ,,,,,,,,,,, 
251,4,0,,,, ,,, ,, ,,,,,,,,,,, 
251,5,0,,,, ,,, ,, ,,,,,,,,,,, 
251,6,0,,,, ,,, ,, ,,,,,,,,,,, 
251,7,0,,,, ,,, ,, ,,,,,,,,,,, 
251,8,0,,,, ,,, ,, ,,,,,,,,,,, 
251,9,0,,,, ,,, ,, ,,,,,,,,,,, 
252,1,1,1,1,250,QUBESA,2,1, ,1, ,1,1,1,1,2,2,2,2,2,1, 
252,2,0,,,, ,,, ,, ,,,,,,,,,,, 
252,3,0,,,, ,,, ,, ,,,,,,,,,,, 
252,4,0,,,, ,,, ,, ,,,,,,,,,,, 
252,5,0,,,, ,,, ,, ,,,,,,,,,,, 
252,6,0,,,, ,,, ,, ,,,,,,,,,,, 
252,7,0,,,, ,,, ,, ,,,,,,,,,,, 
252,8,0,,,, ,,, ,, ,,,,,,,,,,, 
252,9,0,,,, ,,, ,, ,,,,,,,,,,, 
253,,,,,, ,,, ,, ,,,,,,,,,,, 
255,1,1,1,1,250,KEKEBA,2,1, ,3, ,1,1,1,97,2,2,2,2,2,1, 
255,2,0,,,, ,,, ,, ,,,,,,,,,,, 
255,3,0,,,, ,,, ,, ,,,,,,,,,,, 
255,4,0,,,, ,,, ,, ,,,,,,,,,,, 
255,5,0,,,, ,,, ,, ,,,,,,,,,,, 
255,6,0,,,, ,,, ,, ,,,,,,,,,,, 
255,7,0,,,, ,,, ,, ,,,,,,,,,,, 
255,8,0,,,, ,,, ,, ,,,,,,,,,,, 
255,9,0,,,, ,,, ,, ,,,,,,,,,,, 
256,1,0,,,, ,,, ,, ,,,,,,,,,,, 
256,2,0,,,, ,,, ,, ,,,,,,,,,,, 
256,3,0,,,, ,,, ,, ,,,,,,,,,,, 
256,4,0,,,, ,,, ,, ,,,,,,,,,,, 
256,5,0,,,, ,,, ,, ,,,,,,,,,,, 
256,6,0,,,, ,,, ,, ,,,,,,,,,,, 
256,7,0,,,, ,,, ,, ,,,,,,,,,,, 
256,8,0,,,, ,,, ,, ,,,,,,,,,,, 
256,9,0,,,, ,,, ,, ,,,,,,,,,,, 
257,1,1,1,1,150,KEKEBA,3,1, ,3, ,1,2,1,97,2,1,2,2,2,3, 
257,2,0,,,, ,,, ,, ,,,,,,,,,,, 
257,3,0,,,, ,,, ,, ,,,,,,,,,,, 
257,4,0,,,, ,,, ,, ,,,,,,,,,,, 
257,5,0,,,, ,,, ,, ,,,,,,,,,,, 
257,6,0,,,, ,,, ,, ,,,,,,,,,,, 
257,7,0,,,, ,,, ,, ,,,,,,,,,,, 
257,8,0,,,, ,,, ,, ,,,,,,,,,,, 
257,9,0,,,, ,,, ,, ,,,,,,,,,,, 
258,1,1,1,1,200,kekeba,4,1, ,3, ,1,1,1,97,1,1,1,2,2,3, 
258,2,0,,,, ,,, ,, ,,,,,,,,,,, 
258,3,0,,,, ,,, ,, ,,,,,,,,,,, 
258,4,0,,,, ,,, ,, ,,,,,,,,,,, 
258,5,0,,,, ,,, ,, ,,,,,,,,,,, 
258,6,0,,,, ,,, ,, ,,,,,,,,,,, 
258,7,0,,,, ,,, ,, ,,,,,,,,,,, 
258,8,0,,,, ,,, ,, ,,,,,,,,,,, 
258,9,0,,,, ,,, ,, ,,,,,,,,,,, 
383,1,0,,,, ,,, ,, ,,,,,,,,,,, 
383,2,1,0,1,100,kekeba,2,4, ,2, ,1,1,1,1,1,1,1,1,1,1, 
383,3,0,,,, ,,, ,, ,,,,,,,,,,, 
383,4,0,,,, ,,, ,, ,,,,,,,,,,, 
383,5,0,,,, ,,, ,, ,,,,,,,,,,, 
383,6,0,,,, ,,, ,, ,,,,,,,,,,, 
383,7,0,,,, ,,, ,, ,,,,,,,,,,, 
383,8,0,,,, ,,, ,, ,,,,,,,,,,, 
383,9,0,,,, ,,, ,, ,,,,,,,,,,, 
385,1,0,,,, ,,, ,, ,,,,,,,,,,, 
385,2,0,,,, ,,, ,, ,,,,,,,,,,, 
385,3,0,,,, ,,, ,, ,,,,,,,,,,, 
385,4,1,1,1,63,kekeba,2,4, ,1, ,1,2,3,1,3,1,1,1,1,1, 
385,5,0,,,, ,,, ,, ,,,,,,,,,,, 
385,6,0,,,, ,,, ,, ,,,,,,,,,,, 
385,7,0,,,, ,,, ,, ,,,,,,,,,,, 
385,8,0,,,, ,,, ,, ,,,,,,,,,,, 
385,9,0,,,, ,,, ,, ,,,,,,,,,,, 
386,1,0,,,, ,,, ,, ,,,,,,,,,,, 
386,2,1,1,1,50,KEKEBA,2,4, ,1, ,1,1,1,1,2,1,1,1,1,1, 
386,3,0,,,, ,,, ,, ,,,,,,,,,,, 
386,4,0,,,, ,,, ,, ,,,,,,,,,,, 
386,5,0,,,, ,,, ,, ,,,,,,,,,,, 
386,6,0,,,, ,,, ,, ,,,,,,,,,,, 
386,7,0,,,, ,,, ,, ,,,,,,,,,,, 
386,8,0,,,, ,,, ,, ,,,,,,,,,,, 
386,9,0,,,, ,,, ,, ,,,,,,,,,,, 
388,1,0,,,, ,,, ,, ,,,,,,,,,,, 
388,2,1,0,1,100,kekeba,2,4, ,2, ,1,2,1,1,1,1,1,1,1,1, 
388,3,0,,,, ,,, ,, ,,,,,,,,,,, 
388,4,0,,,, ,,, ,, ,,,,,,,,,,, 
388,5,0,,,, ,,, ,, ,,,,,,,,,,, 
388,6,0,,,, ,,, ,, ,,,,,,,,,,, 
388,7,0,,,, ,,, ,, ,,,,,,,,,,, 
388,8,0,,,, ,,, ,, ,,,,,,,,,,, 
388,9,0,,,, ,,, ,, ,,,,,,,,,,, 
389,1,1,1,1,70,KEKEBA,3,1, ,3, ,1,1,1,97,1,1,1,2,1,1, 
389,2,0,,,, ,,, ,, ,,,,,,,,,,, 
389,3,0,,,, ,,, ,, ,,,,,,,,,,, 
389,4,0,,,, ,,, ,, ,,,,,,,,,,, 
389,5,0,,,, ,,, ,, ,,,,,,,,,,, 
389,6,0,,,, ,,, ,, ,,,,,,,,,,, 
389,7,0,,,, ,,, ,, ,,,,,,,,,,, 
389,8,0,,,, ,,, ,, ,,,,,,,,,,, 
389,9,0,,,, ,,, ,, ,,,,,,,,,,, 
390,1,0,,,, ,,, ,, ,,,,,,,,,,, 
390,2,0,,,, ,,, ,, ,,,,,,,,,,, 
390,3,0,,,, ,,, ,, ,,,,,,,,,,, 
390,4,0,,,, ,,, ,, ,,,,,,,,,,, 
390,5,0,,,, ,,, ,, ,,,,,,,,,,, 
390,6,1,1,1,50,KEKEBA,2,5, ,3, ,1,1,1,1,3,1,1,1,1,1, 
390,7,0,,,, ,,, ,, ,,,,,,,,,,, 
390,8,0,,,, ,,, ,, ,,,,,,,,,,, 
390,9,0,,,, ,,, ,, ,,,,,,,,,,, 
391,1,1,1,1,200,KEKEBA,2,5, ,1, ,0,1,1,1,1,2,2,3,2,2, 
391,2,0,,,, ,,, ,, ,,,,,,,,,,, 
391,3,0,,,, ,,, ,, ,,,,,,,,,,, 
391,4,1,1,1,100,KEKEBA,2,5, ,1, ,0,1,1,2,2,1,2,2,2,2, 
391,5,0,,,, ,,, ,, ,,,,,,,,,,, 
391,6,0,,,, ,,, ,, ,,,,,,,,,,, 
391,7,0,,,, ,,, ,, ,,,,,,,,,,, 
391,8,0,,,, ,,, ,, ,,,,,,,,,,, 
391,9,0,,,, ,,, ,, ,,,,,,,,,,, 
392,1,0,,,, ,,, ,, ,,,,,,,,,,, 
392,2,0,,,, ,,, ,, ,,,,,,,,,,, 
392,3,0,,,, ,,, ,, ,,,,,,,,,,, 
392,4,0,,,, ,,, ,, ,,,,,,,,,,, 
392,5,0,,,, ,,, ,, ,,,,,,,,,,, 
392,6,1,1,1,100,KEKEBA,2,4, ,2, ,1,1,2,1,1,2,1,1,1,1, 
392,7,0,,,, ,,, ,, ,,,,,,,,,,, 
392,8,0,,,, ,,, ,, ,,,,,,,,,,, 
392,9,0,,,, ,,, ,, ,,,,,,,,,,, 
393,1,1,1,1,100,KEKEBA,2,1, ,2, ,1,1,1,5,,1,1,1,1,1, 
393,2,0,,,, ,,, ,, ,,,,,,,,,,, 
393,3,0,,,, ,,, ,, ,,,,,,,,,,, 
393,4,0,,,, ,,, ,, ,,,,,,,,,,, 
393,5,0,,,, ,,, ,, ,,,,,,,,,,, 
393,6,0,,,, ,,, ,, ,,,,,,,,,,, 
393,7,0,,,, ,,, ,, ,,,,,,,,,,, 
393,8,0,,,, ,,, ,, ,,,,,,,,,,, 
393,9,0,,,, ,,, ,, ,,,,,,,,,,, 
394,1,1,1,1,60,KEKEBA,2,1, ,3, ,1,2,1,97,3,1,1,1,1,1, 
394,2,0,,,, ,,, ,, ,,,,,,,,,,, 
394,3,0,,,, ,,, ,, ,,,,,,,,,,, 
394,4,0,,,, ,,, ,, ,,,,,,,,,,, 
394,5,0,,,, ,,, ,, ,,,,,,,,,,, 
394,6,0,,,, ,,, ,, ,,,,,,,,,,, 
394,7,0,,,, ,,, ,, ,,,,,,,,,,, 
394,8,0,,,, ,,, ,, ,,,,,,,,,,, 
394,9,0,,,, ,,, ,, ,,,,,,,,,,, 
395,1,0,,,, ,,, ,, ,,,,,,,,,,, 
395,2,0,,,, ,,, ,, ,,,,,,,,,,, 
395,3,0,,,, ,,, ,, ,,,,,,,,,,, 
395,4,1,1,1,200,KEKABA,0,5, ,1, ,0,2,1,2,2,1,2,2,2,2, 
395,5,0,,,, ,,, ,, ,,,,,,,,,,, 
395,6,0,,,, ,,, ,, ,,,,,,,,,,, 
395,7,0,,,, ,,, ,, ,,,,,,,,,,, 
395,8,0,,,, ,,, ,, ,,,,,,,,,,, 
395,9,0,,,, ,,, ,, ,,,,,,,,,,, 
529,1,1,1,1,60,DIGELU,2,1, ,3, ,1,2,1,97,3,1,2,2,1,1, 
529,2,0,,,, ,,, ,, ,,,,,,,,,,, 
529,3,0,,,, ,,, ,, ,,,,,,,,,,, 
529,4,0,,,, ,,, ,, ,,,,,,,,,,, 
529,5,0,,,, ,,, ,, ,,,,,,,,,,, 
529,6,0,,,, ,,, ,, ,,,,,,,,,,, 
529,7,0,,,, ,,, ,, ,,,,,,,,,,, 
529,8,0,,,, ,,, ,, ,,,,,,,,,,, 
529,9,0,,,, ,,, ,, ,,,,,,,,,,, 
531,1,0,,,, ,,, ,, ,,,,,,,,,,, 
531,2,0,,,, ,,, ,, ,,,,,,,,,,, 
531,3,0,,,, ,,, ,, ,,,,,,,,,,, 
531,4,1,1,1,50,DENDEHA,2,5, ,1, ,1,2,1,1,1,1,1,2,1,1, 
531,5,0,,,, ,,, ,, ,,,,,,,,,,, 
531,6,0,,,, ,,, ,, ,,,,,,,,,,, 
531,7,0,,,, ,,, ,, ,,,,,,,,,,, 
531,8,0,,,, ,,, ,, ,,,,,,,,,,, 
531,9,0,,,, ,,, ,, ,,,,,,,,,,, 
532,1,1,1,1,50,DIGELU,2,1, ,3, ,1,2,1,97,2,1,1,1,1,1, 
532,2,0,,,, ,,, ,, ,,,,,,,,,,, 
532,3,0,,,, ,,, ,, ,,,,,,,,,,, 
532,4,0,,,, ,,, ,, ,,,,,,,,,,, 
532,5,0,,,, ,,, ,, ,,,,,,,,,,, 
532,6,0,,,, ,,, ,, ,,,,,,,,,,, 
532,7,0,,,, ,,, ,, ,,,,,,,,,,, 
532,8,0,,,, ,,, ,, ,,,,,,,,,,, 
532,9,0,,,, ,,, ,, ,,,,,,,,,,, 
533,1,0,,,, ,,, ,, ,,,,,,,,,,, 
533,2,0,,,, ,,, ,, ,,,,,,,,,,, 
533,3,1,0,1,25,dendea,4,4, ,1, ,0,2,2,1,1,1,1,3,2,2, 
533,4,0,,,, ,,, ,, ,,,,,,,,,,, 
533,5,0,,,, ,,, ,, ,,,,,,,,,,, 
533,6,0,,,, ,,, ,, ,,,,,,,,,,, 
533,7,0,,,, ,,, ,, ,,,,,,,,,,, 
533,8,0,,,, ,,, ,, ,,,,,,,,,,, 
533,9,0,,,, ,,, ,, ,,,,,,,,,,, 
535,,,,,, ,,, ,, ,,,,,,,,,,, 
536,1,1,1,1,50,DENDEHA,2,1, ,1, ,1,1,1,97,3,1,1,1,2,1, 
536,2,0,,,, ,,, ,, ,,,,,,,,,,, 
536,3,0,,,, ,,, ,, ,,,,,,,,,,, 
536,4,0,,,, ,,, ,, ,,,,,,,,,,, 
536,5,0,,,, ,,, ,, ,,,,,,,,,,, 
536,6,0,,,, ,,, ,, ,,,,,,,,,,, 
536,7,0,,,, ,,, ,, ,,,,,,,,,,, 
536,8,0,,,, ,,, ,, ,,,,,,,,,,, 
536,9,0,,,, ,,, ,, ,,,,,,,,,,, 
537,1,1,1,1,20,SHEMITI(LOCAL NAME),2,1, ,3, ,1,2,1,97,1,1,1,1,1,3, 
537,2,0,,,, ,,, ,, ,,,,,,,,,,, 
537,3,0,,,, ,,, ,, ,,,,,,,,,,, 
537,4,0,,,, ,,, ,, ,,,,,,,,,,, 
537,5,0,,,, ,,, ,, ,,,,,,,,,,, 
537,6,0,,,, ,,, ,, ,,,,,,,,,,, 
537,7,0,,,, ,,, ,, ,,,,,,,,,,, 
537,8,0,,,, ,,, ,, ,,,,,,,,,,, 
537,9,0,,,, ,,, ,, ,,,,,,,,,,, 
538,1,0,,,, ,,, ,, ,,,,,,,,,,, 
538,2,0,,,, ,,, ,, ,,,,,,,,,,, 
538,3,1,1,1,15,Digalo,2,4, ,1, ,1,1,2,1,2,1,2,2,1,4, 
538,4,0,,,, ,,, ,, ,,,,,,,,,,, 
538,5,0,,,, ,,, ,, ,,,,,,,,,,, 
538,6,0,,,, ,,, ,, ,,,,,,,,,,, 
538,7,0,,,, ,,, ,, ,,,,,,,,,,, 
538,8,0,,,, ,,, ,, ,,,,,,,,,,, 
538,9,0,,,, ,,, ,, ,,,,,,,,,,, 
539,1,1,1,1,40,DENDEA,2,1, ,3, ,0,1,1,97,1,1,1,1,1,1, 
539,2,0,,,, ,,, ,, ,,,,,,,,,,, 
539,3,0,,,, ,,, ,, ,,,,,,,,,,, 
539,4,0,,,, ,,, ,, ,,,,,,,,,,, 
539,5,0,,,, ,,, ,, ,,,,,,,,,,, 
539,6,0,,,, ,,, ,, ,,,,,,,,,,, 
539,7,0,,,, ,,, ,, ,,,,,,,,,,, 
539,8,0,,,, ,,, ,, ,,,,,,,,,,, 
539,9,0,,,, ,,, ,, ,,,,,,,,,,, 
561,1,1,1,1,300,HEDASE,2,1, ,1, ,1,1,1,1,2,2,2,2,2,2, 
561,2,0,,,, ,,, ,, ,,,,,,,,,,, 
561,3,0,,,, ,,, ,, ,,,,,,,,,,, 
561,4,0,,,, ,,, ,, ,,,,,,,,,,, 
561,5,0,,,, ,,, ,, ,,,,,,,,,,, 
561,6,0,,,, ,,, ,, ,,,,,,,,,,, 
561,7,0,,,, ,,, ,, ,,,,,,,,,,, 
561,8,0,,,, ,,, ,, ,,,,,,,,,,, 
561,9,0,,,, ,,, ,, ,,,,,,,,,,, 
563,1,0,,,, ,,, ,, ,,,,,,,,,,, 
563,2,0,,,, ,,, ,, ,,,,,,,,,,, 
563,3,1,1,1,100,Danda(osma),1,1, ,1, ,1,1,1,97,1,1,1,1,2,3, 
563,4,0,,,, ,,, ,, ,,,,,,,,,,, 
563,5,0,,,, ,,, ,, ,,,,,,,,,,, 
563,6,0,,,, ,,, ,, ,,,,,,,,,,, 
563,7,0,,,, ,,, ,, ,,,,,,,,,,, 
563,8,0,,,, ,,, ,, ,,,,,,,,,,, 
