HH_Id,Last_Seasn_OwnWSeed_M,SL_No_M,Variety_Name_M,Store_Seperate_M,Seed_Storage_Place_M,Seed_Storage_Place_Othr_M,Seed_Storage_Prob_M,Seed_Storage_Prob_Othr_M,Seed_Disease_Prob_M,Seed_Disease_Prob_M,Seed_Replace_freq_M,SeedVar_Unique_Chara_M,SeedVar_Unique_Chara_Othr_M,Additional_Variety_M
245,1,1,Kekeba,1,1, ,1, ,2, ,3,1, ,2
246,1,1,KEKEBA,1,1, ,2, ,5, ,4,1, ,2
247,1,1,kekeba,1,1, ,2, ,1, ,1,6, ,2
251,1,1,KEKEBA,1,1, ,3, ,2, ,3,1, ,2
252,1,1,QUBESA,1,1, ,2, ,1, ,1,8, ,2
253,,, ,,, ,, ,, ,,, ,
255,1,1,KEKEBA,1,1, ,2, ,1, ,5,2, ,2
256,1,1,KEKEBA,1,2, ,1, ,1, ,3,1, ,2
257,1,1,KEKEBA,1,1, ,2, ,5, ,6,1, ,2
258,1,1,kekeba,1,3, ,1, ,1, ,1,6, ,2
383,0,, ,,, ,, ,, ,,, ,
385,0,, ,,, ,, ,, ,,, ,
386,0,, ,,, ,, ,, ,,, ,
388,0,, ,,, ,, ,, ,,, ,
389,1,1,KEKEBA,1,1, ,3, ,1, ,3,1, ,2
390,0,, ,,, ,, ,, ,,, ,
391,1,1,KEKEBA,0,1, ,3, ,1, ,1,4, ,1
391,1,2,KEKEBA,0,1, ,3, ,1, ,1,4, ,2
392,1,1,KEKEBA,1,1, ,1, ,1, ,3,1, ,2
393,1,1,KEKEBA,1,1, ,3, ,5, ,2,1, ,2
394,1,1,KEKEBA,1,1, ,1, ,1, ,4,1, ,2
395,0,, ,,, ,, ,, ,,, ,
529,1,1,DIGELU,1,1, ,1, ,1, ,3,1, ,2
531,0,, ,,, ,, ,, ,,, ,
532,1,1,DIGELU,0,1, ,1, ,1, ,3,3, ,2
533,0,, ,,, ,, ,, ,,, ,
535,,, ,,, ,, ,, ,,, ,
536,1,1,DENDEHA,1,1, ,3, ,3, ,3,1, ,2
537,1,1,SHIMIT (LOCAL NAME),1,1, ,3, ,1, ,4,3, ,2
538,0,, ,,, ,, ,, ,,, ,
539,1,1,DENDEA,1,1, ,3, ,1, ,4,1, ,2
561,1,1,HEDASE,1,1, ,3, ,1, ,1,3, ,2
563,1,1,Danda(osma),0,1, ,1, ,2, ,3,1, ,2
564,1,1,GLOBAL,1,1, ,3, ,1, ,1,4, ,2
565,1,1,DIGELU,1,1, ,2, ,2, ,4,1, ,2
567,1,1,SASE,1,1, ,1, ,1, ,3,1, ,1
567,1,2,HIDASE,1,1, ,1, ,1, ,3,1, ,2
568,1,1,HIDASSIE,1,1, ,1, ,1, ,2,1, ,2
569,1,1,HIDASSIE,1,1, ,1, ,1, ,2,1, ,2
570,1,1,DIGELU,1,1, ,3, ,1, ,3,1, ,2
571,1,1,dendea,1,3, ,3, ,1, ,1,1, ,2
572,0,, ,,, ,, ,, ,,, ,
573,1,1,hedasse,1,4, ,3, ,1, ,1,1, ,2
574,1,1,DENDEHA,1,1, ,3, ,5, ,4,1, ,2
575,1,1,DENDEHA,1,1, ,3, ,5, ,4,1, ,2
576,1,1,DENDEHA,1,1, ,3, ,5, ,3,1, ,2
943,0,, ,,, ,, ,, ,,, ,
944,1,1,DEDEA,1,1, ,3, ,1, ,3,1, ,2
945,0,, ,,, ,, ,, ,,, ,
946,1,1,DENDEHA,1,1, ,3, ,1, ,3,1, ,2
948,1,1,Denda,1,1, ,1, ,2, ,3,1, ,1
948,1,2,Hidase,1,1, ,1, ,2, ,2,1, ,2
949,1,1,HEDASE,1,1, ,3, ,1, ,1,3, ,2
951,1,1,DENDA,1,1, ,1, ,1, ,3,9, ,2
952,0,, ,,, ,, ,, ,,, ,
956,1,1,dendea,1,1, ,3, ,1, ,1,1, ,2
957,1,1,Dendea,1,1, ,3, ,2, ,3,1, ,1
957,1,2,Hidase,1,1, ,3, ,2, ,3,1, ,2
958,0,, ,,, ,, ,, ,,, ,
959,0,, ,,, ,, ,, ,,, ,
960,1,1,digelo,1,1, ,3, ,1, ,1,3, ,2
961,1,1,DENDEA,1,1, ,3, ,1, ,3,1, ,2
962,0,, ,,, ,, ,, ,,, ,
963,1,1,DANFE,1,1, ,1, ,1, ,3,1, ,2
964,0,, ,,, ,, ,, ,,, ,
965,0,, ,,, ,, ,, ,,, ,
967,1,1,shemete,1,1, ,3, ,1, ,1,3, ,2
968,0,, ,,, ,, ,, ,,, ,
969,0,, ,,, ,, ,, ,,, ,
971,0,, ,,, ,, ,, ,,, ,
973,1,1,digelo,1,3, ,3, ,1, ,1,1, ,2
1047,1,1,KEKEBA,1,1, ,1, ,1, ,4,2, ,2
1048,0,, ,,, ,, ,, ,,, ,
