HH_Id,HH_Activity_M,Activity_Part_M,Decision_maker_Actvty_M,Influence_Decision_Actvty_M,Own_Decision_Actvty_M
245,1,1,1,3,3
245,2,1,5,3,4
245,3,1,5,3,4
245,4,1,98,,
245,5,1,5,3,3
245,6,1,5,3,3
245,7,1,5,3,2
246,1,1,2,3,3
246,2,1,2,2,3
246,3,1,2,3,3
246,4,1,2,3,3
246,5,1,2,3,3
246,6,1,2,3,3
246,7,1,2,3,3
247,1,1,1,3,3
247,2,1,1,3,3
247,3,1,1,3,3
247,4,1,1,3,3
247,5,1,5,3,3
247,6,1,5,3,3
247,7,1,5,3,3
251,1,1,5,3,3
251,2,1,5,3,3
251,3,1,5,3,3
251,4,1,5,3,3
251,5,1,5,3,3
251,6,1,5,3,3
251,7,1,5,3,3
252,1,1,1,3,3
252,2,1,1,3,3
252,3,1,1,3,3
252,4,1,1,3,3
252,5,1,1,3,3
252,6,1,1,3,3
252,7,1,1,3,3
253,,,,,
255,1,1,5,3,3
255,2,1,5,3,3
255,3,1,5,3,4
255,4,1,5,3,4
255,5,1,5,3,4
255,6,1,5,3,4
255,7,1,5,3,3
256,1,1,5,3,4
256,2,1,5,2,4
256,3,1,5,2,3
256,4,1,5,2,3
256,5,1,5,2,3
256,6,1,5,2,3
256,7,1,5,2,3
257,1,1,5,2,3
257,2,1,5,2,3
257,3,1,5,2,3
257,4,1,5,2,3
257,5,1,5,2,3
257,6,1,5,2,3
257,7,1,5,2,3
258,1,1,1,3,4
258,2,1,1,3,4
258,3,1,1,3,4
258,4,1,1,3,3
258,5,1,1,3,3
258,6,1,1,3,4
258,7,1,1,3,4
383,1,1,1,2,3
383,2,0,,,
383,3,0,,,
383,4,1,2,2,2
383,5,0,,,
383,6,0,,,
383,7,0,,,
385,1,1,1,3,3
385,2,1,1,3,3
385,3,1,1,3,3
385,4,1,5,3,3
385,5,1,5,3,3
385,6,0,,,
385,7,0,,,
386,1,1,2,2,3
386,2,1,1,3,4
386,3,1,2,2,3
386,4,1,1,3,4
386,5,1,1,3,4
386,6,1,2,2,3
386,7,1,2,2,3
388,1,1,1,3,3
388,2,1,1,3,3
388,3,1,1,3,3
388,4,1,1,3,3
388,5,1,1,3,3
388,6,0,,,
388,7,1,1,3,3
389,1,1,5,3,3
389,2,1,5,3,3
389,3,1,5,3,3
389,4,1,5,3,3
389,5,1,5,3,3
389,6,1,5,3,3
389,7,1,5,3,3
390,1,1,5,3,3
390,2,1,5,3,3
390,3,1,4,3,3
390,4,1,3,3,3
390,5,1,2,2,3
390,6,1,5,3,3
390,7,1,2,3,3
391,1,1,2,3,3
391,2,0,,,
391,3,1,2,3,3
391,4,1,2,3,1
391,5,1,2,3,3
391,6,1,2,3,3
391,7,1,2,3,3
392,1,1,2,2,3
392,2,1,5,2,3
392,3,1,2,2,3
392,4,1,5,2,3
392,5,1,5,2,3
392,6,1,5,2,3
392,7,1,3,2,3
393,1,1,2,2,3
393,2,1,2,2,3
393,3,1,2,2,3
393,4,1,2,3,2
393,5,1,2,3,3
393,6,1,2,2,3
393,7,1,2,2,3
394,1,1,5,2,3
394,2,1,5,2,3
394,3,1,5,2,3
394,4,1,5,2,3
394,5,1,5,2,3
394,6,1,5,2,3
394,7,1,5,2,3
395,1,1,1,3,4
395,2,1,1,4,4
395,3,1,1,3,4
395,4,1,1,3,4
395,5,1,1,3,4
395,6,1,1,3,4
395,7,1,1,3,3
529,1,1,5,2,3
529,2,1,5,2,3
529,3,1,5,2,3
529,4,1,5,2,3
529,5,1,5,2,3
529,6,1,5,2,3
