HH_Id,Decision_Intro_M,Influence_Decision_Income_M
245,1,3
246,1,2
247,1,3
251,1,3
252,1,3
253,,
255,1,3
256,1,3
257,1,2
258,1,3
383,1,3
385,1,3
386,1,3
388,1,3
389,1,3
390,1,3
391,1,3
392,1,2
393,1,3
394,1,2
395,1,3
529,1,2
531,1,3
532,1,2
533,1,3
535,,
536,1,3
537,1,3
538,1,3
539,1,3
561,1,3
563,1,3
564,1,3
565,1,3
567,1,2
568,1,2
569,1,2
570,1,3
571,1,3
572,1,3
573,1,2
574,1,2
575,1,2
576,1,3
943,1,2
944,1,3
945,1,3
946,1,3
948,1,3
949,1,3
951,1,2
952,1,3
956,1,2
957,1,3
958,1,1
959,1,3
960,1,3
961,1,3
962,1,3
963,1,2
964,1,3
965,1,3
967,1,3
968,1,3
969,1,3
971,1,3
973,1,3
1047,1,2
1048,1,3
1049,1,2
1050,1,2
1051,1,3
1052,1,3
1055,1,3
1056,,
1057,1,1
1058,1,2
1059,1,3
1060,1,3
1117,1,2
1118,,
1120,1,2
1121,1,3
1122,1,3
1124,,
1127,1,3
1131,1,3
1344,1,3
1346,1,3
1347,,
1349,1,3
1350,1,3
1352,1,3
1354,1,3
1356,1,3
1357,1,3
1358,1,1
1359,1,3
1379,1,2
1380,1,3
1381,,
1382,1,3
1383,1,2
1385,1,2
1386,1,3
1387,1,3
1388,1,4
1390,1,3
1391,,
1393,1,2
1394,1,3
1396,1,3
1397,1,3
1398,1,3
1399,1,2
1400,1,3
1502,1,2
1504,,
1505,1,3
1506,1,3
1507,1,2
1508,1,3
1509,1,3
1559,1,2
1561,1,2
1562,1,3
1563,1,2
1895,1,3
1897,1,3
1899,1,3
1923,1,3
1925,1,3
1926,1,2
1930,1,2
1931,1,3
1932,1,2
1933,1,2
1934,1,3
1935,1,3
1936,,
1938,1,1
1942,,
1944,1,3
1945,1,3
1947,1,3
1949,1,2
1950,1,2
1951,1,3
1952,1,3
1953,1,3
1954,1,2
1955,1,2
1957,1,3
1960,1,3
1961,1,3
1962,1,3
1963,1,2
1965,,
1966,,
1967,1,3
1968,1,2
1969,1,2
1975,,
1976,1,2
1978,1,3
1980,1,2
1991,1,3
1992,1,3
1993,1,3
1994,1,3
1995,1,2
1996,1,3
1997,1,3
1999,1,3
2000,1,2
2020,1,3
2021,1,3
2023,1,2
2025,1,2
2026,1,3
2027,1,3
2031,1,3
2032,1,3
2033,1,3
2085,1,3
2086,1,3
2088,1,2
2089,1,3
2093,1,3
2094,,
2095,1,3
2096,1,2
2097,1,2
2098,1,3
2099,1,3
4001,,
4002,1,3
4003,1,3
4004,1,2
4005,1,3
4006,1,2
4007,1,2
4008,1,3
4009,1,3
4010,1,3
4011,1,2
4012,1,2
4013,1,2
4014,1,3
4015,1,3
4016,1,3
4017,1,3
4018,1,3
4019,1,3
4020,1,2
4021,,
4022,1,3
4023,1,2
4024,1,2
4025,1,3
4026,,
4027,1,2
4028,1,3
4029,1,3
4030,1,3
4031,1,3
4032,1,3
4033,1,3
4034,1,3
4035,1,3
4036,,
4037,1,3
4038,,
4039,1,3
4040,1,3
4041,1,3
4042,1,1
4043,1,3
4044,1,3
4045,1,3
4046,1,3
4047,1,3
4048,1,3
98,1,3
99,1,3
100,1,3
101,1,3
102,1,3
103,1,3
260,1,3
261,1,3
262,,
263,1,3
264,1,3
266,1,3
267,1,3
269,1,3
270,1,3
271,1,3
272,1,3
273,1,3
275,1,3
276,1,3
277,,
278,1,3
279,1,3
280,1,3
281,1,3
282,1,3
283,1,3
285,1,3
286,1,3
287,,
289,1,3
290,1,3
292,1,3
293,1,3
295,1,2
296,1,3
297,1,3
299,1,3
301,1,2
302,1,2
303,,
304,1,3
305,1,3
307,1,3
308,1,2
309,1,3
310,1,2
311,1,3
490,,
491,1,3
492,1,3
493,1,3
494,1,3
518,1,3
520,,
521,1,3
522,1,1
523,1,3
577,1,3
580,1,3
581,1,3
583,1,3
584,1,3
585,1,3
586,1,3
587,1,3
588,1,3
589,1,3
590,1,3
591,1,3
718,1,3
719,1,3
