HH_Id,Info_Src_Name_M,Info_Access_Yn_M,NoInfo_Access_Rsn_M,NoInfo_Access_Rsn_Othr_M,Info_Access_Decision_M
245,1,1,, ,5
245,2,2,, ,1
245,3,2,, ,5
245,4,3,2, ,
245,5,3,2, ,
245,6,2,, ,5
246,1,1,, ,2
246,2,3,3, ,
246,3,1,, ,2
246,4,3,2, ,
246,5,3,2, ,
246,6,3,3, ,
247,1,3,1, ,
247,2,3,1, ,
247,3,3,1, ,
247,4,2,, ,1
247,5,3,1, ,
247,6,3,1, ,
251,1,2,, ,1
251,2,3,1, ,
251,3,3,1, ,
251,4,3,1, ,
251,5,3,1, ,
251,6,3,1, ,
252,1,1,, ,5
252,2,1,, ,5
252,3,1,, ,1
252,4,99,, ,
252,5,1,, ,1
252,6,99,, ,
253,,,, ,
255,1,2,, ,1
255,2,2,, ,1
255,3,2,, ,1
255,4,3,1, ,
255,5,3,1, ,
255,6,3,1, ,
256,1,1,, ,5
256,2,2,, ,1
256,3,2,, ,1
256,4,3,2, ,
256,5,2,, ,1
256,6,2,, ,1
257,1,1,, ,1
257,2,3,1, ,
257,3,3,1, ,
257,4,3,2, ,
257,5,3,1, ,
257,6,3,1, ,
258,1,1,, ,1
258,2,1,, ,1
258,3,3,6, ,
258,4,1,, ,1
258,5,1,, ,1
258,6,3,1, ,
383,1,2,, ,1
383,2,3,6, ,
383,3,3,6, ,
383,4,3,1, ,
383,5,3,5, ,
383,6,3,5, ,
385,1,1,, ,1
385,2,1,, ,1
385,3,1,, ,1
385,4,3,1, ,
385,5,1,, ,1
385,6,3,1, ,
386,1,1,, ,2
386,2,3,3, ,
386,3,1,, ,2
386,4,3,1, ,
386,5,1,, ,2
386,6,3,3, ,
388,1,2,, ,1
388,2,1,, ,1
388,3,1,, ,1
388,4,3,1, ,
388,5,1,, ,1
388,6,2,, ,1
389,1,2,, ,1
389,2,3,1, ,
389,3,2,, ,1
389,4,3,1, ,
389,5,3,1, ,
389,6,3,1, ,
390,1,1,, ,5
390,2,1,, ,1
390,3,1,, ,1
390,4,3,1, ,
390,5,3,2, ,
390,6,3,2, ,
391,1,1,, ,2
391,2,1,, ,2
391,3,99,, ,
391,4,99,, ,
391,5,1,, ,2
391,6,99,, ,
392,1,2,, ,5
392,2,3,3, ,
392,3,3,2, ,
392,4,3,99, ,
392,5,3,99, ,
392,6,3,99, ,
393,1,1,, ,2
393,2,3,3, ,
393,3,1,, ,2
393,4,3,1, ,
393,5,3,3, ,
393,6,3,3, ,
394,1,1,, ,5
394,2,1,, ,1
394,3,2,, ,5
394,4,3,99, ,
394,5,3,99, ,
394,6,3,99, ,
395,1,1,, ,1
395,2,1,, ,1
395,3,1,, ,1
395,4,1,, ,1
395,5,1,, ,1
395,6,1,, ,1
529,1,1,, ,5
529,2,3,1, ,
529,3,2,, ,1
529,4,3,1, ,
529,5,3,1, ,
529,6,3,1, ,
531,1,1,, ,1
531,2,1,, ,1
531,3,1,, ,1
531,4,3,1, ,
531,5,3,2, ,
531,6,3,2, ,
532,1,1,, ,5
532,2,3,1, ,
532,3,3,1, ,
532,4,3,1, ,
532,5,2,, ,5
532,6,3,2, ,
533,1,3,2, ,
533,2,3,3, ,
533,3,3,3, ,
533,4,3,3, ,
533,5,3,3, ,
533,6,3,1, ,
535,,,, ,
536,1,1,, ,2
536,2,1,, ,2
536,3,1,, ,1
536,4,3,1, ,
536,5,3,2, ,
536,6,3,2, ,
537,1,2,, ,5
537,2,2,, ,1
537,3,2,, ,1
537,4,3,1, ,
537,5,3,1, ,
537,6,3,1, ,
538,1,1,, ,1
538,2,1,, ,1
538,3,2,, ,1
538,4,1,, ,1
538,5,3,2, ,
538,6,3,6, ,
539,1,2,, ,5
539,2,2,, ,1
539,3,2,, ,1
539,4,3,1, ,
539,5,3,1, ,
539,6,3,1, ,
561,1,1,, ,1
561,2,1,, ,1
561,3,99,, ,
561,4,99,, ,
561,5,99,, ,
561,6,99,, ,
563,1,3,2, ,
563,2,3,2, ,
563,3,3,2, ,
563,4,3,2, ,
563,5,3,2, ,
563,6,3,2, ,
564,1,1,, ,1
564,2,1,, ,1
564,3,99,, ,
564,4,99,, ,
564,5,99,, ,
564,6,99,, ,
565,1,2,, ,1
565,2,3,1, ,
565,3,3,1, ,
565,4,3,1, ,
565,5,3,1, ,
565,6,3,1, ,
567,1,3,3, ,
567,2,3,3, ,
567,3,2,, ,1
567,4,3,3, ,
567,5,2,, ,1
567,6,3,1, ,
568,1,2,, ,1
568,2,3,1, ,
568,3,3,2, ,
568,4,3,2, ,
568,5,3,2, ,
568,6,3,2, ,
569,1,1,, ,1
569,2,3,1, ,
569,3,2,, ,1
569,4,3,2, ,
569,5,3,1, ,
569,6,3,1, ,
570,1,2,, ,5
570,2,2,, ,1
570,3,2,, ,1
570,4,3,1, ,
570,5,3,1, ,
570,6,3,1, ,
571,1,3,2, ,
571,2,3,3, ,
571,3,3,3, ,
571,4,3,1, ,
571,5,3,3, ,
571,6,3,1, ,
572,1,2,, ,1
572,2,3,2, ,
572,3,3,2, ,
572,4,3,2, ,
572,5,3,2, ,
572,6,3,2, ,
573,1,3,3, ,
573,2,3,3, ,
573,3,3,3, ,
573,4,3,1, ,
573,5,3,2, ,
573,6,3,3, ,
574,1,1,, ,2
574,2,2,, ,1
574,3,2,, ,1
574,4,3,1, ,
574,5,3,2, ,
574,6,3,3, ,
575,1,2,, ,2
575,2,2,, ,2
575,3,2,, ,2
575,4,3,1, ,
575,5,3,2, ,
575,6,3,3, ,
576,1,1,, ,2
576,2,3,3, ,
576,3,1,, ,2
576,4,3,1, ,
576,5,3,2, ,
576,6,3,3, ,
943,1,1,, ,1
943,2,3,2, ,
943,3,2,, ,1
943,4,3,2, ,
943,5,3,1, ,
943,6,3,1, ,
944,1,2,, ,5
944,2,2,, ,1
944,3,2,, ,1
944,4,3,1, ,
944,5,3,1, ,
944,6,3,1, ,
945,1,2,, ,5
945,2,2,, ,5
945,3,2,, ,5
945,4,3,1, ,
945,5,3,1, ,
945,6,3,1, ,
946,1,1,, ,2
946,2,1,, ,1
946,3,1,, ,2
946,4,3,1, ,
946,5,3,2, ,
946,6,3,3, ,
948,1,1,, ,5
948,2,1,, ,5
948,3,1,, ,5
948,4,2,, ,1
948,5,3,3, ,
948,6,1,, ,5
949,1,1,, ,5
949,2,1,, ,5
949,3,1,, ,1
949,4,99,, ,
949,5,1,, ,1
949,6,1,, ,5
951,1,2,, ,1
951,2,3,1, ,
951,3,3,1, ,
951,4,3,2, ,
951,5,3,1, ,
951,6,3,1, ,
952,1,1,, ,1
952,2,1,, ,1
952,3,2,, ,1
952,4,3,1, ,
952,5,2,, ,1
952,6,3,1, ,
956,1,3,2, ,
956,2,3,2, ,
956,3,3,6, ,
956,4,3,6, ,
956,5,3,6, ,
956,6,3,1, ,
957,1,3,3, ,
957,2,3,3, ,
957,3,3,2, ,
957,4,3,2, ,
957,5,3,2, ,
957,6,3,2, ,
958,1,1,, ,5
958,2,3,1, ,
958,3,2,, ,5
958,4,3,2, ,
958,5,2,, ,5
958,6,3,1, ,
959,1,2,, ,1
959,2,2,, ,1
959,3,2,, ,1
959,4,3,1, ,
959,5,3,2, ,
959,6,3,2, ,
960,1,2,, ,1
960,2,3,1, ,
960,3,3,1, ,
960,4,3,1, ,
960,5,3,1, ,
960,6,3,3, ,
961,1,2,, ,5
961,2,2,, ,5
961,3,2,, ,5
961,4,3,1, ,
961,5,3,1, ,
961,6,3,1, ,
962,1,1,, ,2
962,2,1,, ,2
962,3,1,, ,2
962,4,3,1, ,
962,5,3,2, ,
962,6,3,3, ,
963,1,1,, ,5
963,2,3,2, ,
963,3,2,, ,1
963,4,3,2, ,
963,5,2,, ,1
963,6,3,1, ,
964,1,1,, ,1
964,2,1,, ,1
964,3,99,, ,
964,4,1,, ,5
964,5,99,, ,
964,6,99,, ,
965,1,1,, ,5
965,2,1,, ,5
965,3,1,, ,5
965,4,3,2, ,
965,5,3,2, ,
965,6,2,, ,1
967,1,1,, ,1
967,2,1,, ,1
967,3,3,2, ,
967,4,3,1, ,
967,5,3,1, ,
967,6,3,1, ,
968,1,1,, ,1
968,2,1,, ,1
968,3,1,, ,1
968,4,3,1, ,
968,5,3,2, ,
968,6,3,3, ,
969,1,1,, ,1
969,2,1,, ,1
969,3,1,, ,1
969,4,1,, ,5
969,5,1,, ,1
969,6,99,, ,
971,1,1,, ,5
971,2,3,2, ,
971,3,2,, ,1
971,4,3,3, ,
971,5,3,3, ,
971,6,3,3, ,
973,1,3,2, ,
973,2,3,2, ,
973,3,3,1, ,
973,4,3,1, ,
973,5,3,2, ,
973,6,3,4, ,
1047,1,1,, ,1
1047,2,3,2, ,
1047,3,2,, ,1
1047,4,3,1, ,
1047,5,2,, ,1
1047,6,2,, ,1
1048,1,1,, ,1
