HH_Id,SocialNetwork_Intro_M,Num_YrsIn_Kebele_M,Reltv_InKebele_FinanceNeed_M,Frnds_InKebele_FinanceNeed_M,Acquint_InKebele_FinanceNeed_M,Reltv_OutKebele_FinanceNeed_M,Frnds_OutKebele_FinanceNeed_M,Acquint_OutKebele_FinanceNeed_M,Reltv_Kebele_LeaderPositn_M,Frnds_Kebele_LeaderPositn_M,Acquint_Kebele_LeaderPositn_M,Reltv_InKebele_QltySeed_M,Frnds_InKebele_QltySeed_M,Acquint_InKebele_QltySeed_M,Reltv_OutKebele_QltySeed_M,Frnds_OutKebele_QltySeed_M,Acquint_OutKebele_QltySeed_M,Reltv_InKebele_GrainTrader_M,Frnds_InKebele_GrainTrader_M,Acquint_InKebele_GrainTrader_M,Reltv_OutKebele_GrainTrader_M,Frnds_OutKebele_GrainTrader_M,Acquint_OutKebele_GrainTrader_M,Reltv_InKebele_InfoAccess_M,Frnds_InKebele_InfoAccess_M,Acquint_InKebele_InfoAccess_M,Reltv_OutKebele_InfoAccess_M,Frnds_OutKebele_InfoAccess_M,Acquint_OutKebele_InfoAccess_M,Traders_Trust_Yn_M,Trader_Trust_Type_M,Trader_Trust_Type_Othr_M,Trader_Trust_Why_M,Rely_GovSupp_Yn_M,Rely_GovSupp_Covid_M,GovOfficial_Skill_Conf_M
245,1,47,8,6,3,6,4,0,2,6,2,8,2,0,0,0,0,0,1,0,0,0,0,8,9,4,3,2,0,1,6, , ,0,0,4
246,1,40,3,1,0,4,1,1,3,1,0,2,0,0,3,1,0,4,1,0,6,2,1,7,4,1,8,4,1,2,2, ,They're Relatively Loyal,0,0,5
247,1,47,3,5,0,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,2,4,6,2,6,, , ,0,0,4
251,1,49,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6, , ,0,0,4
252,1,59,3,4,3,5,2,2,0,2,3,2,3,1,0,0,0,0,0,0,2,1,2,4,2,1,0,0,0,3,1, ,NONE,1,1,5
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,
255,1,44,2,4,2,5,0,0,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,, , ,0,0,4
256,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,6, , ,0,0,5
257,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,, , ,0,0,5
258,1,42,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,2,3,0,1,6, , ,1,1,5
