HH_Id,Group_Memb_Yn_M,Group_Type_M,Group_Memb_Self_M,Group_Funcn_1_M,Group_Funcn_2_Othr_M,Group_Funcn_2_M,Group_Funcn_1_Othr_M,Group_Funcn_3_M,Group_Funcn_3_Othr_M,Group_Join_Yr_M,Group_Role_M,Group_Memb_Still_M,Group_Left_Rsn_1_M,Group_Left_OthrRsn_1_M,Group_Left_Rsn_2_M,Group_Left_OthrRsn_2_M,Group_Left_Rsn_3_M,Group_Left_OthrRsn_3_M
245,1,1,1,3, ,2, ,99, ,1997,3,1,, ,, ,, 
245,1,2,0,, ,, ,, ,,,,, ,, ,, 
245,1,3,1,7, ,99, ,, ,1992,3,1,, ,, ,, 
245,1,4,0,, ,, ,, ,,,,, ,, ,, 
245,1,5,0,, ,, ,, ,,,,, ,, ,, 
245,1,6,0,, ,, ,, ,,,,, ,, ,, 
245,1,7,1,9, ,5, ,99, ,1992,1,1,, ,, ,, 
245,1,8,0,, ,, ,, ,,,,, ,, ,, 
245,1,9,0,, ,, ,, ,,,,, ,, ,, 
245,1,10,0,, ,, ,, ,,,,, ,, ,, 
245,1,11,1,8, ,99, ,, ,2006,3,1,, ,, ,, 
245,1,12,1,6, ,99, ,, ,1992,3,1,, ,, ,, 
245,1,13,0,, ,, ,, ,,,,, ,, ,, 
245,1,14,0,, ,, ,, ,,,,, ,, ,, 
246,1,1,1,2, ,3, ,99, ,1995,3,1,, ,, ,, 
246,1,2,0,, ,, ,, ,,,,, ,, ,, 
246,1,3,0,, ,, ,, ,,,,, ,, ,, 
246,1,4,0,, ,, ,, ,,,,, ,, ,, 
246,1,5,0,, ,, ,, ,,,,, ,, ,, 
246,1,6,0,, ,, ,, ,,,,, ,, ,, 
246,1,7,1,9, ,99, ,, ,1994,3,1,, ,, ,, 
246,1,8,1,5, ,99, ,, ,1997,3,1,, ,, ,, 
246,1,9,0,, ,, ,, ,,,,, ,, ,, 
246,1,10,0,, ,, ,, ,,,,, ,, ,, 
246,1,11,1,8, ,99, ,, ,1998,3,1,, ,, ,, 
246,1,12,1,5, ,99, ,, ,1996,3,1,, ,, ,, 
246,1,13,0,, ,, ,, ,,,,, ,, ,, 
246,1,14,0,, ,, ,, ,,,,, ,, ,, 
247,0,1,1,2, ,99, ,, ,2003,3,1,, ,, ,, 
247,0,2,0,, ,, ,, ,,,,, ,, ,, 
247,0,3,0,, ,, ,, ,,,,, ,, ,, 
247,0,4,0,, ,, ,, ,,,,, ,, ,, 
247,0,5,0,, ,, ,, ,,,,, ,, ,, 
247,0,6,0,, ,, ,, ,,,,, ,, ,, 
247,0,7,1,9, ,99, ,, ,2009,3,1,, ,, ,, 
247,0,8,0,, ,, ,, ,,,,, ,, ,, 
247,0,9,0,, ,, ,, ,,,,, ,, ,, 
247,0,10,1,8, ,7, ,99, ,2008,3,1,, ,, ,, 
247,0,11,0,, ,, ,, ,,,,, ,, ,, 
