HH_Id,Asset_Name_M,Num_Items_Owned_M,Purch_Decision_Self_M,Asset_Owner_Name_M
245,1,1,1,1
245,2,2,1,1
245,3,0,,
245,4,0,,
245,5,0,,
245,6,0,,
245,7,0,,
245,8,0,,
245,9,0,,
245,10,0,,
245,11,0,,
245,12,0,,
245,13,0,,
245,14,0,,
245,15,0,,
245,16,0,,
245,17,0,,
245,18,1,1,1
245,19,0,,
245,20,0,,
245,21,0,,
245,22,0,,
245,23,0,,
245,24,0,,
245,25,0,,
245,26,0,,
245,27,0,,
245,28,0,,
246,1,0,,
246,2,0,,
246,3,0,,
246,4,0,,
246,5,0,,
246,6,0,,
246,7,0,,
246,8,0,,
246,9,0,,
246,10,0,,
246,11,0,,
246,12,0,,
246,13,0,,
246,14,0,,
246,15,0,,
246,16,0,,
246,17,0,,
246,18,1,1,2
246,19,0,,
246,20,0,,
246,21,0,,
246,22,0,,
246,23,0,,
246,24,0,,
246,25,0,,
246,26,0,,
246,27,0,,
246,28,0,,
247,1,1,1,6
247,2,0,,
247,3,0,,
247,4,0,,
247,5,0,,
247,6,0,,
247,7,0,,
247,8,0,,
247,9,0,,
247,10,0,,
247,11,0,,
247,12,0,,
247,13,0,,
247,14,0,,
247,15,0,,
247,16,0,,
247,17,0,,
247,18,1,1,1
247,19,0,,
247,20,0,,
247,21,1,2,1
247,22,0,,
247,23,0,,
247,24,0,,
247,25,0,,
247,26,0,,
247,27,0,,
247,28,0,,
251,1,1,1,6
251,2,2,1,6
251,3,0,,
251,4,0,,
251,5,0,,
251,6,0,,
251,7,0,,
251,8,0,,
251,9,0,,
251,10,0,,
251,11,0,,
251,12,0,,
251,13,0,,
251,14,0,,
251,15,0,,
251,16,0,,
251,17,0,,
251,18,0,,
251,19,0,,
251,20,0,,
251,21,0,,
251,22,0,,
251,23,0,,
251,24,0,,
251,25,0,,
251,26,0,,
251,27,0,,
251,28,0,,
252,1,1,2,1
252,2,0,,
252,3,0,,
252,4,0,,
252,5,0,,
252,6,0,,
252,7,1,2,1
252,8,0,,
252,9,0,,
252,10,0,,
252,11,0,,
252,12,0,,
252,13,0,,
252,14,0,,
252,15,0,,
252,16,0,,
252,17,0,,
252,18,1,1,2
252,19,0,,
252,20,0,,
252,21,1,2,1
252,22,0,,
252,23,0,,
252,24,0,,
252,25,0,,
252,26,0,,
252,27,0,,
252,28,0,,
253,,,,
255,1,1,1,6
255,2,2,1,6
255,3,0,,
255,4,0,,
255,5,0,,
255,6,0,,
255,7,1,1,6
255,8,0,,
255,9,0,,
255,10,0,,
255,11,0,,
255,12,0,,
255,13,0,,
255,14,0,,
255,15,0,,
255,16,0,,
255,17,0,,
255,18,0,,
255,19,0,,
255,20,0,,
255,21,1,2,1
255,22,0,,
255,23,0,,
255,24,0,,
255,25,0,,
255,26,0,,
255,27,0,,
255,28,0,,
256,1,1,1,6
256,2,1,1,6
256,3,0,,
256,4,0,,
256,5,0,,
256,6,0,,
256,7,0,,
256,8,0,,
256,9,0,,
256,10,0,,
256,11,0,,
256,12,0,,
256,13,0,,
256,14,0,,
256,15,0,,
256,16,0,,
256,17,0,,
256,18,0,,
256,19,0,,
256,20,0,,
256,21,0,,
256,22,0,,
256,23,0,,
256,24,0,,
256,25,0,,
256,26,0,,
256,27,0,,
256,28,0,,
257,1,1,1,6
257,2,1,1,6
257,3,0,,
257,4,0,,
257,5,0,,
257,6,0,,
257,7,0,,
257,8,0,,
257,9,0,,
257,10,0,,
257,11,0,,
257,12,0,,
257,13,0,,
257,14,0,,
