File,Sheet,Page,Language,Variable Name,Variable Description,Data_type,Unit_of_Measurment,Key
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,HH_Id,Household ID (from the list provided),Integer,,1
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,Region,Region,Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,Zone,Zone,Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,District,District,Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,PA,PA,Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,Village,Village,Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,HHH_Name,Name of HH head,Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,HHH_Sex,Sex of Household head,Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,HHH_Age,Age of household head,Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,HHH_Edcn,Education of household head,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,Intro_Study,ENUMERATOR: Please introduce the study:,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,Consent_Resp,Has the respondent given his/her consent to be interviewed? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,HH_Replacement,"If not, proceed to the next sample Household in the list. If households in list are already contacted look for a replacement",Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,New_HH_Id,"If a respondent is a replacement household, give a new ID starting from 300",Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 1,English,Wheat_Cult,Have you cultivated wheat in any of your plots during the last 12 months? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,GPS,GPS coordinates of the main dwelling,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,GPS_Lat,Farmer GPS Location - Latitude,Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,GPS_Long,Farmer GPS Location - Longitude,Float,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,Interview_Date,Date of Interview,Date,DDMMYYYY,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,Supervisor,Supervisor,Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,Enumerator_Name,Enumerator,Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,MHH_FHH,Is this a MHH or FHH?,Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,MHH_Name,Male household head (MHH) name,Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,FHH_Name,Female household head (FHH) name,Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,MHH_Phone,Mobile phone number of MHH,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,FHH_Phone,Mobile phone number of FHH,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,Respondent_Othr,Is the repondent other person in the HH than the MHH or FHH? (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,Respondent_Name,"Name of respondent, if not MHH or FHH (Please ensure that the respondent belons to the study household)",Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,Respondent_Phone,"Mobile phone number of the respondent, if not MHH or FHH",Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 2,English,HH_Intvw_LastRound_Yn,Was this household interviewed in the last round of the survey (check from the list provided) (Code 1),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,Num_HH_Memb,How many adult members are there in your household in total? (number of members of age 15 or above; Living in the house and eating from the same kitchen for at least 4 months during the past one year,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,Num_HH_Boys,Number of BOYS (below 15 years of age) in the household:,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,Num_HH_Girl,Number of GIRLS (below 15 years of age) in the household:,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,Num_Boys_AttndSchool,Number of BOYS (below 15 years of age) attending school (online or in person),Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,Num_Girl_AttndSchool,Number of GIRLS (below 15 years of age) attending school (online or in person),Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,Total_Num_OM,"TOTAL number of close family members, who stay outside for >4 months during",Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,Num_OM_Work,Of those how many stayed outside >4 months FOR WORK:,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,Num_OM_Study,Of those how many stayed outside >4 months FOR STUDY:,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,Num_OM_Other,Of those how many stayed utside >4 months FOR OTHER PURPOSES:,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,Main_Language,Main language used by the household members (Code 10),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,Language_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,MHH_Relgn,Religion of the MHH (Code 11),Code ,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,MHH_Relgn_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,FHH_Relgn,Religion of the FHH (Code 11),Code ,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,FHH_Relgn_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1,Page number 3,English,Num_HH_AdultMemb,Household adult member (15 years or older) roster,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,HH_Id,Household ID (from the list provided),Integer,,1
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,HH_Member_Roster,Household adult member (15 years or older) roster [Number of rows = number of,,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,HH_Member_Id,HH member ID,Integer,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,HH_Member_Name,Name of the household member,Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,HH_Mem_Gender,Gender of household member (Code 2),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,HH_Mem_Age,Age (years),Integer,Years,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,HHH_Reln,Relation to HH head (Code 3),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,Marital_Status,Marital Status (Code 7),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,Primary_Occpn,Primary occupation in the last 12 months - Type of work (Code 4),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,Primary_Occpn_Othr,Other (specify),Text,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,Month_Worked,Months worked during the last 12 months,Integer,Months,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,Working_Hrs_Week,Working hours per week during months worked,Integer,Hours,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,Sec_Occpn,Secondary occupation in the last 12 months - Type of work (Code 4),Code,,0
AGG_HH_Survey_Ethiopia.xlsx,1.2.8,Page number 3,English,Sec_Occpn_Othr,Other (specify),Text,,0
