 Agroecological Zone                        , Amhara (HHs) , Oromia (HHs) , SNNP (HHs) , Total (HHs) 
 Tepid to cool humid mid-highlands          , 3             , 237          , 14         , 254         
 Cold to very cold humid sub-Afro-Alpine    , 7             , 0            , 0          , 7           
 Hot to warm moist lowlands                 , 0             , 13           , 0          , 13          
 Tepid to cool moist mid-highlands          , 122           , 149          , 7          , 278         
 Hot to warm sub-humid lowlands             , 2             , 0            , 0          , 2           
 Tepid to cool semi-arid mid-highlands      , 18            , 0            , 0          , 18          
 Tepid to cool sub-humid mid-highlands      , 59            , 184          , 145        , 388         
 Tepid to cool sub-moist mid-highlands      , 46            , 81           , 1          , 128         
 **Total**                                  ,243,678,167,1088
,,,,
