aid,gid,atype,created_by,aval,cval_id,alocn,aref,adate,modified_by,created_date,modified_date
185320,26862,26358,103,soybean,NULL,25662,1,19270100,NULL,2022-03-27 02:14:56,NULL
185321,26863,26358,103,soybean,NULL,25662,1,19270100,NULL,2022-03-27 02:14:56,NULL
185322,26864,26358,103,soybean,NULL,25662,1,19270100,NULL,2022-03-27 02:14:56,NULL
185323,26865,26358,103,soybean,NULL,25662,1,19270100,NULL,2022-03-27 02:14:56,NULL
185324,26866,26358,103,soybean,NULL,25662,1,19270100,NULL,2022-03-27 02:14:56,NULL
185325,26867,26358,103,soybean,NULL,25662,1,19270100,NULL,2022-03-27 02:14:56,NULL
185326,26868,26358,103,soybean,NULL,25662,1,19290200,NULL,2022-03-27 02:14:56,NULL
185327,26869,26358,103,soybean,NULL,25662,1,19290200,NULL,2022-03-27 02:14:56,NULL
185328,26870,26358,103,soybean,NULL,25662,1,19290200,NULL,2022-03-27 02:14:56,NULL
185329,26871,26358,103,soybean,NULL,25662,1,19290200,NULL,2022-03-27 02:14:56,NULL
185330,26872,26358,103,soybean,NULL,25662,1,19290200,NULL,2022-03-27 02:14:56,NULL
185331,26873,26358,103,soybean,NULL,25662,1,19290200,NULL,2022-03-27 02:14:56,NULL
185332,26874,26358,103,soybean,NULL,25662,1,19291000,NULL,2022-03-27 02:14:56,NULL
185333,26875,26358,103,soybean,NULL,25662,1,19291209,NULL,2022-03-27 02:14:56,NULL
185334,26876,26358,103,soybean,NULL,25662,1,19291223,NULL,2022-03-27 02:14:56,NULL
185335,26877,26358,103,soybean,NULL,25662,1,19300106,NULL,2022-03-27 02:14:56,NULL
185336,26878,26358,103,soybean,NULL,25662,1,19300120,NULL,2022-03-27 02:14:56,NULL
185337,26879,26358,103,soybean,NULL,25662,1,19300120,NULL,2022-03-27 02:14:56,NULL
185338,26880,26358,103,soybean,NULL,25662,1,19300120,NULL,2022-03-27 02:14:56,NULL
185339,26881,26358,103,soybean,NULL,25662,1,19300120,NULL,2022-03-27 02:14:56,NULL
185340,26882,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185341,26883,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185342,26884,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185343,26885,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185344,26886,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185345,26887,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185346,26888,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185347,26889,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185348,26890,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185349,26891,26358,103,soybean,NULL,25662,1,19300130,NULL,2022-03-27 02:14:56,NULL
185350,26892,26358,103,soybean,NULL,25662,1,19300226,NULL,2022-03-27 02:14:56,NULL
185351,26893,26358,103,soybean,NULL,25662,1,19300317,NULL,2022-03-27 02:14:56,NULL
185352,26894,26358,103,soybean,NULL,25662,1,20080212,NULL,2022-03-27 02:14:56,NULL
185353,26895,26358,103,soybean,NULL,25662,1,20080212,NULL,2022-03-27 02:14:56,NULL
185354,26896,26358,103,soybean,NULL,25662,1,19300317,NULL,2022-03-27 02:14:56,NULL
185355,26897,26358,103,soybean,NULL,25662,1,19300412,NULL,2022-03-27 02:14:56,NULL
185356,26898,26358,103,soybean,NULL,25662,1,19300412,NULL,2022-03-27 02:14:56,NULL
185357,26899,26358,103,soybean,NULL,25662,1,19300412,NULL,2022-03-27 02:14:56,NULL
