refid,pubtype,pubdate,authors,editors,analyt,monogr,series,volume,issue,pagecol,publish,pucity,pucntry,authorlist,editorlist,created_by,modified_by,created_date,modified_date
1,437,20140401,GRIN,-,Download of Soybean catalogue,-,-,-,-,-,USDA,Urbana,USA,NULL,NULL,103,NULL,2022-03-27 02:14:59,NULL
2,437,20140927,IITA Genetic Resources,-,Download of Soybean catalogue,-,-,-,-,-,IITA,Ibadan,NGA,NULL,NULL,11,NULL,2022-03-27 02:14:59,NULL
3,437,20130000,Hesham Agrama,-,IITA History of crosses,-,-,-,-,-,IITA,Ibadan,NGA,NULL,NULL,103,NULL,2022-03-27 02:14:59,NULL
4,437,20130000,GCP,-,GCP Fingerprinting set,-,-,-,-,-,GCP,El Batan,MEX,NULL,NULL,99,NULL,2022-03-27 02:14:59,NULL
5,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
6,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
7,NULL,NULL,-,-,2022,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
8,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
9,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
10,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
11,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
12,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
13,NULL,NULL,-,-,2020,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
14,NULL,NULL,-,-,2020,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
15,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
16,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
17,NULL,NULL,-,-,2022,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
18,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
19,NULL,NULL,-,-,2022,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
20,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 14:14:11,NULL
21,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 14:14:11,NULL
22,NULL,NULL,-,-,2022,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 14:14:11,NULL
23,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 14:14:12,NULL
24,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 14:14:12,NULL
25,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 14:14:12,NULL
26,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 14:14:12,NULL
