aud_id,rev_type,refid,pubtype,pubdate,authors,editors,analyt,monogr,series,volume,issue,pagecol,publish,pucity,pucntry,authorlist,editorlist,created_by,modified_by,created_date,modified_date
1,0,5,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
2,0,6,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
3,0,7,NULL,NULL,-,-,2022,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
4,0,8,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
5,0,9,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
6,0,10,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
7,0,11,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
8,0,12,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
9,0,13,NULL,NULL,-,-,2020,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
10,0,14,NULL,NULL,-,-,2020,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
11,0,15,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
12,0,16,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
13,0,17,NULL,NULL,-,-,2022,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
14,0,18,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
15,0,19,NULL,NULL,-,-,2022,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 13:54:07,NULL
16,0,20,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 14:14:11,NULL
17,0,21,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 14:14:11,NULL
18,0,22,NULL,NULL,-,-,2022,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 14:14:11,NULL
19,0,23,NULL,NULL,-,-,2021,-,-,-,-,-,-,-,-,NULL,NULL,65,NULL,2022-07-19 14:14:12,NULL
