cv_id,name,definition
1000,IBDB TERMS,CV of terms used to annotate relationships and identify objects in the ibdb database
1010,Properties,Terms defining the factor or trait of a variable
1011,CLASS,Property Class
1020,Methods,Terms representing the methods or protocols by which variables are applied or observed
1030,Scales,Terms defining the scale or units in which a variable is recorded
1031,Data Type,Datatype of Scale
1040,Variables,Standard variables recorded in the dataset defined by a combination of property,method and scale terms
1041,Variable Type,Type of the variable
2005,8006,Study status - Assigned (code
2010,8070,Study type - assigned (type
2020,8160,Dataset type -assigned (dstype
2030,8130,Study release - assigned (date
2040,8135,Experimental design - assigned (type
2050,8255,Entry type - assigned (type
2070,8371,Season - Assigned (Code
3010,18050,Disease pressure - visual assessment (score
3020,18080,Plant vigor - visual assessment at seedling stage (score
3030,18090,Pest pressure - visual assessment at maturity (score
3040,8065,Nursery type - assigned (type
3050,8066,Nursery generation
3060,8133,RMAP
3070,8146,POIL
3080,8413,CHECK_PLAN
3090,8590,PDATE_TREAT
4012,6050,Categorical values for Code for Project
4013,17278,Categorical values for Name of Mega_Environment
4014,17279,Categorical values for Code of FB_Type
4015,17280,Categorical values for Code of Trial_Type
20001,20011,BP_Est_1to5 : Bacterial Pustule -BY- Bacterial pustle assessment -IN- 1 to 5 infection score
20002,20012,RUST_Est_1to5 : Soybean rust -BY- Rust assessment -IN- 1 to 5 infection score
20003,20013,SMV_Est_1to5 : Soybean Mosaic Virus -BY- SMV assessment -IN- 1 to 5 infection score
20004,20014,FROGEYE_Est_1to5 : Frogeye leafspot -BY- Frog eye assessment -IN- 1 to 5 infection score
20005,20015,RtNod_Est_1to5 : Nodulation -BY- Nodulation observation -IN- 1 to 5 percentage scale
20006,25046,ROOTKNOT_Est_1to5 : Root knot nematode -BY- Root knot assessment -IN- 1 to 5 infection score
20007,20018,Lodg_Est_1to5 : Lodging -BY- Lodging estimation -IN- 1 to 5 percentage scale
20008,20022,PodShat_EarlyEst_1to5 : Pod shattering -BY- Early pod shattering estimation -IN- 1 to 5 percentage scale
20009,25032,PlntBrnch_Est_1to5 : Plant branching -BY- Plant branching observation -IN- 1 to 5 branching scale
20010,25011,FlwCol_scale : Flower color -BY- Flower color observation -IN- 1 to 9 color scale
20011,25033,PodCol_Est_1to4 : Pod color -BY- Pod color observation -IN- 1 to 4 color scale
20012,25019,HilumCol_Est_1to12 : Hilum color -BY- Hilum color observation -IN- 1 to 12 color scale
