cvterm_id,cv_id,name,definition,dbxref_id,is_obsolete,is_relationshiptype,is_system
1000,1000,IBDB structure,Terms defining elements and relationships in the IBDB data model,NULL,0,0,0
1001,1000,IBDB class,Terms in this class specify groupings of terms in an ontology,NULL,0,0,0
1002,1000,IBDB data type,Terms which describe the data type of a variable,NULL,0,0,0
1003,1000,IBDB element,Terms which describe the data model element and schema storage location for values of a variable,NULL,0,0,0
1010,1000,Study Information,Study element with label levels stored in projectprop.value study constant values in phenotype,NULL,0,0,0
1011,1000,Study name,Study name stored in project.name,NULL,0,0,0
1012,1000,Study title,Study title stored in project.description,NULL,0,0,0
1015,1000,Dataset Information,Dataset element with label values stored in projectprop.value,NULL,0,0,0
1016,1000,Dataset name,Dataset name stored in project.description,NULL,0,0,0
1017,1000,Dataset description,Dataset description stored in project.description,NULL,0,0,0
1020,1000,Trial environment information,Trial environment information trial condition labels stored in nd_geolocationprop.value and trial constant values stored in phenotype,NULL,0,0,0
1021,1000,Trial instance,Trial instance number stored in nd_geolocation.description,NULL,0,0,0
1022,1000,Latitude,Georeference data stored in nd_geolocation.latitude,NULL,0,0,0
1023,1000,Longitude,Georeference data stored in nd_geolocation.longitude,NULL,0,0,0
1024,1000,Datum,Georeference geodetic datup stored in nd_geolocation.geodetic_datum,NULL,0,0,0
1025,1000,Altitude,Georeference altitude stored in nd_geolocation.altitude,NULL,0,0,0
1030,1000,Trial design information,Field trial design and layout information stored in nd_experimentprop.value,NULL,0,0,0
1035,1000,Treatment factor,Label variable containing levels of a non-germplasm treatment factor stored in nd_experimentprop.value,NULL,0,0,0
1037,1000,Sub-sampling factor,Label variable containing levels of sub sample units within plots stored in nd_experimentprop.value,NULL,0,0,0
1040,1000,Germplasm entry,Germplasm entry information stored in stockprop.value,NULL,0,0,0
1041,1000,Entry number,Germplasm entry number unique within in a study stored in stock.uniquename,NULL,0,0,0
1042,1000,Entry GID,GMS germplasm identifier stored in stock.dbxref_id,NULL,0,0,0
1043,1000,Observation variate,Phenotypic data stored in phenotype.value,NULL,0,0,0
1044,1000,stored in,Relates a variable to the schema element where its values are stored,NULL,0,1,0
1045,1011,Crop research ontology,Crop research ontology class,NULL,0,0,0
1046,1000,Entry designation,GMS germplasm name stored in stock.name,NULL,0,0,0
1047,1000,Entry code,Germplasm entry code assigned within a study stored in stock.value,NULL,0,0,0
1048,1000,Categorical variate,Categorical variate with values stored in phenotype.cvalue_id,NULL,0,0,0
1050,1011,Study condition,Study condition class,NULL,0,0,0
1055,1011,Dataset Condition,Dataset condition class,NULL,0,0,0
1060,1000,Variable description,Description of  a variable,NULL,0,0,0
1070,1000,Standardvariableid,Standard variable id,NULL,0,0,0
1080,1011,Trial environment,Environmental condition class,NULL,0,0,0
1085,1011,Trial management,Trial management term class,NULL,0,0,0
1086,1011,Variate condition,Variate condition label,NULL,0,0,0
1087,1011,Germplasm,Germplasm term class,NULL,0,0,0
1090,1031,Class,Class of terms in a cv,NULL,0,0,0
1100,1011,Trial Design,Trial Design class,NULL,0,0,0
1105,1000,has type,Relates a data type to a standard variable,NULL,0,1,0
1110,1031,Numeric variable,Variable with numeric values either continuous or integer,NULL,0,0,0
1111,1000,alias,term alias,NULL,0,0,0
1113,1000,Minimum value,Minimum value allowed for a numeric variable,NULL,0,0,0
1115,1000,Maximum value,Maximum value allowed for a numeric variable,NULL,0,0,0
1116,1000,Expression,Formula for computation of a standard variable,NULL,0,0,0
1117,1031,Date variable,Date - numeric value in format yyyymmdd with least significant parts set to zero acording to precision,NULL,0,0,0
1118,1031,Numeric DBID variable,Integer database ID (may be negative
1120,1031,Character variable,Variable with character values,NULL,0,0,0
1125,1000,Timestamp variable,Character variable in format yyyy-mm-dd:hh:mm:ss:nnn with least significant parts omitted acording to precision,NULL,0,0,0
1128,1000,Character DBID variable,Character database ID,NULL,0,0,0
1130,1031,Categorical variable,Variable with discrete class values (numeric or character all treated as character
1131,1031,Person,Datatype which represents person,NULL,0,0,0
1132,1031,Location,Datatype which represents location,NULL,0,0,0
1133,1031,Study,Datatype which represents study,NULL,0,0,0
1134,1031,Dataset,Datatype which represents dataset,NULL,0,0,0
1135,1031,Germplasm List,Datatype which represents germplasm list,NULL,0,0,0
1136,1031,Breeding Method ,Datatype which represents breeding method,NULL,0,0,0
1155,1000,Plot,Field plot type of experiment,NULL,0,0,0
1160,1000,Sample,Sample type of experiment,NULL,0,0,0
1170,1000,Average,Average type of experiment,NULL,0,0,0
1180,1000,Summary,Summary type of experiment,NULL,0,0,0
1190,1000,has value,Relationship between a standard categorical variable and its valid values,NULL,0,1,0
1200,1000,has property,Relationship between a standard variable and a property tem,NULL,0,1,0
1210,1000,has method,Relationship between a standard variable and a method tem,NULL,0,1,0
1220,1000,has scale,Relationship between a standard variable and a scale tem,NULL,0,1,0
1225,1000,is a,Hierarchical relationship between terms,NULL,0,1,0
1226,1000,Crop ontology term ID,ID string from the crop ontology database,NULL,0,0,0
1227,1000,Abbreviated English name,Abbreviated term name in English,NULL,0,0,0
1230,1000,Alternative English name,Alternative English name,NULL,0,0,0
1240,1000,Preferred French name,Preferred French name,NULL,0,0,0
1250,1000,Alternative French name,Alternative French name,NULL,0,0,0
1251,1000,Abbreviated French name,Abbreviated French name,NULL,0,0,0
1252,1000,Preferred Spanish name,Preferred Spanish name,NULL,0,0,0
1253,1000,Alternative Spanish name,Alternative Spanish name,NULL,0,0,0
1254,1000,Abbreviated Spanish name,Abbreviated Spanish name,NULL,0,0,0
1255,1000,Preferred Chinese name,Preferred Chinese name,NULL,0,0,0
1256,1000,Alternative Chinese name,Alternative Chinese name,NULL,0,0,0
1257,1000,Abbreviated Chinese name,Abbreviated Chinese name,NULL,0,0,0
1259,1000,Obsolete name,Term name no longer in use,NULL,0,0,0
1260,1011,Seed storage,Seed storage term class,NULL,0,0,0
1270,1011,Breeding process,Breeding process term class,NULL,0,0,0
1280,1011,Abiotic condition,Abiotic condition term class,NULL,0,0,0
1290,1011,Biotic condition,Biotic condition term class,NULL,0,0,0
1300,1011,Site condition,Site condition term class,NULL,0,0,0
1310,1011,Soil condition,Soil condition term class,NULL,0,0,0
1320,1011,Climatic condition,Climatic condition term class,NULL,0,0,0
1321,1011,Molecular property,Molecular property,NULL,0,0,0
1330,1011,Crop trait ontology,Crop Ontology Trait class,NULL,0,0,0
1340,1011,Agronomic,Agronomic,NULL,0,0,0
1345,1011,Physiological,Physiological trait,NULL,0,0,0
1350,1011,Morphological,Morphological,NULL,0,0,0
1360,1011,Biotic stress,Biotic stress,NULL,0,0,0
1361,1011,Biotic stress - Entomology,Biotic stress - Entomology,NULL,0,0,0
1362,1011,Biotic stress - Pathology,Biotic stress - Pathology,NULL,0,0,0
1363,1011,Biotic stress - Virology,Biotic stress - Virology,NULL,0,0,0
1364,1011,Biochemical trait,Class for biochemical traits,NULL,0,0,0
1370,1011,Quality,Quality trait,NULL,0,0,0
1380,1011,Passport,Passport,NULL,0,0,0
1390,1011,Disease resistance,Disease resistance,NULL,0,0,0
1400,1011,Insect and pest resistance,Insect and pest resistance,NULL,0,0,0
1410,1011,Abiotic stress,Abiotic stress,NULL,0,0,0
