ID,AUTHOR,FILENAME,DATEEXECUTED,ORDEREXECUTED,EXECTYPE,MD5SUM,DESCRIPTION,COMMENTS,TAG,LIQUIBASE,CONTEXTS,LABELS,DEPLOYMENT_ID
1,mae,classpath:liquibase/crop_changelog/4_0_0_BETA_08.xml,2016-06-16 05:41:19,1,MARK_RAN,8:32dc1b6674ca685ed53ef5ca10511205,sql,,NULL,3.5.0,NULL,NULL,6055679404
1,danv,classpath:liquibase/crop_changelog/4_0_0_BETA_09.xml,2016-06-16 05:41:19,2,MARK_RAN,8:5e0e7bbe073f46ff1886a7e050f639eb,sql,,NULL,3.5.0,NULL,NULL,6055679404
2,naymesh,classpath:liquibase/crop_changelog/4_0_0_BETA_10.xml,2016-06-16 05:41:19,3,MARK_RAN,8:911487da64092fd175dfbf2c3ab419bf,addUniqueConstraint constraintName=udflds_uc1,tableName=udflds,,NULL,3.5.0,NULL,NULL,6055679404
3,naymesh,classpath:liquibase/crop_changelog/4_0_0_BETA_10.xml,2016-06-16 05:41:19,4,EXECUTED,8:9a92d39158daa44704a3b4197d9b6ab9,sql,,NULL,3.5.0,NULL,NULL,6055679404
1,naymesh,classpath:liquibase/crop_changelog/4_0_0_BETA_11.xml,2016-06-16 05:41:19,5,EXECUTED,8:5555b9b2d48590ad59bfc9f5fdb45f07,createTable tableName=key_sequence_register,,NULL,3.5.0,NULL,NULL,6055679404
2,aldrin,classpath:liquibase/crop_changelog/4_0_0_BETA_11.xml,2016-06-16 05:41:19,6,EXECUTED,8:785182cdf758abf0d5e1e5de7d2291cb,dropIndex indexName=unique,tableName=phenotype_outlier,,NULL,3.5.0,NULL,NULL,6055679404
3,aldrin,classpath:liquibase/crop_changelog/4_0_0_BETA_11.xml,2016-06-16 05:41:19,7,EXECUTED,8:210c964e5c7b27f028da97d8e24d4703,addColumn tableName=phenotype_outlier,,NULL,3.5.0,NULL,NULL,6055679404
4,abhishek,classpath:liquibase/crop_changelog/4_0_0_BETA_11.xml,2016-06-16 05:41:19,8,EXECUTED,8:1291f57765f61ad270c156ae199e4b53,sql,,NULL,3.5.0,NULL,NULL,6055679404
5,abhishek,classpath:liquibase/crop_changelog/4_0_0_BETA_11.xml,2016-06-16 05:41:19,9,EXECUTED,8:d37ebd515c07c0c6430a1d75f465f45d,sql,,NULL,3.5.0,NULL,NULL,6055679404
6,abhishek,classpath:liquibase/crop_changelog/4_0_0_BETA_11.xml,2016-06-16 05:41:19,10,EXECUTED,8:99aba815f024eac874a2a97807ba1390,sql,,NULL,3.5.0,NULL,NULL,6055679404
7,naymesh,classpath:liquibase/crop_changelog/4_0_0_BETA_11.xml,2016-06-16 05:41:19,11,MARK_RAN,8:041a78758c364ab527ee3972a8370bdb,sql,,NULL,3.5.0,NULL,NULL,6055679404
8,naymesh,classpath:liquibase/crop_changelog/4_0_0_BETA_11.xml,2016-06-16 05:41:19,12,MARK_RAN,8:019c551cd21ac672655306fa1c40a10c,sql,,NULL,3.5.0,NULL,NULL,6055679404
9,naymesh,classpath:liquibase/crop_changelog/4_0_0_BETA_11.xml,2016-06-16 05:41:19,13,MARK_RAN,8:c8e9d87d3731b553010c7aa1923d6f58,sql,,NULL,3.5.0,NULL,NULL,6055679404
1,alejandro,classpath:liquibase/crop_changelog/4_0_0_BETA_12.xml,2016-06-16 05:41:19,14,MARK_RAN,8:0a666b59b14b743408e3df5e46ff71a7,sql,,NULL,3.5.0,NULL,NULL,6055679404
10,matthew,classpath:liquibase/crop_changelog/4_0_0_BETA_11.xml,2016-07-19 16:46:12,15,MARK_RAN,8:cb326e4c9ec8da5986f2980a44841401,sql,,NULL,3.5.0,NULL,NULL,8946772109
1,nahuel,classpath:liquibase/crop_changelog/4_0_0_BETA_14.xml,2016-08-22 17:40:33,16,EXECUTED,8:ef329ca97b82f937d4a25f55a782b32a,addColumn tableName=listdata_project,,NULL,3.5.0,NULL,NULL,1887633661
2,nahuel,classpath:liquibase/crop_changelog/4_0_0_BETA_14.xml,2016-08-22 17:40:34,17,EXECUTED,8:4186d900eb3c01412e7d3e11369c3254,addColumn tableName=listdata_project,,NULL,3.5.0,NULL,NULL,1887633661
3,akhil,classpath:liquibase/crop_changelog/4_0_0_BETA_14.xml,2016-08-22 17:40:34,18,EXECUTED,8:58d0e051eeee4b8f66d3d947a76baf52,sql,,NULL,3.5.0,NULL,NULL,1887633661
beta14-1,chavdahard,classpath:liquibase/crop_changelog/4_0_0_BETA_14.xml,2016-08-22 17:40:34,19,EXECUTED,8:8422ef2315488ef5d7986e2d1c13694e,sql,,NULL,3.5.0,NULL,NULL,1887633661
beta14-2,chavdahard,classpath:liquibase/crop_changelog/4_0_0_BETA_14.xml,2016-08-22 17:40:34,20,EXECUTED,8:acbf4cff9037c6a39a50eca9664e209c,sql,,NULL,3.5.0,NULL,NULL,1887633661
beta14-3,chavdahard,classpath:liquibase/crop_changelog/4_0_0_BETA_14.xml,2016-08-22 17:40:34,21,EXECUTED,8:d599f443f4c797bf6d275f53c07a83af,sql,,NULL,3.5.0,NULL,NULL,1887633661
beta14-4,chavdahard,classpath:liquibase/crop_changelog/4_0_0_BETA_14.xml,2016-08-22 17:40:34,22,EXECUTED,8:2e1654fabf61098eb9fe378ca4f6a240,sql,,NULL,3.5.0,NULL,NULL,1887633661
1,darla,classpath:liquibase/crop_changelog/4_0_0_BETA_10.xml,2016-09-22 21:27:22,23,MARK_RAN,8:8714110fb996970df033580edd9b2929,sql,,NULL,3.5.0,NULL,NULL,4579642468
4,naymesh,classpath:liquibase/crop_changelog/4_0_0_BETA_14.xml,2016-09-22 21:27:22,24,EXECUTED,8:2e63d840af01cc07bc07656741200e98,createTable tableName=plant_samples,,NULL,3.5.0,NULL,NULL,4579642468
