acc_metadataset_id,dataset_id,sample_id,acc_sample_id
1058,7,4534,1
1065,7,4535,1
1176,7,4536,1
1044,7,4537,1
1053,7,4538,1
1033,7,4539,1
1049,7,4540,1
1083,7,4541,1
1134,7,4542,1
1138,7,4543,1
1059,7,4544,1
1036,7,4545,1
1061,7,4546,1
1099,7,4547,1
1089,7,4548,1
1151,7,4549,1
1153,7,4550,1
1035,7,4551,1
1164,7,4552,1
1042,7,4553,1
1029,7,4554,1
1092,7,4555,1
1055,7,4556,1
1056,7,4557,1
1141,7,4558,1
1165,7,4559,1
1129,7,4560,1
1048,7,4561,1
1084,7,4562,1
1162,7,4563,1
1068,7,4564,1
1077,7,4565,1
1091,7,4566,1
1046,7,4567,1
1064,7,4568,1
1123,7,4569,1
1135,7,4570,1
1144,7,4571,1
1147,7,4572,1
1133,7,4573,1
1028,7,4574,1
1095,7,4575,1
1154,7,4576,1
1122,7,4577,1
1106,7,4578,1
1142,7,4579,1
1173,7,4580,1
1117,7,4581,1
1137,7,4582,1
1067,7,4583,1
1054,7,4584,1
1195,7,4585,1
1170,7,4586,1
1078,7,4587,1
1074,7,4588,1
1086,7,4589,1
1101,7,4590,1
1192,7,4591,1
1175,7,4592,1
1158,7,4593,1
1113,7,4594,1
1130,7,4595,1
1118,7,4596,1
1094,7,4597,1
1185,7,4598,1
1075,7,4599,1
1119,7,4600,1
1072,7,4601,1
1139,7,4602,1
1167,7,4603,1
1155,7,4604,1
1051,7,4605,1
1177,7,4606,1
1043,7,4607,1
1172,7,4608,1
1062,7,4609,1
1098,7,4610,1
1196,7,4611,1
1152,7,4612,1
1082,7,4613,1
1171,7,4614,1
1189,7,4615,1
1181,7,4616,1
1037,7,4617,1
1045,7,4618,1
1127,7,4619,1
1191,7,4620,1
1032,7,4621,1
1159,7,4622,1
1100,7,4623,1
1194,7,4624,1
1148,7,4625,1
1060,7,4626,1
1111,7,4627,1
1186,7,4628,1
1110,7,4629,1
1157,7,4630,1
1050,7,4631,1
1161,7,4632,1
1039,7,4633,1
1076,7,4634,1
1038,7,4635,1
1093,7,4636,1
1168,7,4637,1
1052,7,4638,1
1124,7,4639,1
1163,7,4640,1
1140,7,4641,1
1146,7,4642,1
