marker_metadataset_id,dataset_id,marker_id,marker_sample_id
2,7,1084,1
1,7,1094,1
4,8,1084,1
11,8,1085,1
5,8,1087,1
6,8,1088,1
7,8,1089,1
8,8,1090,1
9,8,1091,1
10,8,1092,1
3,8,1094,1
12,9,1,1
13,9,2,1
14,9,3,1
15,9,4,1
16,9,5,1
17,9,6,1
18,9,7,1
19,9,8,1
20,9,9,1
21,9,10,1
22,9,11,1
23,9,13,1
24,9,14,1
25,9,16,1
26,9,17,1
27,9,18,1
28,9,19,1
29,9,21,1
30,9,22,1
31,9,23,1
32,9,25,1
33,9,26,1
34,9,27,1
35,9,28,1
36,9,29,1
37,9,31,1
38,9,34,1
39,9,35,1
40,9,36,1
41,9,37,1
42,9,38,1
43,9,39,1
44,9,40,1
45,9,43,1
46,9,44,1
47,9,47,1
48,9,48,1
49,9,49,1
50,9,50,1
51,9,51,1
52,9,52,1
53,9,53,1
54,9,54,1
55,9,55,1
56,9,56,1
57,9,57,1
58,9,59,1
59,9,60,1
60,9,61,1
61,9,64,1
62,9,65,1
63,9,66,1
64,9,68,1
65,9,71,1
66,9,72,1
67,9,73,1
68,9,74,1
69,9,78,1
70,9,79,1
71,9,81,1
72,9,82,1
73,9,83,1
74,9,84,1
75,9,87,1
76,9,88,1
77,9,91,1
78,9,92,1
79,9,95,1
80,9,97,1
81,9,98,1
82,9,100,1
83,9,103,1
84,9,104,1
85,9,105,1
86,9,107,1
87,9,108,1
88,9,110,1
89,9,111,1
90,9,114,1
91,9,115,1
92,9,116,1
93,9,117,1
94,9,121,1
95,9,122,1
96,9,126,1
97,9,132,1
98,9,135,1
99,9,136,1
100,9,142,1
101,9,143,1
102,9,144,1
103,9,145,1
104,9,149,1
105,9,150,1
106,9,151,1
107,9,153,1
108,9,158,1
109,9,160,1
110,9,161,1
111,9,163,1
112,9,164,1
113,9,167,1
114,9,172,1
115,9,173,1
116,9,175,1
117,9,176,1
118,9,177,1
119,9,178,1
120,9,179,1
121,9,180,1
122,9,182,1
123,9,183,1
124,9,184,1
125,9,185,1
126,9,187,1
127,9,188,1
128,9,189,1
129,9,195,1
130,9,196,1
131,9,197,1
132,9,200,1
133,9,201,1
134,9,203,1
135,9,210,1
136,9,220,1
137,9,221,1
138,9,222,1
139,9,227,1
140,9,232,1
141,9,233,1
142,9,235,1
143,9,240,1
144,9,254,1
145,9,257,1
146,9,258,1
147,9,261,1
148,9,269,1
149,9,276,1
150,9,277,1
151,9,279,1
152,9,286,1
153,9,288,1
154,9,290,1
155,9,304,1
156,9,312,1
157,9,313,1
158,9,319,1
159,9,321,1
160,9,331,1
161,9,338,1
162,9,340,1
163,9,341,1
164,9,342,1
165,9,353,1
166,9,357,1
167,9,360,1
168,9,372,1
169,9,375,1
170,9,381,1
171,9,389,1
172,9,396,1
173,9,397,1
174,9,404,1
175,9,406,1
176,9,408,1
177,9,413,1
178,9,414,1
179,9,428,1
180,9,430,1
181,9,438,1
182,9,443,1
183,9,447,1
184,9,452,1
185,9,454,1
186,9,469,1
187,9,470,1
188,9,519,1
189,9,549,1
190,9,562,1
191,9,571,1
192,9,580,1
193,9,596,1
194,9,620,1
195,9,652,1
196,9,665,1
197,9,680,1
198,9,693,1
199,9,719,1
200,9,735,1
201,9,737,1
202,9,936,1
