locid,llpn,lat,lon,alt,llsource,ll_fmt,ll_datum,ll_uncert,llref,lldate,lluid
1,1,33,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,1,41,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,1,28,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,1,-14.3333,-170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,1,42.5,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,1,-12.5,18.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,1,-90,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,1,17.05,-61.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,1,-34,-64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1,40,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,1,-27,133,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,1,47.3333,13.3333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,1,40.5,47.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,1,24.25,-76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,1,26,50.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,1,24,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,1,13.1667,-59.5333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,1,50.8333,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,1,17.25,-88.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,1,9.5,2.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,1,32.3333,-64.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,1,27.5,90.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,1,-17,-65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,1,44,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,1,-22,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,1,-54.4333,3.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,1,-10,-55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,1,-6,71.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,1,4.5,114.6667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,1,43,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,1,22,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,1,-3.5,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,1,53,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,1,6,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,1,60,-95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,1,16,-24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,1,19.5,-80.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,1,7,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,1,15,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,1,-30,-71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,1,35,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,1,-10.5,105.6667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,1,-12.5,96.8333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,1,4,-72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,1,-12.1667,44.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,1,-1,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,1,-21.2333,-159.7667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,1,10,-84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,1,21.5,-80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,1,35,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,1,49.75,15.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,1,56,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,1,11.5,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,1,15.4167,-61.3333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,1,19,-70.6667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,1,8.83,125.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,1,-2,-77.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,1,27,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,1,13.8333,-88.9167,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,1,2,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,1,15,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,1,59,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,1,8,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,1,62,-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,1,-51.75,-59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,1,-18,175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,1,64,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,1,46,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,1,4,-53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,1,-15,-140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,1,-1,11.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
