aud_id,rev_type,gid,methn,gnpgs,gpid1,gpid2,created_by,lgid,glocn,gdate,gref,grplce,mgid,cid,sid,gchange,deleted,germplsm_uuid,modified_by,created_date,modified_date
1,0,60542,31,-1,0,0,65,0,25675,20220405,0,0,0,NULL,NULL,NULL,0,QAP6Gr4gp17p1,NULL,2022-04-05 09:36:58,NULL
2,0,60543,31,-1,0,0,65,0,25675,20220405,0,0,0,NULL,NULL,NULL,0,QAP6GEVSkl8nI,NULL,2022-04-05 09:36:58,NULL
3,0,60544,31,-1,0,0,65,0,25675,20220405,0,0,0,NULL,NULL,NULL,0,QAP6GdoMHi4Eq,NULL,2022-04-05 09:36:58,NULL
4,0,60545,31,-1,0,0,65,0,25675,20220405,0,0,0,NULL,NULL,NULL,0,QAP6GyZ0Rf0HL,NULL,2022-04-05 09:36:58,NULL
5,0,60546,31,-1,0,0,65,0,25675,20220405,0,0,0,NULL,NULL,NULL,0,QAP6GwchL2T8K,NULL,2022-04-05 09:36:58,NULL
6,0,60547,31,-1,0,0,65,0,25675,20220405,0,0,0,NULL,NULL,NULL,0,QAP6G1keJ7h4d,NULL,2022-04-05 09:36:58,NULL
7,0,60548,31,-1,0,0,65,0,25675,20220405,0,0,0,NULL,NULL,NULL,0,QAP6Gtju7MMvz,NULL,2022-04-05 09:36:58,NULL
8,0,60549,31,-1,0,0,65,0,25675,20220405,0,0,0,NULL,NULL,NULL,0,QAP6G6hj4ppOf,NULL,2022-04-05 09:36:58,NULL
9,0,60550,31,-1,0,0,109,0,245,20220518,0,0,0,NULL,NULL,NULL,0,QAP6GDMr8LiGg,NULL,2022-05-18 12:22:54,NULL
10,0,60551,31,-1,0,0,109,0,245,20220518,0,0,0,NULL,NULL,NULL,0,QAP6GwcOuO7yC,NULL,2022-05-18 12:22:54,NULL
11,0,60552,31,-1,0,0,109,0,245,20220518,0,0,0,NULL,NULL,NULL,0,QAP6GFI3tp4D0,NULL,2022-05-18 12:22:54,NULL
12,0,60553,31,-1,0,0,109,0,245,20220518,0,0,0,NULL,NULL,NULL,0,QAP6GBwV5k7M3,NULL,2022-05-18 12:22:54,NULL
13,0,60554,31,-1,0,0,109,0,245,20220518,0,0,0,NULL,NULL,NULL,0,QAP6GpFAFbpEA,NULL,2022-05-18 12:22:54,NULL
14,0,60555,31,-1,0,0,109,0,245,20220518,0,0,0,NULL,NULL,NULL,0,QAP6Gjhbn3kPB,NULL,2022-05-18 12:22:54,NULL
15,0,60556,31,-1,0,0,109,0,245,20220518,0,0,0,NULL,NULL,NULL,0,QAP6GU0VhOGHG,NULL,2022-05-18 12:22:54,NULL
16,0,60557,31,-1,0,0,109,0,245,20220518,0,0,0,NULL,NULL,NULL,0,QAP6GjcrPAesa,NULL,2022-05-18 12:22:54,NULL
17,0,60558,31,-1,0,0,109,0,245,20220518,0,0,0,NULL,NULL,NULL,0,QAP6GMc8CMqJb,NULL,2022-05-18 12:22:54,NULL
18,0,60559,31,-1,0,0,109,0,25667,20220621,0,0,0,NULL,NULL,NULL,0,QAP6G8TAMYzD3,NULL,2022-06-21 10:17:14,NULL
19,0,60560,31,-1,0,0,109,0,25667,20220621,0,0,0,NULL,NULL,NULL,0,QAP6G6wstgdJ7,NULL,2022-06-21 10:17:14,NULL
20,0,60561,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6Gv72EO6or,NULL,2022-06-30 13:25:09,NULL
21,0,60562,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GDcX1D4tX,NULL,2022-06-30 13:25:09,NULL
22,0,60563,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GkxYLNWVz,NULL,2022-06-30 13:25:09,NULL
23,0,60564,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GmIOveFz8,NULL,2022-06-30 13:25:09,NULL
24,0,60565,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GdXOLQIZY,NULL,2022-06-30 13:25:09,NULL
25,0,60566,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GSPb80900,NULL,2022-06-30 13:25:09,NULL
26,0,60567,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GuFWl5vAO,NULL,2022-06-30 13:25:09,NULL
27,0,60568,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GSQiHFPd3,NULL,2022-06-30 13:25:09,NULL
28,0,60569,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GOMXRJVCm,NULL,2022-06-30 13:25:09,NULL
29,0,60570,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6Gs5NXtDcP,NULL,2022-06-30 13:25:09,NULL
30,0,60571,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6G6yTOldQi,NULL,2022-06-30 13:25:09,NULL
31,0,60572,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GhYUG85wZ,NULL,2022-06-30 13:25:09,NULL
32,0,60573,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6Ga7zJROAE,NULL,2022-06-30 13:25:09,NULL
33,0,60574,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6Gx38gp1u5,NULL,2022-06-30 13:25:09,NULL
34,0,60575,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GdPPz6rX2,NULL,2022-06-30 13:25:09,NULL
35,0,60576,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GwQMPhrje,NULL,2022-06-30 13:37:32,NULL
36,0,60577,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6Ge6YS5m3u,NULL,2022-06-30 13:37:32,NULL
37,0,60578,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GLa6doiKU,NULL,2022-06-30 13:37:32,NULL
38,0,60579,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6G0Qv77Drs,NULL,2022-06-30 13:37:32,NULL
39,0,60580,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GI1NWYnZc,NULL,2022-06-30 13:37:32,NULL
40,0,60581,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GPCBoFWfK,NULL,2022-06-30 13:37:32,NULL
41,0,60582,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6G4eZ0ayvr,NULL,2022-06-30 13:37:32,NULL
42,0,60583,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GrQxWNSo4,NULL,2022-06-30 13:37:32,NULL
43,0,60584,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GnLcEW5Ce,NULL,2022-06-30 13:37:32,NULL
44,0,60585,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GkbOigDzh,NULL,2022-06-30 13:37:32,NULL
45,0,60586,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6Gc4jbqde1,NULL,2022-06-30 13:37:32,NULL
46,0,60587,31,-1,0,0,109,0,25667,20220630,0,0,0,NULL,NULL,NULL,0,QAP6GRqrVft3p,NULL,2022-06-30 13:37:32,NULL
